modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
StatsBase,bic,10,0.9,0.9,2,0,0,94,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ARCHModels/depot/packages/StatsBase/DU1bT/src/statmodels.jl,216
ARCHModels,startingvals,2,1.0,0.5,1,0,0,628,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ARCHModels/depot/packages/ARCHModels/TotYf/src/univariatestandardizeddistributions.jl,234
ARCHModels,selectmodel,1,0.0,0.0,1,0,0,117,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ARCHModels/depot/packages/ARCHModels/TotYf/src/univariatearchmodel.jl,529
ARCHModels,mean,23,0.6956521739130435,0.5217391304347826,2,0,0,55,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ARCHModels/depot/packages/ARCHModels/TotYf/src/meanspecs.jl,38
ARCHModels,update!,52,1.0,0.7307692307692307,1,0,0,935,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ARCHModels/depot/packages/ARCHModels/TotYf/src/TGARCH.jl,79
FillArrays,sum,1,0.0,0.0,1,0,0,50,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ARCHModels/depot/packages/FillArrays/VLeUk/src/FillArrays.jl,509
ARCHModels,fit,2,1.0,1.0,2,0,0,127,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ARCHModels/depot/packages/ARCHModels/TotYf/src/univariatearchmodel.jl,420
ARCHModels,nparams,4,1.0,0.5,1,0,0,37,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ARCHModels/depot/packages/ARCHModels/TotYf/src/univariatestandardizeddistributions.jl,110
ARCHModels,scores,3,0.0,0.0,1,0,0,205,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ARCHModels/depot/packages/ARCHModels/TotYf/src/univariatearchmodel.jl,357
ARCHModels,fit!,3,1.0,1.0,3,0,0,79,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ARCHModels/depot/packages/ARCHModels/TotYf/src/multivariatearchmodel.jl,110
ARCHModels,nparams,2,1.0,1.0,1,0,0,82,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ARCHModels/depot/packages/ARCHModels/TotYf/src/DCC.jl,34
ARCHModels,#fit!#33,6,1.0,1.0,6,0,0,549,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ARCHModels/depot/packages/ARCHModels/TotYf/src/univariatearchmodel.jl,463
ARCHModels,startingvals,2,1.0,0.5,1,0,0,581,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ARCHModels/depot/packages/ARCHModels/TotYf/src/univariatestandardizeddistributions.jl,170
StatsBase,#BigFloat#47,1,1.0,1.0,1,0,0,77,irrationals.jl,180
StatsModels,coefnames,1,0.0,0.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ARCHModels/depot/packages/StatsModels/JZLpf/src/statsmodel.jl,182
ARCHModels,nparams,11,0.8181818181818182,0.8181818181818182,2,0,0,53,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ARCHModels/depot/packages/ARCHModels/TotYf/src/meanspecs.jl,118
