modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
AbstractGPs,mean_and_cov,true,true,0,1,"Tuple{Array{Float64,1},Array{Float64,2}}","GP{ZeroMean{Float64},Matern52Kernel},Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractGPs/depot/packages/AbstractGPs/vA89Q/src/gp/gp.jl,77
AbstractGPs,rand,true,true,0,1,"Array{Float64,1}","FiniteGP{GP{ConstMean{Int64},SqExponentialKernel},Array{Float64,1},Symmetric{Float64,Array{Float64,2}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractGPs/depot/packages/AbstractGPs/vA89Q/src/abstract_gp/finite_gp.jl,191
AbstractGPs,cov,true,true,0,1,"Array{Float64,2}","FiniteGP{GP{ZeroMean{Float64},Matern52Kernel},Array{Float64,1},Diagonal{Float64,Array{Float64,1}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractGPs/depot/packages/AbstractGPs/vA89Q/src/abstract_gp/finite_gp.jl,93
ColorTypes,rand,true,true,0,1,"Array{Gray{FixedPointNumbers.Normed{UInt16,16}},1}","Type{Gray{FixedPointNumbers.Normed{UInt16,16}}},Tuple{Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractGPs/depot/packages/ColorTypes/6m8P7/src/operations.jl,120
ColorTypes,rand,true,true,0,1,"Array{Gray{FixedPointNumbers.Normed{UInt16,16}},2}","Type{Gray{FixedPointNumbers.Normed{UInt16,16}}},Tuple{Int64,Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractGPs/depot/packages/ColorTypes/6m8P7/src/operations.jl,120
PDMats,invquad,true,true,0,1,Float64,"PDMats.ScalMat{Float64},Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractGPs/depot/packages/PDMats/vgpB7/src/scalmat.jl,75
ColorTypes,rand,true,true,0,1,"Array{RGB{Float32},1}","Type{RGB{Float32}},Tuple{Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractGPs/depot/packages/ColorTypes/6m8P7/src/operations.jl,120
ColorTypes,rand,true,true,0,1,"Array{GrayA{FixedPointNumbers.Normed{UInt8,8}},1}","Type{GrayA{FixedPointNumbers.Normed{UInt8,8}}},Tuple{Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractGPs/depot/packages/ColorTypes/6m8P7/src/operations.jl,120
AbstractGPs,mean,true,true,0,1,"Array{Float64,1}","FiniteGP{GP{ZeroMean{Float64},SqExponentialKernel},StepRangeLen{Float64,Base.TwicePrecision{Float64},Base.TwicePrecision{Float64}},Diagonal{Float64,FillArrays.Fill{Float64,1,Tuple{Base.OneTo{Int64}}}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractGPs/depot/packages/AbstractGPs/vA89Q/src/abstract_gp/finite_gp.jl,49
AbstractGPs,mean,true,true,0,1,"Array{Float64,1}","FiniteGP{GP{ConstMean{Float64},Matern32Kernel},Array{Float64,1},Diagonal{Float64,FillArrays.Fill{Float64,1,Tuple{Base.OneTo{Int64}}}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractGPs/depot/packages/AbstractGPs/vA89Q/src/abstract_gp/finite_gp.jl,49
