modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
AbstractTrees,childstates,14,0.14285714285714285,0.07142857142857142,4,0,0,235,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractTrees/depot/packages/AbstractTrees/oHb1F/src/implicitstacks.jl,41
AbstractTrees,childstates,24,0.5,0.5,22,0,0,50,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractTrees/depot/packages/AbstractTrees/oHb1F/src/implicitstacks.jl,36
AbstractTrees,isroot,5,1.0,0.8,1,0,0,62,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractTrees/depot/packages/AbstractTrees/oHb1F/src/iteration.jl,174
AbstractTrees,printnode,4,1.0,1.0,1,0,0,81,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractTrees/depot/packages/AbstractTrees/oHb1F/src/printing.jl,65
Main,siblinglinks,2,0.5,0.5,2,0,0,52,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractTrees/depot/packages/AbstractTrees/oHb1F/test/trees.jl,39
AbstractTrees,relative_state,7,0.8571428571428571,0.8571428571428571,2,0,0,68,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractTrees/depot/packages/AbstractTrees/oHb1F/src/iteration.jl,128
AbstractTrees,children,1,1.0,1.0,1,0,0,38,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractTrees/depot/packages/AbstractTrees/oHb1F/src/builtins.jl,5
AbstractTrees,#print_tree#5,43,1.0,0.4186046511627907,1,0,0,126,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractTrees/depot/packages/AbstractTrees/oHb1F/src/printing.jl,173
AbstractTrees,#print_tree#6,2,1.0,1.0,1,0,0,138,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractTrees/depot/packages/AbstractTrees/oHb1F/src/printing.jl,175
AbstractTrees,getnode,1,1.0,1.0,1,0,0,41,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractTrees/depot/packages/AbstractTrees/oHb1F/src/iteration.jl,218
AbstractTrees,relative_state,5,1.0,1.0,1,0,0,66,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractTrees/depot/packages/AbstractTrees/oHb1F/src/iteration.jl,130
AbstractTrees,childstates,28,0.32142857142857145,0.32142857142857145,10,0,0,51,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractTrees/depot/packages/AbstractTrees/oHb1F/src/iteration.jl,94
Main,rootstate,1,1.0,1.0,1,0,0,61,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractTrees/depot/packages/AbstractTrees/oHb1F/test/trees.jl,45
AbstractTrees,treemap!,5,0.0,0.0,1,0,0,423,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractTrees/depot/packages/AbstractTrees/oHb1F/src/iteration.jl,376
Main,parentind,2,1.0,0.5,1,0,0,60,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractTrees/depot/packages/AbstractTrees/oHb1F/test/trees.jl,46
