modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
AcceleratedArrays,isgreater,1,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AcceleratedArrays/depot/packages/AcceleratedArrays/XLQDj/src/predicates.jl,51
AcceleratedArrays,searchsortedlastless,2,1.0,1.0,1,0,0,82,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AcceleratedArrays/depot/packages/AcceleratedArrays/XLQDj/src/predicates.jl,5
AcceleratedArrays,searchsortedfirstgreater,2,1.0,1.0,1,0,0,82,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AcceleratedArrays/depot/packages/AcceleratedArrays/XLQDj/src/predicates.jl,20
AcceleratedArrays,accelerate!,1,1.0,1.0,1,0,0,374,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AcceleratedArrays/depot/packages/AcceleratedArrays/XLQDj/src/SortIndex.jl,15
AcceleratedArrays,searchsortedfirstgreater,2,1.0,1.0,1,0,0,306,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AcceleratedArrays/depot/packages/AcceleratedArrays/XLQDj/src/predicates.jl,20
AcceleratedArrays,accelerate,1,1.0,1.0,1,0,0,394,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AcceleratedArrays/depot/packages/AcceleratedArrays/XLQDj/src/SortIndex.jl,6
AcceleratedArrays,islessequal,4,1.0,1.0,1,0,0,74,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AcceleratedArrays/depot/packages/AcceleratedArrays/XLQDj/src/predicates.jl,36
AcceleratedArrays,lessthan,1,1.0,1.0,1,0,0,62,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AcceleratedArrays/depot/packages/AcceleratedArrays/XLQDj/src/Interval.jl,161
AcceleratedArrays,searchsortedlastless,2,1.0,1.0,1,0,0,310,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AcceleratedArrays/depot/packages/AcceleratedArrays/XLQDj/src/predicates.jl,5
AcceleratedArrays,islessequal,1,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AcceleratedArrays/depot/packages/AcceleratedArrays/XLQDj/src/predicates.jl,50
AcceleratedArrays,isgreater,1,1.0,1.0,1,0,0,74,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AcceleratedArrays/depot/packages/AcceleratedArrays/XLQDj/src/predicates.jl,40
AcceleratedArrays,accelerate,1,1.0,1.0,1,0,0,361,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AcceleratedArrays/depot/packages/AcceleratedArrays/XLQDj/src/UniqueSortIndex.jl,5
AcceleratedArrays,isgreaterequal,1,1.0,1.0,1,0,0,74,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AcceleratedArrays/depot/packages/AcceleratedArrays/XLQDj/src/predicates.jl,44
AcceleratedArrays,accelerate,3,1.0,1.0,3,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AcceleratedArrays/depot/packages/AcceleratedArrays/XLQDj/src/AbstractIndex.jl,12
AcceleratedArrays,accelerate!,1,1.0,1.0,1,0,0,336,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AcceleratedArrays/depot/packages/AcceleratedArrays/XLQDj/src/UniqueSortIndex.jl,15
AcceleratedArrays,greaterthan,1,1.0,1.0,1,0,0,62,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AcceleratedArrays/depot/packages/AcceleratedArrays/XLQDj/src/Interval.jl,217
AcceleratedArrays,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AcceleratedArrays/depot/packages/AcceleratedArrays/XLQDj/src/AcceleratedArrays.jl,1
AcceleratedArrays,isgreaterequal,1,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AcceleratedArrays/depot/packages/AcceleratedArrays/XLQDj/src/predicates.jl,52
AcceleratedArrays,..,3,1.0,1.0,3,0,0,67,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AcceleratedArrays/depot/packages/AcceleratedArrays/XLQDj/src/Interval.jl,60
