modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
AccurateArithmetic.SIMDops,@fusible,1,1.0,0.0,1,4,0,60,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AccurateArithmetic/depot/packages/AccurateArithmetic/pWUv7/src/SIMDops.jl,104
AccurateArithmetic.EFT,fast_two_sum,2,1.0,1.0,2,0,0,287,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AccurateArithmetic/depot/packages/AccurateArithmetic/pWUv7/src/errorfree.jl,28
AccurateArithmetic.Summation,add!,1,1.0,1.0,1,0,0,83,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AccurateArithmetic/depot/packages/AccurateArithmetic/pWUv7/src/accumulators/mixedSum.jl,12
AccurateArithmetic.Summation,dot_naive,2,1.0,1.0,2,0,0,55,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AccurateArithmetic/depot/packages/AccurateArithmetic/pWUv7/src/Summation.jl,144
AccurateArithmetic.Test,#generate_sum#4,2,1.0,1.0,2,0,0,121,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AccurateArithmetic/depot/packages/AccurateArithmetic/pWUv7/src/Test.jl,44
AccurateArithmetic.SIMDops,fmul,2,1.0,1.0,2,0,1,64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AccurateArithmetic/depot/packages/AccurateArithmetic/pWUv7/src/SIMDops.jl,90
AccurateArithmetic.SIMDops,@explicit,1,1.0,0.0,1,4,0,60,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AccurateArithmetic/depot/packages/AccurateArithmetic/pWUv7/src/SIMDops.jl,76
AccurateArithmetic.SIMDops,emul,2,1.0,1.0,2,0,1,64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AccurateArithmetic/depot/packages/AccurateArithmetic/pWUv7/src/SIMDops.jl,62
AccurateArithmetic,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AccurateArithmetic/depot/packages/AccurateArithmetic/pWUv7/src/AccurateArithmetic.jl,1
AccurateArithmetic.Summation,compSumAcc,8,1.0,1.0,8,0,0,79,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AccurateArithmetic/depot/packages/AccurateArithmetic/pWUv7/src/accumulators/compSum.jl,7
AccurateArithmetic.SIMDops,emul,2,1.0,1.0,2,0,1,55,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AccurateArithmetic/depot/packages/AccurateArithmetic/pWUv7/src/SIMDops.jl,63
AccurateArithmetic.SIMDops,esub,4,1.0,1.0,2,0,1,64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AccurateArithmetic/depot/packages/AccurateArithmetic/pWUv7/src/SIMDops.jl,57
AccurateArithmetic.Summation,#s19#3,1,1.0,0.0,1,2047,0,2468,none,0
AccurateArithmetic.SIMDops,fadd,2,1.0,1.0,2,0,1,64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AccurateArithmetic/depot/packages/AccurateArithmetic/pWUv7/src/SIMDops.jl,83
AccurateArithmetic.Summation,mixedDotAcc,1,1.0,1.0,1,0,1,67,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AccurateArithmetic/depot/packages/AccurateArithmetic/pWUv7/src/accumulators/mixedDot.jl,6
AccurateArithmetic.Summation,default_prefetch,2,1.0,1.0,1,0,0,46,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AccurateArithmetic/depot/packages/AccurateArithmetic/pWUv7/src/Summation.jl,115
AccurateArithmetic.Summation,add!,2,1.0,1.0,2,0,0,83,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AccurateArithmetic/depot/packages/AccurateArithmetic/pWUv7/src/accumulators/sum.jl,11
AccurateArithmetic.Summation,add!,4,1.0,1.0,4,0,0,274,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AccurateArithmetic/depot/packages/AccurateArithmetic/pWUv7/src/accumulators/compDot.jl,8
AccurateArithmetic.SIMDops,fma,2,1.0,1.0,2,0,1,59,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AccurateArithmetic/depot/packages/AccurateArithmetic/pWUv7/src/SIMDops.jl,9
AccurateArithmetic.SIMDops,replace_simd_ops,2,0.0,0.0,1,0,0,253,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AccurateArithmetic/depot/packages/AccurateArithmetic/pWUv7/src/SIMDops.jl,25
AccurateArithmetic.Summation,default_ushift,12,1.0,1.0,2,0,0,63,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AccurateArithmetic/depot/packages/AccurateArithmetic/pWUv7/src/Summation.jl,106
AccurateArithmetic.EFT,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AccurateArithmetic/depot/packages/AccurateArithmetic/pWUv7/src/EFT.jl,1
AccurateArithmetic.Test,generate_sum_,2,1.0,1.0,2,0,0,557,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AccurateArithmetic/depot/packages/AccurateArithmetic/pWUv7/src/Test.jl,124
AccurateArithmetic.Summation,mixedDotAcc,1,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AccurateArithmetic/depot/packages/AccurateArithmetic/pWUv7/src/accumulators/mixedDot.jl,5
AccurateArithmetic.SIMDops,fmul,3,1.0,1.0,3,0,1,55,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AccurateArithmetic/depot/packages/AccurateArithmetic/pWUv7/src/SIMDops.jl,91
AccurateArithmetic.Summation,compDotAcc,4,1.0,1.0,4,0,0,71,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AccurateArithmetic/depot/packages/AccurateArithmetic/pWUv7/src/accumulators/compDot.jl,6
AccurateArithmetic.SIMDops,fadd,3,1.0,1.0,3,0,1,55,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AccurateArithmetic/depot/packages/AccurateArithmetic/pWUv7/src/SIMDops.jl,84
AccurateArithmetic.Summation,sumAcc,4,1.0,1.0,4,0,0,51,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AccurateArithmetic/depot/packages/AccurateArithmetic/pWUv7/src/accumulators/sum.jl,5
AccurateArithmetic.SIMDops,explicit,1,1.0,1.0,1,0,0,154,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AccurateArithmetic/depot/packages/AccurateArithmetic/pWUv7/src/SIMDops.jl,65
AccurateArithmetic.Summation,dot_oro,2,1.0,1.0,2,0,0,55,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AccurateArithmetic/depot/packages/AccurateArithmetic/pWUv7/src/Summation.jl,145
AccurateArithmetic.Summation,default_ushift,2,1.0,1.0,1,0,0,46,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AccurateArithmetic/depot/packages/AccurateArithmetic/pWUv7/src/Summation.jl,101
AccurateArithmetic.Summation,default_ushift,1,1.0,1.0,1,0,0,46,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AccurateArithmetic/depot/packages/AccurateArithmetic/pWUv7/src/Summation.jl,99
AccurateArithmetic.Summation,_dot,5,1.0,1.0,2,0,0,204,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AccurateArithmetic/depot/packages/AccurateArithmetic/pWUv7/src/Summation.jl,137
AccurateArithmetic.Summation,add!,4,1.0,1.0,2,0,0,209,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AccurateArithmetic/depot/packages/AccurateArithmetic/pWUv7/src/accumulators/compSum.jl,14
AccurateArithmetic.Summation,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AccurateArithmetic/depot/packages/AccurateArithmetic/pWUv7/src/Summation.jl,1
