modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
ArchGDAL,#copy#134,false,false,3,1,"Union{Tuple{Union{Test.Error, Test.Fail},Union{Bool, Array{Union{Ptr{Nothing}, Base.InterpreterIP},1}}}, Test.Pass}","Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},typeof(ArchGDAL.copy),var""#248#256""{ArchGDAL.IRasterBand{UInt8}},ArchGDAL.Dataset",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArchGDAL/depot/packages/ArchGDAL/6e9sT/src/context.jl,213
ArchGDAL,ngeom,true,true,1,2,Int32,ArchGDAL.Geometry,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArchGDAL/depot/packages/ArchGDAL/6e9sT/src/ogr/geometry.jl,1075
ArchGDAL,unsafe_buffer,true,false,0,1,ArchGDAL.Geometry,"ArchGDAL.Geometry,Real,Integer",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArchGDAL/depot/packages/ArchGDAL/6e9sT/src/ogr/geometry.jl,680
ArchGDAL,importESRI!,true,true,1,1,ArchGDAL.ISpatialRef,"ArchGDAL.ISpatialRef,String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArchGDAL/depot/packages/ArchGDAL/6e9sT/src/spatialref.jl,348
ArchGDAL,#update#201,true,true,3,1,Nothing,"Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},typeof(ArchGDAL.update),var""#234#238""{ArchGDAL.Dataset},String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArchGDAL/depot/packages/ArchGDAL/6e9sT/src/context.jl,213
ArchGDAL,importCRS!,true,true,0,1,ArchGDAL.SpatialRef,"ArchGDAL.SpatialRef,GeoFormatTypes.ProjString",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArchGDAL/depot/packages/ArchGDAL/6e9sT/src/spatialref.jl,31
ArchGDAL,convexhull,true,true,0,1,ArchGDAL.IGeometry,ArchGDAL.Geometry,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArchGDAL/depot/packages/ArchGDAL/6e9sT/src/ogr/geometry.jl,649
ArchGDAL,arecompatible,true,true,0,1,Bool,"GDAL.OGRFieldType,GDAL.OGRFieldSubType",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArchGDAL/depot/packages/ArchGDAL/6e9sT/src/types.jl,407
ArchGDAL,getoverview,false,false,0,1,Any,"Function,ArchGDAL.IRasterBand{UInt8},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArchGDAL/depot/packages/ArchGDAL/6e9sT/src/context.jl,213
ArchGDAL,read,false,false,0,1,"Union{Tuple{Union{Test.Error, Test.Fail},Union{Bool, Array{Union{Ptr{Nothing}, Base.InterpreterIP},1}}}, Test.Pass}","var""#346#349""{ArchGDAL.Dataset},String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArchGDAL/depot/packages/ArchGDAL/6e9sT/src/context.jl,213
ArchGDAL,unsafe_creategeomdefn,true,true,0,1,ArchGDAL.GeomFieldDefn,"String,GDAL.OGRwkbGeometryType",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArchGDAL/depot/packages/ArchGDAL/6e9sT/src/ogr/fielddefn.jl,271
ArchGDAL,destroy,true,true,0,1,Ptr{Nothing},ArchGDAL.SpatialRef,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArchGDAL/depot/packages/ArchGDAL/6e9sT/src/spatialref.jl,136
ArchGDAL,addgeom!,true,true,1,1,ArchGDAL.Geometry,"ArchGDAL.Geometry,ArchGDAL.IGeometry",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArchGDAL/depot/packages/ArchGDAL/6e9sT/src/ogr/geometry.jl,1141
GeoFormatTypes,mode,true,true,0,1,GeoFormatTypes.Geom,"GeoFormatTypes.WellKnownBinary{GeoFormatTypes.Geom,Array{UInt8,1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArchGDAL/depot/packages/GeoFormatTypes/or44m/src/GeoFormatTypes.jl,90
GeoFormatTypes,val,true,true,0,1,String,"GeoFormatTypes.GML{GeoFormatTypes.Geom,String}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArchGDAL/depot/packages/GeoFormatTypes/or44m/src/GeoFormatTypes.jl,88
ArchGDAL,unsafe_createmultilinestring,true,true,4,1,ArchGDAL.Geometry,"Array{Array{Array{Float64,1},1},1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArchGDAL/depot/packages/ArchGDAL/6e9sT/src/ogr/geometry.jl,1490
ArchGDAL,equals,true,true,0,1,Bool,"ArchGDAL.Geometry,ArchGDAL.IGeometry",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArchGDAL/depot/packages/ArchGDAL/6e9sT/src/ogr/geometry.jl,577
ArchGDAL,clearspatialfilter!,true,true,0,1,ArchGDAL.IFeatureLayer,ArchGDAL.IFeatureLayer,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArchGDAL/depot/packages/ArchGDAL/6e9sT/src/ogr/featurelayer.jl,186
ArchGDAL,fidcolumnname,true,true,0,1,"Union{Nothing, String}",ArchGDAL.IFeatureLayer,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArchGDAL/depot/packages/ArchGDAL/6e9sT/src/ogr/featurelayer.jl,1054
ArchGDAL,unsafe_getoverview,false,false,0,1,ArchGDAL.RasterBand{_A} where _A,"ArchGDAL.IRasterBand{UInt8},Integer",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArchGDAL/depot/packages/ArchGDAL/6e9sT/src/raster/rasterband.jl,298
ArchGDAL,#nextfeature#190,false,false,3,1,"Union{Tuple{Union{Test.Error, Test.Fail},Union{Bool, Array{Union{Ptr{Nothing}, Base.InterpreterIP},1}}}, Test.Pass}","Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},typeof(ArchGDAL.nextfeature),var""#110#119"",ArchGDAL.IFeatureLayer",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArchGDAL/depot/packages/ArchGDAL/6e9sT/src/context.jl,213
ArchGDAL,unsafe_importWKT,true,true,0,1,ArchGDAL.SpatialRef,String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArchGDAL/depot/packages/ArchGDAL/6e9sT/src/spatialref.jl,279
ArchGDAL,#createmultilinestring#144,false,false,3,1,"Union{Tuple{Union{Test.Error, Test.Fail},Union{Bool, Array{Union{Ptr{Nothing}, Base.InterpreterIP},1}}}, Test.Pass}","Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},typeof(ArchGDAL.createmultilinestring),var""#466#469""{String}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArchGDAL/depot/packages/ArchGDAL/6e9sT/src/context.jl,213
ArchGDAL,resetreading!,true,true,0,1,Nothing,ArchGDAL.StyleTable,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArchGDAL/depot/packages/ArchGDAL/6e9sT/src/ogr/styletable.jl,421
ArchGDAL,unsafe_delaunaytriangulation,true,false,0,1,ArchGDAL.Geometry,"ArchGDAL.Geometry,Real,Bool",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArchGDAL/depot/packages/ArchGDAL/6e9sT/src/ogr/geometry.jl,535
ArchGDAL,lineargeom,false,false,0,1,"Union{Tuple{Union{Test.Error, Test.Fail},Union{Bool, Array{Union{Ptr{Nothing}, Base.InterpreterIP},1}}}, Test.Pass}","var""#67#81"",ArchGDAL.Geometry,Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArchGDAL/depot/packages/ArchGDAL/6e9sT/src/context.jl,213
ArchGDAL,colorinterp,true,true,0,1,GDAL.GDALColorInterp,String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArchGDAL/depot/packages/ArchGDAL/6e9sT/src/types.jl,379
