modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
ArgCheck,build_error,5,0.4,0.4,3,0,0,73,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArgCheck/depot/packages/ArgCheck/5xEDR/src/checks.jl,254
ArgCheck,default_exception_type,1,1.0,1.0,1,0,0,38,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArgCheck/depot/packages/ArgCheck/5xEDR/src/checks.jl,248
ArgCheck,check,14,1.0,0.5714285714285714,1,0,1,301,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArgCheck/depot/packages/ArgCheck/5xEDR/src/checks.jl,95
ArgCheck,analyze_call_arg,4,0.0,0.0,3,0,0,537,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArgCheck/depot/packages/ArgCheck/5xEDR/src/checks.jl,120
ArgCheck,build_error,8,0.625,0.625,3,0,0,62,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArgCheck/depot/packages/ArgCheck/5xEDR/src/checks.jl,259
ArgCheck,check,1,0.0,0.0,1,0,0,707,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArgCheck/depot/packages/ArgCheck/5xEDR/src/checks.jl,181
ArgCheck,error_message,1,1.0,1.0,1,0,0,58,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArgCheck/depot/packages/ArgCheck/5xEDR/src/checks.jl,268
ArgCheck,default_exception_type,1,1.0,1.0,1,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArgCheck/depot/packages/ArgCheck/5xEDR/src/checks.jl,249
ArgCheck,build_call,2,0.0,0.0,1,0,0,1151,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArgCheck/depot/packages/ArgCheck/5xEDR/src/checks.jl,152
ArgCheck,error_message,1,1.0,1.0,1,0,0,46,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArgCheck/depot/packages/ArgCheck/5xEDR/src/checks.jl,270
ArgCheck,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArgCheck/depot/packages/ArgCheck/5xEDR/src/ArgCheck.jl,1
ArgCheck,pretty_string,1,1.0,1.0,1,0,0,45,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArgCheck/depot/packages/ArgCheck/5xEDR/src/checks.jl,280
ArgCheck,mark_check,2,1.0,0.5,1,0,0,55,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArgCheck/depot/packages/ArgCheck/5xEDR/src/checks.jl,7
ArgCheck,pretty_string,1,1.0,1.0,1,0,0,45,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArgCheck/depot/packages/ArgCheck/5xEDR/src/checks.jl,281
ArgCheck,pretty_string,3,0.6666666666666666,0.6666666666666666,2,0,0,45,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArgCheck/depot/packages/ArgCheck/5xEDR/src/checks.jl,279
ArgCheck,pretty_string,9,1.0,0.8888888888888888,1,0,0,168,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArgCheck/depot/packages/ArgCheck/5xEDR/src/checks.jl,272
ArgCheck,expr_error_block,4,0.5,0.5,2,0,1,209,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArgCheck/depot/packages/ArgCheck/5xEDR/src/checks.jl,237
ArgCheck,check,1,0.0,0.0,1,0,0,1014,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArgCheck/depot/packages/ArgCheck/5xEDR/src/checks.jl,206
ArgCheck,fancy_error_message,2,1.0,0.0,1,0,0,350,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArgCheck/depot/packages/ArgCheck/5xEDR/src/checks.jl,283
ArgCheck,@check,3,1.0,0.0,1,4,1,79,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArgCheck/depot/packages/ArgCheck/5xEDR/src/checks.jl,91
ArgCheck,error_message,1,1.0,1.0,1,0,0,46,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArgCheck/depot/packages/ArgCheck/5xEDR/src/checks.jl,269
ArgCheck,build_error,3,0.0,0.0,1,0,0,88,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArgCheck/depot/packages/ArgCheck/5xEDR/src/checks.jl,251
ArgCheck,check,1,1.0,1.0,1,0,0,203,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArgCheck/depot/packages/ArgCheck/5xEDR/src/checks.jl,108
ArgCheck,build_error,2,1.0,1.0,2,0,0,41,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArgCheck/depot/packages/ArgCheck/5xEDR/src/checks.jl,264
ArgCheck,analyze_call,2,0.5,0.0,2,0,0,562,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArgCheck/depot/packages/ArgCheck/5xEDR/src/checks.jl,138
ArgCheck,build_error,16,1.0,0.625,4,0,0,73,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArgCheck/depot/packages/ArgCheck/5xEDR/src/checks.jl,259
ArgCheck,@argcheck,4,1.0,0.0,1,4,1,79,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArgCheck/depot/packages/ArgCheck/5xEDR/src/checks.jl,74
