modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
ArrayInterface,to_indices,true,true,1,1,Tuple{Int64},"LinearIndices{2,Tuple{Base.OneTo{Int64},Base.OneTo{Int64}}},Tuple{Base.OneTo{Int64}},Tuple{Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArrayInterface/depot/packages/ArrayInterface/rIWgb/src/indexing.jl,215
StaticArrays,similar_type,true,true,0,1,"Type{SArray{Tuple{4},Int64,1,4}}","SArray{Tuple{4},Int64,1,4},Size{(4,)}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArrayInterface/depot/packages/StaticArrays/qd9eq/src/abstractarray.jl,66
ArrayInterface,can_flatten,true,true,0,1,Bool,"Type{Wrapper{Float64,3,Base.ReshapedArray{Float64,3,SubArray{Float64,1,Array{Float64,1},Tuple{UnitRange{Int64}},true},Tuple{}}}},Type{CartesianIndex{3}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArrayInterface/depot/packages/ArrayInterface/rIWgb/src/indexing.jl,184
ArrayInterface,parent_type,true,true,0,1,"Type{Adjoint{Float64,NamedDimsWrapper{(static(:x), static(:y)),Float64,2,Array{Float64,2}}}}","Type{PermutedDimsArray{Float64,2,(2, 1),(2, 1),Adjoint{Float64,NamedDimsWrapper{(static(:x), static(:y)),Float64,2,Array{Float64,2}}}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArrayInterface/depot/packages/ArrayInterface/rIWgb/src/ArrayInterface.jl,56
ArrayInterface,parent_type,true,true,0,1,"Type{NamedDimsWrapper{(static(:x), static(:y)),Float64,2,Array{Float64,2}}}","Type{SubArray{Float64,1,NamedDimsWrapper{(static(:x), static(:y)),Float64,2,Array{Float64,2}},Tuple{Base.Slice{Base.OneTo{Int64}},Int64},true}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArrayInterface/depot/packages/ArrayInterface/rIWgb/src/ArrayInterface.jl,50
ArrayInterface,setindex,true,false,0,1,BitArray{3},"BitArray{3},BitArray{3},Function,Function,Function",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArrayInterface/depot/packages/ArrayInterface/rIWgb/src/ArrayInterface.jl,133
ArrayInterface,unsafe_set_element!,true,false,0,1,Int64,"NamedDimsWrapper{(static(:x), static(:y)),Float64,2,Array{Float64,2}},Int64,Tuple{Vararg{Int64,N} where N}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArrayInterface/depot/packages/ArrayInterface/rIWgb/src/indexing.jl,574
StaticArrays,_out_index_size,false,false,0,1,"Tuple{Int64,Vararg{Any,N} where N}","Tuple{},Type{Size{(2,)}},Type{T} where T",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArrayInterface/depot/packages/StaticArrays/qd9eq/src/indexing.jl,89
StaticArrays,similar_type,true,true,0,1,"Type{MArray{Tuple{5},Float64,1,5}}","Type{MArray{Tuple{5,5},Float64,2,25}},Type{Float64},Size{(5,)}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArrayInterface/depot/packages/StaticArrays/qd9eq/src/abstractarray.jl,103
ArrayInterface,ncolon,true,true,0,1,Int64,"Tuple{Int64,Int64,Colon},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArrayInterface/depot/packages/ArrayInterface/rIWgb/src/dimensions.jl,258
ArrayInterface,offsets,true,true,0,1,StaticInt{1},"Adjoint{Float64,SubArray{Float64,2,PermutedDimsArray{Float64,3,(3, 1, 2),(2, 3, 1),Array{Float64,3}},Tuple{Base.Slice{Base.OneTo{Int64}},UnitRange{Int64},Int64},false}},StaticInt{2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArrayInterface/depot/packages/ArrayInterface/rIWgb/src/stridelayout.jl,29
StaticArrays,_axes,true,true,0,1,"Tuple{SOneTo{1},SOneTo{1}}","Size{(1, 1)}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArrayInterface/depot/packages/StaticArrays/qd9eq/src/abstractarray.jl,12
ArrayInterface,strides,true,true,0,1,"Tuple{StaticInt{1},Int64}","Adjoint{Float64,SubArray{Float64,2,PermutedDimsArray{Float64,3,(3, 1, 2),(2, 3, 1),Array{Float64,3}},Tuple{Base.Slice{Base.OneTo{Int64}},UnitRange{Int64},Int64},false}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArrayInterface/depot/packages/ArrayInterface/rIWgb/src/stridelayout.jl,431
StaticArrays,similar_type,true,true,0,1,"Type{SArray{Tuple{3,3},Float64,2,9}}","Type{SArray{Tuple{3,1},Float64,2,3}},Type{Float64},Size{(3, 3)}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArrayInterface/depot/packages/StaticArrays/qd9eq/src/abstractarray.jl,100
OffsetArrays,#OffsetArray#17,true,true,2,1,"OffsetArray{Float64,1,LinRange{Float64}}","Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},Type{OffsetArray},LinRange{Float64},Tuple{Base.IdentityUnitRange{UnitRange{Int64}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArrayInterface/depot/packages/OffsetArrays/bZKwG/src/OffsetArrays.jl,197
StaticArrays,tuple_minimum,false,false,1,2,Any,Type{Tuple{8}},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ArrayInterface/depot/packages/StaticArrays/qd9eq/src/util.jl,35
