modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
BayesianNonparametrics,add!,2,0.5,0.5,2,0,0,193,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BayesianNonparametrics/depot/packages/BayesianNonparametrics/D1LGZ/src/distfunctions.jl,51
BayesianNonparametrics,#GammaNormal#16,1,1.0,1.0,1,0,0,68,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BayesianNonparametrics/depot/packages/BayesianNonparametrics/D1LGZ/src/distributions.jl,97
BayesianNonparametrics,remove!,1,0.0,0.0,1,0,0,239,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BayesianNonparametrics/depot/packages/BayesianNonparametrics/D1LGZ/src/distfunctions.jl,127
BayesianNonparametrics,add!,1,1.0,1.0,1,0,0,470,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BayesianNonparametrics/depot/packages/BayesianNonparametrics/D1LGZ/src/distfunctions.jl,57
BayesianNonparametrics,posteriorParameters,1,1.0,0.0,1,0,0,821,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BayesianNonparametrics/depot/packages/BayesianNonparametrics/D1LGZ/src/distfunctions.jl,220
BayesianNonparametrics,remove!,1,1.0,1.0,1,0,0,117,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BayesianNonparametrics/depot/packages/BayesianNonparametrics/D1LGZ/src/distfunctions.jl,180
BayesianNonparametrics,remove!,2,1.0,1.0,1,0,0,503,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BayesianNonparametrics/depot/packages/BayesianNonparametrics/D1LGZ/src/distfunctions.jl,121
BayesianNonparametrics,#bloobs#6,1,1.0,0.0,1,0,0,881,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BayesianNonparametrics/depot/packages/BayesianNonparametrics/D1LGZ/src/datasets.jl,3
BayesianNonparametrics,remove!,1,1.0,1.0,1,0,0,193,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BayesianNonparametrics/depot/packages/BayesianNonparametrics/D1LGZ/src/distfunctions.jl,135
BayesianNonparametrics,add!,1,1.0,1.0,1,0,0,117,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BayesianNonparametrics/depot/packages/BayesianNonparametrics/D1LGZ/src/distfunctions.jl,88
BayesianNonparametrics,init,1,1.0,1.0,1,0,0,1802,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BayesianNonparametrics/depot/packages/BayesianNonparametrics/D1LGZ/src/dpmm.jl,70
BayesianNonparametrics,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BayesianNonparametrics/depot/packages/BayesianNonparametrics/D1LGZ/src/BayesianNonparametrics.jl,3
BayesianNonparametrics,init,1,1.0,1.0,1,0,0,915,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BayesianNonparametrics/depot/packages/BayesianNonparametrics/D1LGZ/src/dpmm.jl,124
BayesianNonparametrics,add!,3,1.0,0.6666666666666666,1,0,0,503,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BayesianNonparametrics/depot/packages/BayesianNonparametrics/D1LGZ/src/distfunctions.jl,31
BayesianNonparametrics,logpostpred,2,0.0,0.0,1,0,0,424,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BayesianNonparametrics/depot/packages/BayesianNonparametrics/D1LGZ/src/distfunctions.jl,274
BayesianNonparametrics,remove!,1,1.0,0.0,1,0,0,551,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BayesianNonparametrics/depot/packages/BayesianNonparametrics/D1LGZ/src/distfunctions.jl,109
BayesianNonparametrics,add,4,0.5,0.5,2,0,0,80,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BayesianNonparametrics/depot/packages/BayesianNonparametrics/D1LGZ/src/distfunctions.jl,8
BayesianNonparametrics,train,1,1.0,1.0,1,0,0,706,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BayesianNonparametrics/depot/packages/BayesianNonparametrics/D1LGZ/src/inference.jl,19
BayesianNonparametrics,#resampleα#2,1,1.0,1.0,1,0,0,548,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BayesianNonparametrics/depot/packages/BayesianNonparametrics/D1LGZ/src/utils.jl,8
BayesianNonparametrics,add!,1,0.0,0.0,1,0,0,239,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BayesianNonparametrics/depot/packages/BayesianNonparametrics/D1LGZ/src/distfunctions.jl,37
BayesianNonparametrics,posteriorParameters,1,1.0,1.0,1,0,0,162,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BayesianNonparametrics/depot/packages/BayesianNonparametrics/D1LGZ/src/distfunctions.jl,263
BayesianNonparametrics,updateenergy!,2,0.0,0.0,1,0,0,677,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BayesianNonparametrics/depot/packages/BayesianNonparametrics/D1LGZ/src/dpmm.jl,235
BayesianNonparametrics,add!,1,1.0,0.0,1,0,0,183,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BayesianNonparametrics/depot/packages/BayesianNonparametrics/D1LGZ/src/distfunctions.jl,25
BayesianNonparametrics,add!,2,1.0,0.0,1,0,0,547,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BayesianNonparametrics/depot/packages/BayesianNonparametrics/D1LGZ/src/distfunctions.jl,19
BayesianNonparametrics,extractpointestimate,1,1.0,1.0,1,0,0,179,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BayesianNonparametrics/depot/packages/BayesianNonparametrics/D1LGZ/src/dpmm.jl,266
BayesianNonparametrics,gibbs!,1,1.0,0.0,1,0,0,2250,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BayesianNonparametrics/depot/packages/BayesianNonparametrics/D1LGZ/src/dpmm.jl,162
