modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
BifurcationKit,apply,true,true,0,1,"Array{Float64,1}","BifurcationKit.MatrixFreeBLSmap{Array{Float64,2},Array{Float64,1},Array{Float64,1},Float64},SubArray{Float64,1,Array{Float64,2},Tuple{Base.Slice{Base.OneTo{Int64}},Int64},true}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/Utils.jl,128
BifurcationKit,#BorderingBLS#46,true,true,0,1,"BorderingBLS{GMRESKrylovKit{Float64,Nothing},Float64}","GMRESKrylovKit{Float64,Nothing},Float64,Bool,Type{BorderingBLS}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/Parameters/cGriM/src/Parameters.jl,520
BifurcationKit,_axpy,false,false,4,5,Any,"Any,Int64,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/LinearSolver.jl,20
BifurcationKit,apply,false,false,0,1,Any,"var""#7#8"",Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/Utils.jl,128
LoopVectorization,iterate,true,true,4,2,"Union{Nothing, Tuple{Array{Symbol,1},Tuple{SubArray{Int64,1,Array{Int64,1},Tuple{UnitRange{Int64}},true},SubArray{Int64,1,Array{Int64,1},Tuple{UnitRange{Int64}},true}}}}","LoopVectorization.LoopOrders,Tuple{SubArray{Int64,1,Array{Int64,1},Tuple{UnitRange{Int64}},true},SubArray{Int64,1,Array{Int64,1},Tuple{UnitRange{Int64}},true}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/LoopVectorization/s8Gx6/src/modeling/determinestrategy.jl,1168
IterativeSolvers,iterate,true,true,5,2,"Union{Nothing, Tuple{Float64,Int64}}","IterativeSolvers.GMRESIterable{IterativeSolvers.Identity,IterativeSolvers.Identity,Array{Float64,1},Array{Float64,1},Array{Float64,1},IterativeSolvers.ArnoldiDecomp{Float64,LinearMaps.FunctionMap{Float64,BifurcationKit.var""#19#20""{var""#9#10""},Nothing}},IterativeSolvers.Residual{Float64,Float64},Float64,IterativeSolvers.ModifiedGramSchmidt},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/IterativeSolvers/xIVNp/src/gmres.jl,57
BifurcationKit,#_#25,false,false,7,1,"Tuple{AbstractArray,Bool,Int64}","Int64,Int64,Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},GMRESKrylovKit{Float64,SuiteSparse.UMFPACK.UmfpackLU{Float64,Int64}},Function,Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/LinearSolver.jl,224
OrderedCollections,iterate,true,false,1,2,"Union{Nothing, Tuple{Pair{_A,_B} where _B where _A,Int64}}","OrderedCollections.OrderedDict,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/OrderedCollections/PRayh/src/ordered_dict.jl,452
BifurcationKit,#_#25,false,false,7,1,"Tuple{AbstractArray,Bool,Int64}","Int64,Int64,Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},GMRESKrylovKit{Float64,Nothing},Function,Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/LinearSolver.jl,224
BifurcationKit,extractVecBLS,true,true,0,1,"Array{Float64,1}","BorderedArray{Array{Float64,1},Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/LinearBorderSolver.jl,151
BifurcationKit,#_#11,false,false,6,1,"Tuple{Union{Float64, Array{Float64,1}, IterativeSolvers.ConvergenceHistory{_A,Int64} where _A},Bool,Int64}","Float64,Float64,Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},GMRESIterativeSolvers{Float64,IterativeSolvers.Identity,IterativeSolvers.Identity},SparseMatrixCSC{Float64,Int64},Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/LinearSolver.jl,132
IterativeSolvers,iterate,true,true,5,2,"Union{Nothing, Tuple{Float64,Int64}}","IterativeSolvers.GMRESIterable{IterativeSolvers.Identity,IterativeSolvers.Identity,Array{Float64,1},Array{Float64,1},Array{Float64,1},IterativeSolvers.ArnoldiDecomp{Float64,LinearMaps.FunctionMap{Float64,BifurcationKit.var""#12#13""{Int64,Int64,SparseMatrixCSC{Float64,Int64}},Nothing}},IterativeSolvers.Residual{Float64,Float64},Float64,IterativeSolvers.ModifiedGramSchmidt},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/IterativeSolvers/xIVNp/src/gmres.jl,57
BifurcationKit,apply,true,true,0,1,"Array{Float64,1}","Array{Float64,2},SubArray{Float64,1,Array{Float64,2},Tuple{UnitRange{Int64},Int64},true}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/Utils.jl,127
BifurcationKit,minus,true,true,0,1,"BorderedArray{Array{Float64,1},Float64}","BorderedArray{Array{Float64,1},Float64},BorderedArray{Array{Float64,1},Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/BorderedArrays.jl,116
BifurcationKit,#PrecPartialSchurKrylovKit#52,true,true,0,1,"BifurcationKit.PrecPartialSchur{Array{Float64,2},Array{Float64,2},Array{Float64,2},Array{Complex{Float64},1}}","Int64,Int64,typeof(PrecPartialSchurKrylovKit),SparseMatrixCSC{Float64,Int64},Array{Float64,1},Int64,Symbol",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/Preconditioner.jl,43
DataStructures,iterate,true,false,0,1,"Union{Nothing, Tuple{Any,Tuple{Int64,UInt32}}}","Base.KeySet{var""#s145"",T} where T<:(DataStructures.SwissDict{var""#s145"",V} where V) where var""#s145""",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/DataStructures/ixwFs/src/swiss_dict.jl,646
BifurcationKit,#_#25,true,false,7,1,"Tuple{Array{Float64,1},Bool,Int64}","Int64,Int64,Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},GMRESKrylovKit{Float64,Nothing},SparseMatrixCSC{Float64,Int64},Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/LinearSolver.jl,224
BifurcationKit,_axpy_op,true,true,4,5,"Array{Float64,1}","SparseMatrixCSC{Float64,Int64},Array{Float64,1},Int64,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/LinearSolver.jl,38
BifurcationKit,apply,false,false,0,1,Any,"AbstractArray{T,2} where T,AbstractArray{T,1} where T",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/Utils.jl,127
BifurcationKit,apply,true,true,0,1,"Array{Float64,1}","SparseMatrixCSC{Float64,Int64},SubArray{Float64,1,Array{Float64,2},Tuple{Base.Slice{Base.OneTo{Int64}},Int64},true}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/Utils.jl,127
BifurcationKit,apply,true,true,0,0,Union{},"SuiteSparse.UMFPACK.UmfpackLU{Float64,Int64},Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/Utils.jl,128
BifurcationKit,#_#1,false,false,2,1,"Tuple{Union{Float64, Array{Float64,1}, IterativeSolvers.ConvergenceHistory{_A,Int64} where _A},Union{Float64, Array{Float64,1}, IterativeSolvers.ConvergenceHistory{_A,Int64} where _A},Bool,Tuple{Int64,Int64}}","Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},GMRESIterativeSolvers{Float64,IterativeSolvers.Identity,IterativeSolvers.Identity},Array{Float64,2},Array{Float64,1},Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/LinearSolver.jl,10
BifurcationKit,#_#5,true,true,0,1,"Tuple{Array{Float64,1},Bool,Int64}","Int64,Int64,Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},DefaultLS,SparseMatrixCSC{Float64,Int64},Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/LinearSolver.jl,74
LinearAlgebra,iterate,true,true,0,1,"Tuple{Array{Float64,2},Val{:done}}","LinearAlgebra.QRCompactWY{Float64,Array{Float64,2}},Val{:R}",/build/source/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/qr.jl,127
BifurcationKit,extractVecBLS,true,true,0,1,"SubArray{Float64,1,Array{Float64,1},Tuple{UnitRange{Int64}},true}","Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/LinearBorderSolver.jl,150
DataStructures,iterate,true,false,2,2,"Union{Nothing, Tuple{Any,Tuple{Int64,UInt32}}}","Base.KeySet{var""#s145"",T} where T<:(DataStructures.SwissDict{var""#s145"",V} where V) where var""#s145"",Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/DataStructures/ixwFs/src/swiss_dict.jl,646
BifurcationKit,#GMRESIterativeSolvers!#15,true,true,0,1,"GMRESIterativeSolvers!{Float64,IterativeSolvers.Identity,IterativeSolvers.Identity}","Float64,Float64,Int64,Int64,Int64,Bool,Bool,Bool,IterativeSolvers.Identity,IterativeSolvers.Identity,Type{GMRESIterativeSolvers!}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/Parameters/cGriM/src/Parameters.jl,520
BifurcationKit,#_#18,false,false,6,1,"Tuple{Union{Float64, Array{Float64,1}, IterativeSolvers.ConvergenceHistory{_A,Int64} where _A},Bool,Int64}","Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},GMRESIterativeSolvers!{Float64,IterativeSolvers.Identity,IterativeSolvers.Identity},Function,Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/LinearSolver.jl,178
BifurcationKit,apply,true,true,0,1,"Array{Float64,1}","SparseMatrixCSC{Float64,Int64},Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/Utils.jl,127
IterativeSolvers,iterate,true,true,5,2,"Union{Nothing, Tuple{Float64,Int64}}","IterativeSolvers.GMRESIterable{IterativeSolvers.Identity,IterativeSolvers.Identity,Array{Float64,1},Array{Float64,1},Array{Float64,1},IterativeSolvers.ArnoldiDecomp{Float64,LinearMaps.FunctionMap{Float64,BifurcationKit.var""#12#13""{Int64,Int64,Array{Float64,2}},Nothing}},IterativeSolvers.Residual{Float64,Float64},Float64,IterativeSolvers.ModifiedGramSchmidt},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/IterativeSolvers/xIVNp/src/gmres.jl,57
LibGit2,iterate,true,true,2,2,"Union{Nothing, Tuple{LibGit2.RebaseOperation,Nothing}}","LibGit2.GitRebase,Nothing",/build/source/usr/share/julia/stdlib/v1.5/LibGit2/src/rebase.jl,48
IterativeSolvers,iterate,true,true,0,1,"Union{Nothing, Tuple{Float64,Int64}}","IterativeSolvers.GMRESIterable{IterativeSolvers.Identity,IterativeSolvers.Identity,Array{Float64,1},Array{Float64,1},Array{Float64,1},IterativeSolvers.ArnoldiDecomp{Float64,LinearMaps.FunctionMap{Float64,BifurcationKit.var""#12#13""{Int64,Int64,SparseMatrixCSC{Float64,Int64}},Nothing}},IterativeSolvers.Residual{Float64,Float64},Float64,IterativeSolvers.ModifiedGramSchmidt}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/IterativeSolvers/xIVNp/src/gmres.jl,57
BifurcationKit,apply,true,true,0,1,"Array{Float64,1}","Array{Float64,2},Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/Utils.jl,127
BifurcationKit,#_#49,false,false,2,1,"Tuple{Any,Any,Bool,Tuple{Int64,Int64}}","Nothing,BorderingBLS{DefaultLS,Float64},Array{Float64,2},Array{Float64,1},Array{Float64,1},Float64,Array{Float64,1},Float64,Float64,Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/LinearBorderSolver.jl,32
BifurcationKit,apply,true,false,0,0,Union{},"Array{Float64,2},IterativeSolvers.ConvergenceHistory{_A,Int64} where _A",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/Utils.jl,128
Pkg.Resolve,iterate,true,true,0,1,"Union{Nothing, Tuple{Int64,Int64}}","Pkg.Resolve.NodePerm,Int64",/build/source/usr/share/julia/stdlib/v1.5/Pkg/src/Resolve/maxsum.jl,228
LoopVectorization,iterate,true,true,0,1,"Tuple{Array{Symbol,1},Tuple{SubArray{Int64,1,Array{Int64,1},Tuple{UnitRange{Int64}},true},SubArray{Int64,1,Array{Int64,1},Tuple{UnitRange{Int64}},true}}}",LoopVectorization.LoopOrders,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/LoopVectorization/s8Gx6/src/modeling/determinestrategy.jl,1127
BifurcationKit,__init__,false,false,2,2,Any,,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/BifurcationKit.jl,56
BifurcationKit,#_#25,false,false,7,1,"Tuple{AbstractArray,Bool,Int64}","Float64,Float64,Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},GMRESKrylovKit{Float64,Nothing},Function,Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/LinearSolver.jl,224
BifurcationKit,#_#49,false,false,2,1,"Tuple{Any,Any,Bool,Tuple{Int64,Int64}}","Nothing,BorderingBLS{DefaultLS,Float64},Any,Array{Float64,1},Array{Float64,1},Float64,SubArray{Float64,1,Array{Float64,1},Tuple{UnitRange{Int64}},true},Float64,Float64,Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/LinearBorderSolver.jl,32
KrylovKit,iterate,true,true,0,1,"Union{Nothing, Tuple{Array{Float64,1},Int64}}","KrylovKit.OrthonormalBasis{Array{Float64,1}},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/KrylovKit/YPiz7/src/orthonormal.jl,35
BifurcationKit,PrecPartialSchurArnoldiMethod,true,true,0,1,"BifurcationKit.PrecPartialSchur{SubArray{Float64,2,Array{Float64,2},Tuple{UnitRange{Int64},UnitRange{Int64}},false},SubArray{Float64,2,Array{Float64,2},Tuple{Base.Slice{Base.OneTo{Int64}},UnitRange{Int64}},true},Array{Float64,2},Array{Complex{Float64},1}}","SparseMatrixCSC{Float64,Int64},Int64,Int64,LM",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/Preconditioner.jl,55
BifurcationKit,#GMRESIterativeSolvers#8,true,true,0,1,"GMRESIterativeSolvers{Float64,IterativeSolvers.Identity,IterativeSolvers.Identity}","Float64,Float64,Int64,Int64,Int64,Bool,Bool,Bool,IterativeSolvers.Identity,IterativeSolvers.Identity,Type{GMRESIterativeSolvers}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/Parameters/cGriM/src/Parameters.jl,520
BifurcationKit,#_#51,true,false,2,1,"Tuple{SubArray{Float64,1,Array{Float64,1},Tuple{UnitRange{Int64}},true},Float64,Bool,Int64}","Nothing,MatrixFreeBLS{GMRESIterativeSolvers{Float64,IterativeSolvers.Identity,IterativeSolvers.Identity}},Array{Float64,2},Array{Float64,1},Array{Float64,1},Float64,Array{Float64,1},Float64,Float64,Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/LinearBorderSolver.jl,157
BifurcationKit,extractParBLS,true,true,0,1,Float64,"Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/LinearBorderSolver.jl,153
DataStructures,iterate,true,false,2,2,"Union{Nothing, Tuple{Any,Tuple{Any,UInt32}}}","Base.KeySet{var""#s142"",T} where T<:(DataStructures.SwissDict{var""#s142"",V} where V) where var""#s142"",Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/DataStructures/ixwFs/src/swiss_dict.jl,646
BifurcationKit,#_#11,false,false,6,1,"Tuple{Union{Float64, Array{Float64,1}, IterativeSolvers.ConvergenceHistory{_A,Int64} where _A},Bool,Int64}","Int64,Int64,Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},GMRESIterativeSolvers{Float64,IterativeSolvers.Identity,IterativeSolvers.Identity},SparseMatrixCSC{Float64,Int64},Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/LinearSolver.jl,132
KrylovKit,iterate,true,true,0,1,"Union{Nothing, Tuple{BorderedArray{Array{Float64,1},Float64},Int64}}","KrylovKit.OrthonormalBasis{BorderedArray{Array{Float64,1},Float64}},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/KrylovKit/YPiz7/src/orthonormal.jl,35
BifurcationKit,_axpy_op,true,true,4,5,"Array{Float64,1}","SparseMatrixCSC{Float64,Int64},Array{Float64,1},Float64,Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/LinearSolver.jl,38
BifurcationKit,extractParBLS,true,true,0,1,Float64,"BorderedArray{Array{Float64,1},Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/LinearBorderSolver.jl,154
BifurcationKit,#BorderingBLS#46,true,true,0,1,"BorderingBLS{DefaultLS,Float64}","DefaultLS,Float64,Bool,Type{BorderingBLS}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/Parameters/cGriM/src/Parameters.jl,520
BifurcationKit,_axpy_op,true,true,4,5,"Array{Float64,1}","Array{Float64,2},Array{Float64,1},Int64,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/LinearSolver.jl,38
KrylovKit,iterate,true,true,0,1,"Union{Nothing, Tuple{Array{Float64,1},Int64}}","KrylovKit.OrthonormalBasis{Array{Float64,1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/KrylovKit/YPiz7/src/orthonormal.jl,34
BifurcationKit,#_#49,false,false,2,1,"Tuple{Union{Float64, Array{Float64,1}, IterativeSolvers.ConvergenceHistory{_A,Int64} where _A},Float64,Bool,Tuple{Int64,Int64}}","Nothing,BorderingBLS{GMRESIterativeSolvers{Float64,IterativeSolvers.Identity,IterativeSolvers.Identity},Float64},Array{Float64,2},Array{Float64,1},Array{Float64,1},Float64,Array{Float64,1},Float64,Float64,Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/LinearBorderSolver.jl,32
BifurcationKit,eval,false,false,0,1,Any,Expr,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BifurcationKit/depot/packages/BifurcationKit/cmu1R/src/BifurcationKit.jl,1
