modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
Boltzmann,#score_samples#7,true,true,4,1,"Array{Float64,1}","Int64,typeof(Boltzmann.score_samples),RBM{Float64,Normal,Bernoulli},Array{Float64,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Boltzmann/depot/packages/Boltzmann/2zIGN/src/rbm.jl,169
Boltzmann,converged,false,false,0,1,Any,Boltzmann.TestReporter,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Boltzmann/depot/packages/Boltzmann/2zIGN/src/test.jl,55
Boltzmann,@get_or_return,true,false,0,1,Expr,"LineNumberNode,Module,Any,Any,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Boltzmann/depot/packages/Boltzmann/2zIGN/src/utils.jl,68
Boltzmann,fit_batch!,true,false,2,1,"RBM{Float32,Normal,Bernoulli}","RBM{Float32,Normal,Bernoulli},AbstractArray{T,2} where T,Dict{Any,Any}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Boltzmann/depot/packages/Boltzmann/2zIGN/src/rbm.jl,356
Boltzmann,grad_apply_weight_decay!,true,false,8,3,"Union{Nothing, Array{Float32,2}}","RBM{Float32,Normal,Bernoulli},Array{Float32,2},Tuple{Array{Float32,2},Array{Float32,1},Array{Float32,1}},Dict{Any,Any}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Boltzmann/depot/packages/Boltzmann/2zIGN/src/rbm.jl,286
Boltzmann,logistic,true,true,0,1,"Array{Float64,2}","Array{Float64,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Boltzmann/depot/packages/Boltzmann/2zIGN/src/utils.jl,102
Boltzmann,hid_means,true,true,0,1,"Array{Float64,2}","RBM{Float64,Normal,Bernoulli},SparseArrays.SparseMatrixCSC{Float64,Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Boltzmann/depot/packages/Boltzmann/2zIGN/src/rbm.jl,96
Boltzmann,generate,true,true,0,1,"Array{Float64,2}","RBM{Float64,Normal,Bernoulli},SparseArrays.SparseMatrixCSC{Float64,Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Boltzmann/depot/packages/Boltzmann/2zIGN/src/rbm.jl,432
Boltzmann,grad_apply_sparsity!,true,false,4,2,Nothing,"RBM{Float32,Normal,Bernoulli},Array{Float32,2},Tuple{Array{Float32,2},Array{Float32,1},Array{Float32,1}},Dict{Any,Any}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Boltzmann/depot/packages/Boltzmann/2zIGN/src/rbm.jl,305
Boltzmann,fit,true,false,20,1,"RBM{Float32,Normal,Bernoulli}","RBM{Float32,Normal,Bernoulli},Array{Float64,2},Dict{Any,Any}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Boltzmann/depot/packages/Boltzmann/2zIGN/src/rbm.jl,387
Boltzmann,score_samples,true,true,0,1,"Array{Float64,1}","RBM{Float32,Normal,Bernoulli},SparseArrays.SparseMatrixCSC{Float32,Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Boltzmann/depot/packages/Boltzmann/2zIGN/src/rbm.jl,169
Boltzmann,#generate#10,true,true,0,1,"Array{Float32,2}","Int64,typeof(generate),RBM{Float32,Normal,Bernoulli},Array{Float64,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Boltzmann/depot/packages/Boltzmann/2zIGN/src/rbm.jl,432
Boltzmann,add!,true,true,5,1,Nothing,"Array{Float32,2},Float32",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Boltzmann/depot/packages/Boltzmann/2zIGN/src/utils.jl,179
Boltzmann,fit_batch!,true,false,2,1,"RBM{Float64,Normal,Bernoulli}","RBM{Float64,Normal,Bernoulli},Array{Float64,2},Dict{Any,Any}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Boltzmann/depot/packages/Boltzmann/2zIGN/src/rbm.jl,356
Boltzmann,generate,true,true,0,1,"Array{Float32,2}","RBM{Float32,Normal,Bernoulli},SparseArrays.SparseMatrixCSC{Float32,Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Boltzmann/depot/packages/Boltzmann/2zIGN/src/rbm.jl,432
Boltzmann,ensure_type,true,true,0,1,"Array{Float32,2}","Type{Float32},Array{Float64,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Boltzmann/depot/packages/Boltzmann/2zIGN/src/utils.jl,171
Boltzmann,#gibbs#6,true,true,3,1,"Tuple{SparseArrays.SparseMatrixCSC{Float32,Int64},Array{Float32,2},Array{Float32,2},Array{Float32,2}}","Int64,typeof(Boltzmann.gibbs),RBM{Float32,Normal,Bernoulli},SparseArrays.SparseMatrixCSC{Float32,Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Boltzmann/depot/packages/Boltzmann/2zIGN/src/rbm.jl,141
Boltzmann,free_energy,true,true,0,1,"Array{Float32,2}","RBM{Float32,Normal,Bernoulli},Array{Float32,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Boltzmann/depot/packages/Boltzmann/2zIGN/src/rbm.jl,156
Boltzmann,gibbs,true,true,0,1,"NTuple{4,Array{Float32,2}}","RBM{Float32,Normal,Bernoulli},Array{Float32,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Boltzmann/depot/packages/Boltzmann/2zIGN/src/rbm.jl,141
Boltzmann,#gibbs#6,false,false,3,1,"Tuple{AbstractArray{T,2} where T,Any,Any,Any}","Any,typeof(Boltzmann.gibbs),RBM{Float32,Normal,Bernoulli},AbstractArray{T,2} where T",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Boltzmann/depot/packages/Boltzmann/2zIGN/src/rbm.jl,141
