modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
BoltzmannMachines,freeenergy,true,true,0,1,Float64,"Softmax0BernoulliRBM,Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BoltzmannMachines/depot/packages/BoltzmannMachines/KkTqD/src/evaluating.jl,793
BoltzmannMachines,softmax0!,true,true,3,1,"SubArray{Float64,2,Array{Float64,2},Tuple{Base.Slice{Base.OneTo{Int64}},UnitRange{Int64}},true}","SubArray{Float64,2,Array{Float64,2},Tuple{Base.Slice{Base.OneTo{Int64}},UnitRange{Int64}},true},Array{UnitRange{Int64},1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BoltzmannMachines/depot/packages/BoltzmannMachines/KkTqD/src/gibbssampling.jl,836
BoltzmannMachines,logpartitionfunctionzeroweights,true,false,3,1,Float64,"Array{var""#s18"",1} where var""#s18""<:AbstractRBM",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BoltzmannMachines/depot/packages/BoltzmannMachines/KkTqD/src/evaluating.jl,1025
BoltzmannMachines,hiddenpotential,true,true,0,1,"Array{Float64,2}","Binomial2BernoulliRBM,Array{Float64,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BoltzmannMachines/depot/packages/BoltzmannMachines/KkTqD/src/gibbssampling.jl,291
BoltzmannMachines,initialized,true,false,0,1,LoglikelihoodOptimizer{Softmax0BernoulliRBM},"AbstractOptimizer{R} where R<:AbstractRBM,Softmax0BernoulliRBM",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BoltzmannMachines/depot/packages/BoltzmannMachines/KkTqD/src/optimizers.jl,145
BoltzmannMachines,monitored_fitdbm_split_kwargs,true,false,1,1,"Tuple{Dict{Symbol,Any},Dict{Symbol,Any}}","Base.Iterators.Pairs{_A,_B,_C,_D} where _D where _C where _B where _A",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BoltzmannMachines/depot/packages/BoltzmannMachines/KkTqD/src/monitoredfitting.jl,307
BoltzmannMachines,updateparameters!,true,true,3,1,"Array{BernoulliRBM,1}","Array{BernoulliRBM,1},BoltzmannMachines.StackedOptimizer",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BoltzmannMachines/depot/packages/BoltzmannMachines/KkTqD/src/optimizers.jl,464
BoltzmannMachines,#aislogimpweights#82,true,true,6,1,"Array{Float64,1}","Int64,Array{Float64,1},Int64,Int64,typeof(aislogimpweights),GaussianBernoulliRBM",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BoltzmannMachines/depot/packages/BoltzmannMachines/KkTqD/src/evaluating.jl,18
BoltzmannMachines,#monitorloglikelihood!#121,true,false,5,1,"Array{MonitoringItem,1}","Bool,Int64,Array{Float64,1},Int64,Int64,typeof(monitorloglikelihood!),Array{MonitoringItem,1},AbstractRBM,Int64,Dict{String,Array{Float64,2}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BoltzmannMachines/depot/packages/BoltzmannMachines/KkTqD/src/monitoring.jl,126
BoltzmannMachines,initparticles,true,true,0,1,"Array{Array{Float64,2},1}","GaussianBernoulliRBM,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BoltzmannMachines/depot/packages/BoltzmannMachines/KkTqD/src/gibbssampling.jl,362
BoltzmannMachines,mixedrbm,false,false,0,1,Any,"GBRBM<:Union{GaussianBernoulliRBM, GaussianBernoulliRBM2},GBRBM<:Union{GaussianBernoulliRBM, GaussianBernoulliRBM2},Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BoltzmannMachines/depot/packages/BoltzmannMachines/KkTqD/src/evaluating.jl,1150
BoltzmannMachines,monitorreconstructionerror!,true,true,3,1,"Array{MonitoringItem,1}","Array{MonitoringItem,1},GaussianBernoulliRBM2,Int64,Dict{String,Array{Float64,2}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BoltzmannMachines/depot/packages/BoltzmannMachines/KkTqD/src/monitoring.jl,264
BoltzmannMachines,sampleparticles,true,false,0,1,"Array{Array{Float64,2},1}","Array{var""#s18"",1} where var""#s18""<:AbstractRBM,Int64,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BoltzmannMachines/depot/packages/BoltzmannMachines/KkTqD/src/gibbssampling.jl,600
BoltzmannMachines,#TrainLayer#32,true,true,10,1,TrainLayer,"Int64,Float64,Array{Float64,1},Float64,Array{Float64,1},Int64,typeof(BoltzmannMachines.emptyfunc),Type{Softmax0BernoulliRBM},Int64,Int64,Int64,Bool,Int64,BoltzmannMachines.NoRBM,BoltzmannMachines.NoOptimizer,Array{AbstractOptimizer,1},Type{TrainLayer}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BoltzmannMachines/depot/packages/BoltzmannMachines/KkTqD/src/rbmstacking.jl,50
BoltzmannMachines,gibbssample!,true,true,3,1,"Array{Array{Float64,2},1}","Array{Array{Float64,2},1},BernoulliRBM,Int64,Float64,Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BoltzmannMachines/depot/packages/BoltzmannMachines/KkTqD/src/gibbssampling.jl,57
BoltzmannMachines,#initparticles#6,true,true,3,1,"Array{Array{Float64,2},1}","Bool,typeof(initparticles),Array{BoltzmannMachines.AbstractXBernoulliRBM,1},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BoltzmannMachines/depot/packages/BoltzmannMachines/KkTqD/src/gibbssampling.jl,371
BoltzmannMachines,joinweights,true,false,9,1,"Array{Float64,2}","Array{BernoulliRBM,1},Array{Array{Int64,1},1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BoltzmannMachines/depot/packages/BoltzmannMachines/KkTqD/src/weightsjoining.jl,81
BoltzmannMachines,logpartitionfunction,true,true,0,1,Float64,"GaussianBernoulliRBM2,Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BoltzmannMachines/depot/packages/BoltzmannMachines/KkTqD/src/evaluating.jl,973
BoltzmannMachines,setdefaultsforunspecified!,true,false,0,1,"Array{TrainLayer,1}","TrainPartitionedLayer,Float64,Int64,Int64,AbstractOptimizer",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BoltzmannMachines/depot/packages/BoltzmannMachines/KkTqD/src/rbmstacking.jl,196
BoltzmannMachines,energyzerohiddens,true,true,0,1,Float64,"GaussianBernoulliRBM,Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BoltzmannMachines/depot/packages/BoltzmannMachines/KkTqD/src/evaluating.jl,460
BoltzmannMachines,unnormalizedproblogratios,true,true,0,1,"Array{Float64,1}","GaussianBernoulliRBM2,Array{Float64,2},Float64,Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BoltzmannMachines/depot/packages/BoltzmannMachines/KkTqD/src/evaluating.jl,1422
BoltzmannMachines,visibleinput!,true,false,3,1,"Array{Float64,1}","Array{Float64,1},PartitionedRBM{BernoulliRBM},Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BoltzmannMachines/depot/packages/BoltzmannMachines/KkTqD/src/gibbssampling.jl,880
BoltzmannMachines,assertinitoptimizers,false,false,6,1,Any,"BoltzmannMachines.NoOptimizer,Array{AbstractOptimizer{BoltzmannMachines.NoRBM},1},GaussianBernoulliRBM2,Array{Float64,1},Array{Float64,1},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BoltzmannMachines/depot/packages/BoltzmannMachines/KkTqD/src/rbmtraining.jl,9
BoltzmannMachines,loglikelihooddiff,true,true,0,1,Float64,"BernoulliRBM,BernoulliRBM,Array{Float64,2},Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BoltzmannMachines/depot/packages/BoltzmannMachines/KkTqD/src/evaluating.jl,921
BoltzmannMachines,setmonitorsup!,false,false,0,1,Array,"Array{var""#s76"",1} where var""#s76""<:AbstractTrainLayer,typeof(monitorreconstructionerror!)",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BoltzmannMachines/depot/packages/BoltzmannMachines/KkTqD/src/monitoredfitting.jl,96
BoltzmannMachines,assertinitoptimizers,false,false,6,1,Any,"BoltzmannMachines.StackedOptimizer,Array{AbstractOptimizer,1},Array{var""#s18"",1} where var""#s18""<:AbstractRBM,Array{Float64,1},Array{Float64,1},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BoltzmannMachines/depot/packages/BoltzmannMachines/KkTqD/src/rbmtraining.jl,9
BoltzmannMachines,converttodbmoptimizer,true,false,0,1,BoltzmannMachines.StackedOptimizer,"AbstractOptimizer{var""#s31""} where var""#s31""<:AbstractRBM,Array{BernoulliRBM,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/BoltzmannMachines/depot/packages/BoltzmannMachines/KkTqD/src/optimizers.jl,46
