modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
Main,instance,1,1.0,1.0,1,0,0,36,none,0
CanonicalTraits,extract_default,2,1.0,0.5,2,1,0,1472,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CanonicalTraits/depot/packages/CanonicalTraits/5QPLz/src/Utils.jl,28
CanonicalTraits,extract_impl,1,1.0,1.0,1,1,0,1472,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CanonicalTraits/depot/packages/CanonicalTraits/5QPLz/src/Utils.jl,59
Main,check_inheritance,2,1.0,0.5,1,0,0,37,none,0
CanonicalTraits,rmlines!,1,1.0,1.0,1,0,0,122,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CanonicalTraits/depot/packages/CanonicalTraits/5QPLz/src/Utils.jl,161
CanonicalTraits,@q,1,1.0,0.0,1,4,0,67,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CanonicalTraits/depot/packages/CanonicalTraits/5QPLz/src/Utils.jl,168
CanonicalTraits,rmlines!,4,1.0,1.0,4,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CanonicalTraits/depot/packages/CanonicalTraits/5QPLz/src/Utils.jl,166
Main,default_method_maker,1,1.0,1.0,1,0,0,37,none,0
CanonicalTraits,trait,1,0.0,0.0,1,6,0,3744,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CanonicalTraits/depot/packages/CanonicalTraits/5QPLz/src/Typeclasses.jl,79
Main,instance,1,1.0,1.0,1,0,0,36,none,0
CanonicalTraits,mk_trait,6,0.0,0.0,1,0,0,441,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CanonicalTraits/depot/packages/CanonicalTraits/5QPLz/src/Typeclasses.jl,61
CanonicalTraits,extract_tvars,3,1.0,0.3333333333333333,1,0,0,1613,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CanonicalTraits/depot/packages/CanonicalTraits/5QPLz/src/Utils.jl,108
Main,check_inheritance,4,1.0,0.5,1,0,0,36,none,0
CanonicalTraits,extract_impl,1,1.0,1.0,1,0,0,37,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CanonicalTraits/depot/packages/CanonicalTraits/5QPLz/src/Utils.jl,58
CanonicalTraits,@implement,1,1.0,0.0,1,4,0,79,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CanonicalTraits/depot/packages/CanonicalTraits/5QPLz/src/Instances.jl,97
CanonicalTraits,extract_trait_mk,2,0.0,0.0,1,0,0,3765,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CanonicalTraits/depot/packages/CanonicalTraits/5QPLz/src/Utils.jl,143
Main,check_inheritance,4,1.0,0.75,1,0,0,36,none,0
CanonicalTraits,mk_method,2,1.0,0.0,1,0,0,1834,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CanonicalTraits/depot/packages/CanonicalTraits/5QPLz/src/Typeclasses.jl,1
CanonicalTraits,occurred_sym,4,1.0,0.25,1,0,0,1718,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CanonicalTraits/depot/packages/CanonicalTraits/5QPLz/src/Utils.jl,128
CanonicalTraits,extract_method_interface,7,1.0,0.0,1,0,0,166,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CanonicalTraits/depot/packages/CanonicalTraits/5QPLz/src/Utils.jl,87
CanonicalTraits,@trait,1,1.0,0.0,1,4,0,69,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CanonicalTraits/depot/packages/CanonicalTraits/5QPLz/src/Typeclasses.jl,150
CanonicalTraits,extract_method,3,0.0,0.0,1,0,0,5833,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CanonicalTraits/depot/packages/CanonicalTraits/5QPLz/src/Utils.jl,94
CanonicalTraits,mk_default_impl,1,1.0,1.0,1,0,0,247,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CanonicalTraits/depot/packages/CanonicalTraits/5QPLz/src/Typeclasses.jl,53
CanonicalTraits,eval,2,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CanonicalTraits/depot/packages/CanonicalTraits/5QPLz/src/CanonicalTraits.jl,1
CanonicalTraits,implement,7,1.0,0.0,1,8,0,2433,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CanonicalTraits/depot/packages/CanonicalTraits/5QPLz/src/Instances.jl,1
Main,instance,1,1.0,1.0,1,0,0,36,none,0
Main,default_method_maker,1,1.0,1.0,1,0,0,37,none,0
Main,default_method_maker,1,1.0,1.0,1,0,0,37,none,0
CanonicalTraits,@implement,1,1.0,0.0,1,12,0,75,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CanonicalTraits/depot/packages/CanonicalTraits/5QPLz/src/Instances.jl,93
CanonicalTraits,default_method_maker,5,1.0,0.8,4,0,0,153,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CanonicalTraits/depot/packages/CanonicalTraits/5QPLz/src/Typeclasses.jl,73
CanonicalTraits,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CanonicalTraits/depot/packages/CanonicalTraits/5QPLz/src/CanonicalTraits.jl,1
Main,default_method_maker,1,1.0,1.0,1,0,0,37,none,0
CanonicalTraits,extract_default,1,1.0,1.0,1,0,0,37,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CanonicalTraits/depot/packages/CanonicalTraits/5QPLz/src/Utils.jl,27
Main,instance,1,1.0,1.0,1,0,0,36,none,0
Main,default_method_maker,1,1.0,1.0,1,0,0,37,none,0
CanonicalTraits,implement,1,1.0,0.0,1,12,0,1471,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CanonicalTraits/depot/packages/CanonicalTraits/5QPLz/src/Instances.jl,74
