modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
Main,overdub,2,1.0,1.0,2,0,0,64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Cassette/depot/packages/Cassette/Wjztv/src/context.jl,277
Main,overdub,20,1.0,0.95,19,0,0,64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Cassette/depot/packages/Cassette/Wjztv/src/context.jl,277
Main,overdub,7,0.5714285714285714,0.0,7,0,0,127,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Cassette/depot/packages/Cassette/Wjztv/test/misctaggingtests.jl,441
Main,overdub,1,1.0,1.0,1,0,1,71,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Cassette/depot/packages/Cassette/Wjztv/src/context.jl,287
Main,prehook,21,1.0,1.0,1,0,0,69,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Cassette/depot/packages/Cassette/Wjztv/test/misctests.jl,733
Cassette,doesnotneedmeta,1,1.0,1.0,1,0,0,37,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Cassette/depot/packages/Cassette/Wjztv/src/tagging.jl,169
Main,overdub,5,1.0,0.8,1,0,0,60,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Cassette/depot/packages/Cassette/Wjztv/src/context.jl,280
Main,overdub,2,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Cassette/depot/packages/Cassette/Wjztv/test/misctaggingtests.jl,463
Main,overdub,1,1.0,0.0,1,0,0,64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Cassette/depot/packages/Cassette/Wjztv/src/context.jl,277
Cassette,doesnotneedmeta,375,0.984,0.984,2,0,0,46,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Cassette/depot/packages/Cassette/Wjztv/src/tagging.jl,168
Main,overdub,8,0.75,0.0,8,0,0,118,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Cassette/depot/packages/Cassette/Wjztv/test/misctaggingtests.jl,452
Cassette,hastagging,31,1.0,0.967741935483871,1,0,0,37,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Cassette/depot/packages/Cassette/Wjztv/src/context.jl,203
