modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
Cliffords,phase,4,1.0,0.75,1,0,0,66,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Cliffords/depot/packages/Cliffords/eE6VR/src/Paulis.jl,158
Cliffords,levicivita,1,1.0,1.0,1,0,0,389,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Cliffords/depot/packages/Cliffords/eE6VR/src/Paulis.jl,111
Cliffords,allpaulis,2,0.0,0.0,1,0,0,229,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Cliffords/depot/packages/Cliffords/eE6VR/src/Paulis.jl,225
Cliffords,localclifford,1,0.0,0.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Cliffords/depot/packages/Cliffords/eE6VR/src/C1.jl,45
Cliffords,expand,2,0.0,0.0,1,0,0,1186,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Cliffords/depot/packages/Cliffords/eE6VR/src/Cliffords.jl,136
Cliffords,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Cliffords/depot/packages/Cliffords/eE6VR/src/Cliffords.jl,4
Cliffords,liou,2,0.5,0.5,2,0,0,159,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Cliffords/depot/packages/Cliffords/eE6VR/src/Cliffords.jl,64
Cliffords,levicivita,3,0.6666666666666666,0.6666666666666666,2,0,0,73,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Cliffords/depot/packages/Cliffords/eE6VR/src/Paulis.jl,121
Cliffords,factor,1,1.0,1.0,1,0,0,178,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Cliffords/depot/packages/Cliffords/eE6VR/src/Paulis.jl,48
Cliffords,lex_tuple,2,0.0,0.0,1,0,0,151,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Cliffords/depot/packages/Cliffords/eE6VR/src/Paulis.jl,72
Cliffords,expand,3,1.0,1.0,3,0,0,170,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Cliffords/depot/packages/Cliffords/eE6VR/src/Paulis.jl,166
Cliffords,cliffordeye,1,0.0,0.0,1,0,0,60,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Cliffords/depot/packages/Cliffords/eE6VR/src/Cliffords.jl,161
Cliffords,weight,3,1.0,1.0,1,0,0,77,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Cliffords/depot/packages/Cliffords/eE6VR/src/Paulis.jl,31
Cliffords,complex,2,1.0,1.0,1,0,0,58,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Cliffords/depot/packages/Cliffords/eE6VR/src/Paulis.jl,93
Cliffords,isid,4,1.0,0.75,2,0,0,84,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Cliffords/depot/packages/Cliffords/eE6VR/src/Paulis.jl,38
Cliffords,SelfInverseClifford,2,1.0,1.0,2,0,0,47,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Cliffords/depot/packages/Cliffords/eE6VR/src/Cliffords.jl,22
Cliffords,generators,3,0.3333333333333333,0.3333333333333333,3,0,0,735,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Cliffords/depot/packages/Cliffords/eE6VR/src/Paulis.jl,187
Cliffords,generators,1,1.0,1.0,1,0,0,157,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Cliffords/depot/packages/Cliffords/eE6VR/src/Paulis.jl,179
Cliffords,complex,2,0.5,0.5,2,0,0,58,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Cliffords/depot/packages/Cliffords/eE6VR/src/Cliffords.jl,62
Cliffords,paulieye,2,0.0,0.0,1,0,0,62,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Cliffords/depot/packages/Cliffords/eE6VR/src/Paulis.jl,209
Cliffords,expand,1,1.0,1.0,1,0,0,41,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Cliffords/depot/packages/Cliffords/eE6VR/src/Paulis.jl,165
Cliffords,expand,2,0.0,0.0,1,0,0,325,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Cliffords/depot/packages/Cliffords/eE6VR/src/Paulis.jl,171
