modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
ClimateMARGO.Diagnostics,future_mask,1,1.0,1.0,1,0,0,61,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ClimateMARGO/depot/packages/ClimateMARGO/sTbl7/src/Diagnostics/utils.jl,6
ClimateMARGO.Diagnostics,T,1,1.0,1.0,1,0,0,122,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ClimateMARGO/depot/packages/ClimateMARGO/sTbl7/src/Diagnostics/energy_balance.jl,88
ClimateMARGO.Diagnostics,E,1,1.0,1.0,1,0,0,99,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ClimateMARGO/depot/packages/ClimateMARGO/sTbl7/src/Diagnostics/cost_benefit.jl,4
ClimateMARGO.Plotting,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ClimateMARGO/depot/packages/ClimateMARGO/sTbl7/src/Plotting/Plotting.jl,1
ClimateMARGO.Diagnostics,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ClimateMARGO/depot/packages/ClimateMARGO/sTbl7/src/Diagnostics/Diagnostics.jl,1
ClimateMARGO.Diagnostics,t,1,1.0,1.0,1,0,0,53,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ClimateMARGO/depot/packages/ClimateMARGO/sTbl7/src/Diagnostics/utils.jl,1
ClimateMARGO.Diagnostics,T_fast,1,1.0,1.0,1,0,0,60,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ClimateMARGO/depot/packages/ClimateMARGO/sTbl7/src/Diagnostics/energy_balance.jl,38
ClimateMARGO.Optimization,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ClimateMARGO/depot/packages/ClimateMARGO/sTbl7/src/Optimization/Optimization.jl,1
ClimateMARGO.Diagnostics,#F#4,1,1.0,1.0,1,0,0,128,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ClimateMARGO/depot/packages/ClimateMARGO/sTbl7/src/Diagnostics/energy_balance.jl,4
ClimateMARGO.Optimization,#optimize_controls!#1,2,1.0,0.0,1,0,0,70480,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ClimateMARGO/depot/packages/ClimateMARGO/sTbl7/src/Optimization/deterministic_optimization.jl,2
ClimateMARGO.Diagnostics,effective_emissions,1,1.0,1.0,1,0,0,101,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ClimateMARGO/depot/packages/ClimateMARGO/sTbl7/src/Diagnostics/carbon.jl,30
ClimateMARGO.Diagnostics,#effective_emissions#2,1,1.0,1.0,1,0,0,304,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ClimateMARGO/depot/packages/ClimateMARGO/sTbl7/src/Diagnostics/carbon.jl,33
ClimateMARGO.Diagnostics,T,1,1.0,1.0,1,0,0,54,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ClimateMARGO/depot/packages/ClimateMARGO/sTbl7/src/Diagnostics/energy_balance.jl,101
ClimateMARGO.Diagnostics,#F#5,1,1.0,1.0,1,0,0,328,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ClimateMARGO/depot/packages/ClimateMARGO/sTbl7/src/Diagnostics/energy_balance.jl,11
ClimateMARGO.Diagnostics,T_slow,1,1.0,1.0,1,0,0,335,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ClimateMARGO/depot/packages/ClimateMARGO/sTbl7/src/Diagnostics/energy_balance.jl,52
ClimateMARGO.Diagnostics,t,1,1.0,1.0,1,0,0,82,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ClimateMARGO/depot/packages/ClimateMARGO/sTbl7/src/Diagnostics/utils.jl,2
ClimateMARGO.Diagnostics,τd,1,1.0,1.0,1,0,0,84,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ClimateMARGO/depot/packages/ClimateMARGO/sTbl7/src/Diagnostics/energy_balance.jl,32
ClimateMARGO.Diagnostics,τd,1,1.0,1.0,1,0,0,79,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ClimateMARGO/depot/packages/ClimateMARGO/sTbl7/src/Diagnostics/energy_balance.jl,31
ClimateMARGO.Diagnostics,#T#10,1,1.0,1.0,1,0,0,243,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ClimateMARGO/depot/packages/ClimateMARGO/sTbl7/src/Diagnostics/energy_balance.jl,101
ClimateMARGO.Diagnostics,emissions,1,1.0,1.0,1,0,0,75,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ClimateMARGO/depot/packages/ClimateMARGO/sTbl7/src/Diagnostics/carbon.jl,22
ClimateMARGO.Diagnostics,τd,1,1.0,1.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ClimateMARGO/depot/packages/ClimateMARGO/sTbl7/src/Diagnostics/energy_balance.jl,33
ClimateMARGO.Utils,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ClimateMARGO/depot/packages/ClimateMARGO/sTbl7/src/Utils/Utils.jl,1
ClimateMARGO.Diagnostics,future_mask,1,1.0,1.0,1,0,0,74,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ClimateMARGO/depot/packages/ClimateMARGO/sTbl7/src/Diagnostics/utils.jl,7
ClimateMARGO.IO,import_parameters,1,1.0,1.0,1,0,0,92,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ClimateMARGO/depot/packages/ClimateMARGO/sTbl7/src/IO/json_io.jl,22
ClimateMARGO.IO,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ClimateMARGO/depot/packages/ClimateMARGO/sTbl7/src/IO/IO.jl,1
ClimateMARGO.PolicyResponse,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ClimateMARGO/depot/packages/ClimateMARGO/sTbl7/src/PolicyResponse/PolicyResponse.jl,1
ClimateMARGO.Diagnostics,E,1,1.0,1.0,1,0,0,109,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ClimateMARGO/depot/packages/ClimateMARGO/sTbl7/src/Diagnostics/cost_benefit.jl,3
ClimateMARGO.Models,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ClimateMARGO/depot/packages/ClimateMARGO/sTbl7/src/Models/Models.jl,1
ClimateMARGO.Utils,ppm_to_GtCO2,1,1.0,1.0,1,0,0,62,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ClimateMARGO/depot/packages/ClimateMARGO/sTbl7/src/Utils/unit_conversions.jl,6
ClimateMARGO.Diagnostics,#c#3,1,1.0,1.0,1,0,0,156,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ClimateMARGO/depot/packages/ClimateMARGO/sTbl7/src/Diagnostics/carbon.jl,46
ClimateMARGO.Diagnostics,c,1,1.0,1.0,1,0,0,80,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ClimateMARGO/depot/packages/ClimateMARGO/sTbl7/src/Diagnostics/carbon.jl,42
ClimateMARGO.Diagnostics,t,1,1.0,1.0,1,0,0,54,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ClimateMARGO/depot/packages/ClimateMARGO/sTbl7/src/Diagnostics/utils.jl,4
ClimateMARGO,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ClimateMARGO/depot/packages/ClimateMARGO/sTbl7/src/ClimateMARGO.jl,1
