modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
CodecZlib,deflate!,true,true,0,1,Int32,"CodecZlib.ZStream,Int32",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CodecZlib/depot/packages/CodecZlib/ruMLE/src/libz.jl,76
CodecZlib,#DeflateCompressor#5,true,true,6,1,DeflateCompressor,"Int32,Int32,Type{DeflateCompressor}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CodecZlib/depot/packages/CodecZlib/ruMLE/src/compression.jl,114
CodecZlib,#GzipDecompressor#7,true,false,5,1,GzipDecompressor,"Integer,Bool,Type{GzipDecompressor}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CodecZlib/depot/packages/CodecZlib/ruMLE/src/decompression.jl,31
CodecZlib,#ZlibCompressorStream#4,true,true,3,2,"TranscodingStream{ZlibCompressor,Base.GenericIOBuffer{Base.CodeUnits{UInt8,String}}}","Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},Type{TranscodingStream{ZlibCompressor,S} where S<:IO},Base.GenericIOBuffer{Base.CodeUnits{UInt8,String}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CodecZlib/depot/packages/CodecZlib/ruMLE/src/compression.jl,89
CodecZlib,inflate_end!,true,true,0,1,Int32,CodecZlib.ZStream,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CodecZlib/depot/packages/CodecZlib/ruMLE/src/libz.jl,88
CodecZlib,#ZlibCompressorStream#4,true,true,3,2,"TranscodingStream{ZlibCompressor,TranscodingStream{ZlibDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}}","Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},Type{TranscodingStream{ZlibCompressor,S} where S<:IO},TranscodingStream{ZlibDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CodecZlib/depot/packages/CodecZlib/ruMLE/src/compression.jl,89
CodecZlib,inflate_init!,true,false,0,1,Int32,"CodecZlib.ZStream,Integer",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CodecZlib/depot/packages/CodecZlib/ruMLE/src/libz.jl,80
CodecZlib,inflate_reset!,true,true,0,1,Int32,CodecZlib.ZStream,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CodecZlib/depot/packages/CodecZlib/ruMLE/src/libz.jl,84
CodecZlib,#GzipDecompressorStream#8,true,true,3,2,"TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Base.CodeUnits{UInt8,String}}}","Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},Type{TranscodingStream{GzipDecompressor,S} where S<:IO},Base.GenericIOBuffer{Base.CodeUnits{UInt8,String}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CodecZlib/depot/packages/CodecZlib/ruMLE/src/decompression.jl,45
CodecZlib,#ZlibDecompressor#9,true,true,3,1,ZlibDecompressor,"Int32,Type{ZlibDecompressor}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CodecZlib/depot/packages/CodecZlib/ruMLE/src/decompression.jl,68
