modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
ColorTypes,reducec,1,1.0,1.0,1,0,0,77,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ColorTypes/depot/packages/ColorTypes/RF8lb/src/operations.jl,141
ColorTypes,gamutmax,2,1.0,1.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ColorTypes/depot/packages/ColorTypes/RF8lb/src/operations.jl,18
ColorTypes,#_isapprox#18,2,1.0,1.0,1,0,0,131,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ColorTypes/depot/packages/ColorTypes/RF8lb/src/traits.jl,494
ColorTypes,colorsplit,240,1.0,1.0,4,0,0,382,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ColorTypes/depot/packages/ColorTypes/RF8lb/src/traits.jl,346
ColorTypes,_promote_color,2,1.0,1.0,1,0,0,38,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ColorTypes/depot/packages/ColorTypes/RF8lb/src/conversions.jl,11
ColorTypes,eltype_ub,20,1.0,1.0,2,0,0,54,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ColorTypes/depot/packages/ColorTypes/RF8lb/src/types.jl,556
ColorTypes,_convert,31,1.0,1.0,6,0,0,57,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ColorTypes/depot/packages/ColorTypes/RF8lb/src/conversions.jl,96
ColorTypes,hue,5,1.0,1.0,2,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ColorTypes/depot/packages/ColorTypes/RF8lb/src/traits.jl,53
ColorTypes,_comp_error,19,1.0,1.0,1,0,0,180,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ColorTypes/depot/packages/ColorTypes/RF8lb/src/traits.jl,64
ColorTypes,gamutmax,10,1.0,1.0,1,0,0,42,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ColorTypes/depot/packages/ColorTypes/RF8lb/src/operations.jl,21
ColorTypes,checkval,18,1.0,1.0,1,0,0,41,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ColorTypes/depot/packages/ColorTypes/RF8lb/src/types.jl,670
ColorTypes,_convert,2,1.0,0.5,2,0,0,61,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ColorTypes/depot/packages/ColorTypes/RF8lb/src/conversions.jl,83
ColorTypes,show_colorant_string_with_eltype,43,0.9069767441860465,0.9069767441860465,2,0,0,332,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ColorTypes/depot/packages/ColorTypes/RF8lb/src/show.jl,51
ColorTypes,comp3,6,1.0,1.0,1,0,0,47,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ColorTypes/depot/packages/ColorTypes/RF8lb/src/traits.jl,95
ColorTypes,comp2,1,1.0,1.0,1,0,0,47,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ColorTypes/depot/packages/ColorTypes/RF8lb/src/traits.jl,90
ColorTypes,mapc,1,1.0,1.0,1,0,0,141,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ColorTypes/depot/packages/ColorTypes/RF8lb/src/operations.jl,102
ColorTypes,parametric_colorant,1,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ColorTypes/depot/packages/ColorTypes/RF8lb/src/traits.jl,314
ColorTypes,_promote_alpha,150,1.0,1.0,1,0,0,40,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ColorTypes/depot/packages/ColorTypes/RF8lb/src/conversions.jl,30
ColorTypes,cconvert,139,1.0,1.0,77,0,0,80,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ColorTypes/depot/packages/ColorTypes/RF8lb/src/conversions.jl,79
ColorTypes,mapreducec,7,1.0,1.0,2,0,0,61,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ColorTypes/depot/packages/ColorTypes/RF8lb/src/operations.jl,172
ColorTypes,isok,14,1.0,1.0,1,0,0,126,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ColorTypes/depot/packages/ColorTypes/RF8lb/src/types.jl,637
ColorTypes,comp5,4,1.0,1.0,3,0,0,54,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ColorTypes/depot/packages/ColorTypes/RF8lb/src/traits.jl,103
ColorTypes,coloralpha,4,1.0,0.75,1,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ColorTypes/depot/packages/ColorTypes/RF8lb/src/types.jl,511
ColorTypes,base_colorant_type,217,0.9861751152073732,0.9861751152073732,98,0,0,78,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ColorTypes/depot/packages/ColorTypes/RF8lb/src/traits.jl,222
ColorTypes,alphacolor,4,1.0,0.75,1,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ColorTypes/depot/packages/ColorTypes/RF8lb/src/types.jl,510
ColorTypes,color_type,55,1.0,1.0,38,0,0,52,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ColorTypes/depot/packages/ColorTypes/RF8lb/src/traits.jl,188
ColorTypes,mapc,7,1.0,1.0,6,0,0,71,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ColorTypes/depot/packages/ColorTypes/RF8lb/src/operations.jl,94
ColorTypes,colorfields,39,0.0,0.0,1,0,0,63,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ColorTypes/depot/packages/ColorTypes/RF8lb/src/types.jl,444
ColorTypes,colorant_string_with_eltype,25,1.0,1.0,1,0,0,99,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ColorTypes/depot/packages/ColorTypes/RF8lb/src/show.jl,40
ColorTypes,#_isapprox#17,1,1.0,1.0,1,0,0,119,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ColorTypes/depot/packages/ColorTypes/RF8lb/src/traits.jl,492
