modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
Comonicon.Types,partition,1,1.0,1.0,1,0,0,75,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Comonicon/depot/packages/Comonicon/LQHdq/src/types.jl,392
Comonicon.Types,cmd_sym,2,1.0,1.0,1,0,0,71,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Comonicon/depot/packages/Comonicon/LQHdq/src/types.jl,226
Comonicon.CodeGen,pushmaybe!,1,1.0,1.0,1,0,0,40,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Comonicon/depot/packages/Comonicon/LQHdq/src/codegen/utils.jl,185
Comonicon.Types,first_line_doc_indent,6,0.0,0.0,1,0,0,225,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Comonicon/depot/packages/Comonicon/LQHdq/src/types.jl,550
Comonicon.Options,#read_configs#13,7,1.0,1.0,1,0,0,267,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Comonicon/depot/packages/Comonicon/LQHdq/src/options.jl,226
Comonicon.BuildTools,build_application,1,1.0,0.0,1,0,0,2730,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Comonicon/depot/packages/Comonicon/LQHdq/src/tools/build.jl,212
Comonicon.BuildTools,tarball_name,1,1.0,1.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Comonicon/depot/packages/Comonicon/LQHdq/src/tools/build.jl,349
Comonicon.CodeGen,read_flag,1,1.0,1.0,1,0,0,138,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Comonicon/depot/packages/Comonicon/LQHdq/src/codegen/ast.jl,321
Comonicon.Parse,read_intro,1,1.0,0.0,1,0,0,380,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Comonicon/depot/packages/Comonicon/LQHdq/src/parse/markdown.jl,58
Comonicon.CodeGen,codegen_help,1,1.0,1.0,1,0,0,62,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Comonicon/depot/packages/Comonicon/LQHdq/src/codegen/ast.jl,119
Comonicon.BuildTools,build_tarball_app,1,1.0,0.0,1,0,0,1500,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Comonicon/depot/packages/Comonicon/LQHdq/src/tools/build.jl,268
Comonicon.Types,scan_indent,1,1.0,1.0,1,0,0,796,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Comonicon/depot/packages/Comonicon/LQHdq/src/types.jl,530
Comonicon.CodeGen,read_arg,1,1.0,1.0,1,0,0,120,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Comonicon/depot/packages/Comonicon/LQHdq/src/codegen/ast.jl,19
Comonicon.Parse,parse_function,1,1.0,1.0,1,0,0,348,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Comonicon/depot/packages/Comonicon/LQHdq/src/parse/cast.jl,80
Comonicon.Types,print_list,4,1.0,0.75,1,0,0,284,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Comonicon/depot/packages/Comonicon/LQHdq/src/types.jl,613
Comonicon.Types,#Flag#3,1,1.0,1.0,1,0,0,63,util.jl,438
Comonicon.PATH,project,4,1.0,0.75,1,0,1,63,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Comonicon/depot/packages/Comonicon/LQHdq/src/path.jl,15
Comonicon.CodeGen,prettify,1,0.0,0.0,1,0,0,333,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Comonicon/depot/packages/Comonicon/LQHdq/src/codegen/utils.jl,148
Comonicon.Parse,to_argument,3,0.3333333333333333,0.3333333333333333,2,0,0,2274,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Comonicon/depot/packages/Comonicon/LQHdq/src/parse/cast.jl,131
Comonicon.Parse,iscached,1,1.0,0.0,1,0,0,300,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Comonicon/depot/packages/Comonicon/LQHdq/src/parse/utils.jl,80
Comonicon.CodeGen,xmatch,1,1.0,0.0,1,0,0,440,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Comonicon/depot/packages/Comonicon/LQHdq/src/codegen/utils.jl,89
Comonicon.Parse,create_casted_commands,1,1.0,1.0,1,0,0,109,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Comonicon/depot/packages/Comonicon/LQHdq/src/parse/cast.jl,170
Comonicon.Types,splittext,1,1.0,1.0,1,0,0,492,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Comonicon/depot/packages/Comonicon/LQHdq/src/types.jl,469
Comonicon.CodeGen,regex_option,1,1.0,1.0,1,0,0,66,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Comonicon/depot/packages/Comonicon/LQHdq/src/codegen/utils.jl,53
