modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
ConfParser,erase!,1,1.0,0.0,1,0,0,242,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ConfParser/depot/packages/ConfParser/b2fge/src/ConfParser.jl,277
ConfParser,parse_http,1,1.0,0.0,1,0,0,605,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ConfParser/depot/packages/ConfParser/b2fge/src/ConfParser.jl,154
ConfParser,merge!,1,1.0,0.0,1,0,0,377,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ConfParser/depot/packages/ConfParser/b2fge/src/ConfParser.jl,395
ConfParser,guess_syntax,1,1.0,0.0,1,0,0,586,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ConfParser/depot/packages/ConfParser/b2fge/src/ConfParser.jl,37
ConfParser,retrieve,1,0.0,0.0,1,0,0,112,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ConfParser/depot/packages/ConfParser/b2fge/src/ConfParser.jl,332
ConfParser,haskey,1,1.0,1.0,1,0,0,58,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ConfParser/depot/packages/ConfParser/b2fge/src/ConfParser.jl,411
ConfParser,haskey,1,0.0,0.0,1,0,0,115,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ConfParser/depot/packages/ConfParser/b2fge/src/ConfParser.jl,418
ConfParser,commit!,1,1.0,1.0,1,0,0,197,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ConfParser/depot/packages/ConfParser/b2fge/src/ConfParser.jl,382
ConfParser,parse_line,1,1.0,1.0,1,0,0,318,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ConfParser/depot/packages/ConfParser/b2fge/src/ConfParser.jl,95
ConfParser,parse_simple,1,1.0,0.0,1,0,0,616,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ConfParser/depot/packages/ConfParser/b2fge/src/ConfParser.jl,181
ConfParser,commit!,1,1.0,1.0,1,0,0,93,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ConfParser/depot/packages/ConfParser/b2fge/src/ConfParser.jl,372
ConfParser,craft_content,1,1.0,0.0,1,0,0,1709,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ConfParser/depot/packages/ConfParser/b2fge/src/ConfParser.jl,228
Pkg.TOML,haskey,1,1.0,1.0,1,0,0,58,/build/source/usr/share/julia/stdlib/v1.5/Pkg/ext/TOML/src/parser.jl,34
ConfParser,parse_conf!,1,1.0,1.0,1,0,0,309,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ConfParser/depot/packages/ConfParser/b2fge/src/ConfParser.jl,76
ConfParser,retrieve,1,0.0,0.0,1,0,0,130,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ConfParser/depot/packages/ConfParser/b2fge/src/ConfParser.jl,342
ConfParser,save!,1,1.0,1.0,1,0,0,337,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ConfParser/depot/packages/ConfParser/b2fge/src/ConfParser.jl,306
ConfParser,erase!,1,1.0,1.0,1,0,0,145,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ConfParser/depot/packages/ConfParser/b2fge/src/ConfParser.jl,293
LibGit2,haskey,1,1.0,1.0,1,0,0,62,/build/source/usr/share/julia/stdlib/v1.5/LibGit2/src/types.jl,1277
ConfParser,parse_keyonly,1,1.0,1.0,1,0,0,313,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ConfParser/depot/packages/ConfParser/b2fge/src/ConfParser.jl,209
ConfParser,parse_ini,1,1.0,0.0,1,0,0,888,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ConfParser/depot/packages/ConfParser/b2fge/src/ConfParser.jl,113
