modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
CovarianceMatrices,finalize,true,true,0,1,"CovarianceMatrix{Cholesky{Float64,Array{Float64,2}},TukeyHanningKernel{CovarianceMatrices.Optimal{Andrews},Float64},Float64,Array{Float64,2}}","Type{Cholesky},Type{CovarianceMatrix},TukeyHanningKernel{CovarianceMatrices.Optimal{Andrews},Float64},HACCache{CovarianceMatrices.Prewhitened,Array{Float64,2},Array{Float64,1}},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CovarianceMatrices/depot/packages/CovarianceMatrices/8cmXd/src/covariance.jl,136
CovarianceMatrices,_covariance!,true,true,0,1,Nothing,"HACCache{CovarianceMatrices.Prewhitened,Array{Float64,2},Array{Float64,1}},BartlettKernel{CovarianceMatrices.Fixed,Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CovarianceMatrices/depot/packages/CovarianceMatrices/8cmXd/src/covariance.jl,34
CovarianceMatrices,#covariance#31,true,true,0,1,"CovarianceMatrix{Cholesky{Float64,Array{Float64,2}},TruncatedKernel{CovarianceMatrices.Optimal{Andrews},Float64},Float64,Array{Float64,2}}","Bool,Int64,typeof(CovarianceMatrices.covariance),Array{Float64,2},TruncatedKernel{CovarianceMatrices.Optimal{Andrews},Float64},HACCache{CovarianceMatrices.Unwhitened,Array{Float64,2},Array{Float64,1}},Type{CovarianceMatrix},Type{Cholesky}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CovarianceMatrices/depot/packages/CovarianceMatrices/8cmXd/src/covariance.jl,7
CovarianceMatrices,Γ!,true,true,21,1,"Array{Float64,2}","HACCache{CovarianceMatrices.Prewhitened,Array{Float64,2},Array{Float64,1}},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CovarianceMatrices/depot/packages/CovarianceMatrices/8cmXd/src/HAC.jl,89
CovarianceMatrices,#covariance#31,true,true,0,1,"CovarianceMatrix{Cholesky{Float64,Array{Float64,2}},QuadraticSpectralKernel{CovarianceMatrices.Optimal{Andrews},Float64},Float64,Array{Float64,2}}","Bool,Int64,typeof(CovarianceMatrices.covariance),Array{Float64,2},QuadraticSpectralKernel{CovarianceMatrices.Optimal{Andrews},Float64},HACCache{CovarianceMatrices.Unwhitened,Array{Float64,2},Array{Float64,1}},Type{CovarianceMatrix},Type{Cholesky}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CovarianceMatrices/depot/packages/CovarianceMatrices/8cmXd/src/covariance.jl,7
CovarianceMatrices,check_cache_consistenty,true,true,1,1,Nothing,"TruncatedKernel{CovarianceMatrices.Optimal{Andrews},Float64},HACCache{CovarianceMatrices.Unwhitened,Array{Float64,2},Array{Float64,1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CovarianceMatrices/depot/packages/CovarianceMatrices/8cmXd/src/HAC.jl,49
CovarianceMatrices,__covariance!,true,true,3,1,Nothing,"HACCache{CovarianceMatrices.Prewhitened,Array{Float64,2},Array{Float64,1}},ParzenKernel{CovarianceMatrices.Fixed,Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CovarianceMatrices/depot/packages/CovarianceMatrices/8cmXd/src/covariance.jl,36
CovarianceMatrices,covariance,true,true,0,1,"CovarianceMatrix{Cholesky{Float64,Array{Float64,2}},TruncatedKernel{CovarianceMatrices.Fixed,Float64},Float64,Array{Float64,2}}","Array{Float64,2},TruncatedKernel{CovarianceMatrices.Fixed,Float64},HACCache{CovarianceMatrices.Unwhitened,Array{Float64,2},Array{Float64,1}},Type{CovarianceMatrix},Type{Cholesky}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CovarianceMatrices/depot/packages/CovarianceMatrices/8cmXd/src/covariance.jl,7
CovarianceMatrices,covariance,true,true,0,1,"CovarianceMatrix{Cholesky{Float64,Array{Float64,2}},ParzenKernel{CovarianceMatrices.Optimal{Andrews},Float64},Float64,Array{Float64,2}}","Array{Float64,2},ParzenKernel{CovarianceMatrices.Optimal{Andrews},Float64},HACCache{CovarianceMatrices.Prewhitened,Array{Float64,2},Array{Float64,1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CovarianceMatrices/depot/packages/CovarianceMatrices/8cmXd/src/covariance.jl,7
CovarianceMatrices,#BartlettKernel#5,true,true,0,1,"BartlettKernel{CovarianceMatrices.Optimal{Andrews},Float64}","Bool,Type{BartlettKernel}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CovarianceMatrices/depot/packages/CovarianceMatrices/8cmXd/src/HAC.jl,54
