modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
CovarianceMatrices,#QuadraticSpectralKernel#23,1,1.0,1.0,1,0,0,100,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CovarianceMatrices/depot/packages/CovarianceMatrices/8cmXd/src/HAC.jl,75
CovarianceMatrices,kernel,2,1.0,1.0,1,0,0,188,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CovarianceMatrices/depot/packages/CovarianceMatrices/8cmXd/src/HAC.jl,170
CovarianceMatrices,#covariance#31,20,1.0,1.0,10,0,0,157,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CovarianceMatrices/depot/packages/CovarianceMatrices/8cmXd/src/covariance.jl,7
CovarianceMatrices,_covariance!,10,1.0,1.0,1,0,0,50,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CovarianceMatrices/depot/packages/CovarianceMatrices/8cmXd/src/covariance.jl,34
CovarianceMatrices,#QuadraticSpectralKernel#8,1,1.0,1.0,1,0,0,102,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CovarianceMatrices/depot/packages/CovarianceMatrices/8cmXd/src/HAC.jl,57
CovarianceMatrices,#ParzenKernel#6,1,1.0,1.0,1,0,0,102,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CovarianceMatrices/depot/packages/CovarianceMatrices/8cmXd/src/HAC.jl,55
CovarianceMatrices,getalpha!,2,1.0,1.0,1,0,0,773,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CovarianceMatrices/depot/packages/CovarianceMatrices/8cmXd/src/HAC.jl,270
CovarianceMatrices,#TruncatedKernel#4,1,1.0,1.0,1,0,0,102,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CovarianceMatrices/depot/packages/CovarianceMatrices/8cmXd/src/HAC.jl,53
CovarianceMatrices,bw_andrews,1,1.0,1.0,1,0,0,68,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CovarianceMatrices/depot/packages/CovarianceMatrices/8cmXd/src/HAC.jl,267
CovarianceMatrices,covariance,20,1.0,1.0,10,0,0,76,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CovarianceMatrices/depot/packages/CovarianceMatrices/8cmXd/src/covariance.jl,7
CovarianceMatrices,prewhiten!,1,1.0,1.0,1,0,0,69,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CovarianceMatrices/depot/packages/CovarianceMatrices/8cmXd/src/HAC.jl,119
CovarianceMatrices,check_cache_consistenty,10,1.0,1.0,1,0,0,73,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CovarianceMatrices/depot/packages/CovarianceMatrices/8cmXd/src/HAC.jl,49
CovarianceMatrices,getcovindeces,2,1.0,1.0,1,0,0,92,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CovarianceMatrices/depot/packages/CovarianceMatrices/8cmXd/src/HAC.jl,86
CovarianceMatrices,kernel,2,1.0,1.0,1,0,0,302,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CovarianceMatrices/depot/packages/CovarianceMatrices/8cmXd/src/HAC.jl,159
CovarianceMatrices,optimal_bw!,10,1.0,1.0,1,0,0,51,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CovarianceMatrices/depot/packages/CovarianceMatrices/8cmXd/src/HAC.jl,250
CovarianceMatrices,covariance,10,1.0,1.0,10,0,0,63,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CovarianceMatrices/depot/packages/CovarianceMatrices/8cmXd/src/covariance.jl,7
CovarianceMatrices,swhiten!,1,1.0,1.0,1,0,0,38,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CovarianceMatrices/depot/packages/CovarianceMatrices/8cmXd/src/HAC.jl,121
CovarianceMatrices,setupkernelweights!,10,1.0,0.5,1,0,0,345,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CovarianceMatrices/depot/packages/CovarianceMatrices/8cmXd/src/HAC.jl,174
CovarianceMatrices,swhiten!,1,1.0,1.0,1,0,0,458,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CovarianceMatrices/depot/packages/CovarianceMatrices/8cmXd/src/HAC.jl,123
CovarianceMatrices,prewhiten!,1,1.0,1.0,1,0,0,46,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CovarianceMatrices/depot/packages/CovarianceMatrices/8cmXd/src/HAC.jl,120
CovarianceMatrices,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CovarianceMatrices/depot/packages/CovarianceMatrices/8cmXd/src/CovarianceMatrices.jl,1
CovarianceMatrices,kernel,2,1.0,1.0,1,0,0,84,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/CovarianceMatrices/depot/packages/CovarianceMatrices/8cmXd/src/HAC.jl,156
