modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
Coverage.Codecov,construct_uri_string,true,false,17,1,String,"Dict{Symbol,Any}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/codecovio.jl,233
Coverage.Codecov,#set_defaults#1,true,false,4,1,"Dict{Symbol,Any}","Base.Iterators.Pairs{Symbol,_A,NTuple{7,Symbol},_B} where _B where _A,typeof(Coverage.Codecov.set_defaults),Dict{Symbol,Any}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/codecovio.jl,49
Coverage.Coveralls,parse_git_info,true,false,5,1,"Union{Nothing, Dict{_A,_B} where _B where _A}",typeof(Coverage.Coveralls.query_git_info),/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/coveralls.jl,139
Coverage.Codecov,#add_ci_to_kwargs#3,true,true,0,1,"Dict{Symbol,Any}","Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},typeof(Coverage.Codecov.add_ci_to_kwargs)",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/codecovio.jl,71
Coverage.Coveralls,add_repo_token,true,false,1,1,"Dict{String,Any}","Dict{String,Any},Bool",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/coveralls.jl,220
Coverage.Coveralls,parse_git_info,false,false,5,1,Any,Function,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/coveralls.jl,139
Coverage.Coveralls,to_json,false,false,1,1,"Dict{_A,_B} where _B where _A",CoverageTools.FileCoverage,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/coveralls.jl,43
Coverage.Codecov,#add_ci_to_kwargs#3,true,true,0,1,"Dict{Symbol,Any}","Base.Iterators.Pairs{Symbol,String,Tuple{Symbol},NamedTuple{(:token,),Tuple{String}}},typeof(Coverage.Codecov.add_ci_to_kwargs)",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/codecovio.jl,71
Coverage.Coveralls,prepare_request,true,false,31,1,"Dict{String,Any}","Array{CoverageTools.FileCoverage,1},Bool,var""#my_git_info#55""",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/coveralls.jl,69
Coverage.Coveralls,prepare_request,true,true,0,1,"Dict{String,Any}","Array{CoverageTools.FileCoverage,1},Bool",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/coveralls.jl,69
Coverage.Coveralls,prepare_request,true,false,31,1,"Dict{String,Any}","Array{CoverageTools.FileCoverage,1},Bool,Dict{String,String}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/coveralls.jl,69
Coverage.Coveralls,parse_git_info,true,false,5,1,"Union{Nothing, Dict{String,String}}","var""#my_git_info#55""",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/coveralls.jl,139
Coverage.Codecov,add_ci_to_kwargs,true,true,0,1,"Dict{Symbol,Any}",,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/codecovio.jl,71
Coverage.Coveralls,query_git_info,false,false,3,1,"Dict{_A,_B} where _B where _A",String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/coveralls.jl,155
Coverage.Codecov,add_ci_to_kwargs,true,false,19,1,"Dict{Symbol,Any}","Dict{Symbol,Any}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/codecovio.jl,72
Coverage.Codecov,#add_ci_to_kwargs#3,true,true,0,1,"Dict{Symbol,Any}","Base.Iterators.Pairs{Symbol,String,Tuple{Symbol},NamedTuple{(:codecov_url,),Tuple{String}}},typeof(Coverage.Codecov.add_ci_to_kwargs)",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/codecovio.jl,71
Coverage.Codecov,#submit#2,true,true,1,1,Nothing,"Base.Iterators.Pairs{Symbol,Bool,Tuple{Symbol},NamedTuple{(:dry_run,),Tuple{Bool}}},typeof(Coverage.Codecov.submit),Array{CoverageTools.FileCoverage,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/codecovio.jl,66
Coverage.Codecov,#set_defaults#1,true,true,4,1,"Dict{Symbol,Any}","Base.Iterators.Pairs{Symbol,String,Tuple{Symbol},NamedTuple{(:codecov_url,),Tuple{String}}},typeof(Coverage.Codecov.set_defaults),Dict{Symbol,Any}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/codecovio.jl,49
Coverage.Codecov,mask_token,false,false,0,1,Any,Any,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/codecovio.jl,262
Coverage.Codecov,mask_token,true,true,0,1,String,String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/codecovio.jl,262
Coverage.Coveralls,prepare_request,true,false,31,1,"Dict{String,Any}","Array{CoverageTools.FileCoverage,1},Bool,typeof(Coverage.Coveralls.query_git_info)",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/coveralls.jl,69
Coverage.Codecov,#set_defaults#1,true,true,4,1,"Dict{Symbol,Any}","Base.Iterators.Pairs{Symbol,String,NTuple{7,Symbol},NamedTuple{(:service, :branch, :commit, :job, :build, :build_url, :jenkins_url),NTuple{7,String}}},typeof(Coverage.Codecov.set_defaults),Dict{Symbol,Any}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/codecovio.jl,49
Coverage.Coveralls,prepare_request,true,false,31,1,"Dict{String,Any}","Array{CoverageTools.FileCoverage,1},Bool,Function",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/coveralls.jl,69
Coverage.Codecov,#set_defaults#1,true,true,4,1,"Dict{Symbol,Any}","Base.Iterators.Pairs{Symbol,String,NTuple{7,Symbol},NamedTuple{(:service, :branch, :commit, :pull_request, :job, :slug, :build),NTuple{7,String}}},typeof(Coverage.Codecov.set_defaults),Dict{Symbol,Any}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/codecovio.jl,49
