modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
Coverage,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/Coverage.jl,7
Coverage.Coveralls,parse_git_info,1,1.0,1.0,1,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/coveralls.jl,149
Coverage.Coveralls,prepare_request,4,1.0,0.0,1,0,0,1930,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/coveralls.jl,69
Coverage.Coveralls,query_git_info,1,0.0,0.0,1,0,0,51,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/coveralls.jl,155
Coverage.Codecov,to_json,1,1.0,1.0,1,0,0,256,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/codecovio.jl,36
Coverage.Codecov,add_ci_to_kwargs,1,1.0,0.0,1,0,0,2073,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/codecovio.jl,72
Coverage.Codecov,#add_ci_to_kwargs#3,4,1.0,1.0,1,0,0,71,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/codecovio.jl,71
Coverage.Codecov,construct_uri_string,1,1.0,0.0,1,0,0,1068,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/codecovio.jl,233
Coverage.Codecov,add_ci_to_kwargs,1,1.0,1.0,1,0,0,61,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/codecovio.jl,71
Coverage.Codecov,submit_generic,1,1.0,0.0,1,0,0,2223,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/codecovio.jl,215
Coverage.Coveralls,add_repo_token,1,1.0,0.0,1,0,0,179,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/coveralls.jl,220
Coverage.Coveralls,to_json,1,0.0,0.0,1,0,0,228,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/coveralls.jl,43
Coverage.Codecov,#set_defaults#1,8,1.0,0.875,1,0,0,270,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/codecovio.jl,49
Coverage.Codecov,mask_token,2,0.5,0.5,2,0,0,57,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/codecovio.jl,262
Coverage.Coveralls,query_git_info,1,0.0,0.0,1,0,0,904,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/coveralls.jl,155
Coverage.Codecov,#submit#2,1,1.0,1.0,1,0,0,128,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/codecovio.jl,66
Coverage.Coveralls,prepare_request,1,1.0,1.0,1,0,0,55,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/coveralls.jl,69
Coverage.Coveralls,parse_git_info,3,0.6666666666666666,0.0,3,0,0,779,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Coverage/depot/packages/Coverage/3V3Eo/src/coveralls.jl,139
