modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
DICOM,pixeldata_parse,false,false,28,2,Any,"IOStream,UInt32,String,DICOM.DICOMData",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,414
DICOM,read_group_tag,true,true,0,1,UInt16,"IOStream,Symbol",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,309
DICOM,write_element,true,false,79,3,"Union{Nothing, Int64}","IOStream,Tuple{UInt16,UInt16},Any,Bool,Dict{Tuple{UInt16,UInt16},Nothing}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,560
DICOM,dcm_store,true,false,7,2,"Union{Nothing, Int64}","IOStream,Tuple{UInt16,UInt16},DICOM.var""#29#30""{Bool,Dict{Tuple{UInt16,UInt16},Any}},String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,624
DICOM,sequence_parse,true,false,8,2,"Array{Dict{Tuple{UInt16,UInt16},Any},1}","IOStream,UInt16,DICOM.DICOMData",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,381
DICOM,write_element,true,false,79,3,"Union{Nothing, Int64}","IOStream,Tuple{UInt16,UInt16},SubString{String},Bool,Dict{Tuple{UInt16,UInt16},String}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,560
DICOM,numeric_parse,true,false,5,1,"Array{Float64,1}","IOStream,Type{Float64},UInt32,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,347
DICOM,string_write,true,true,0,1,String,"Char,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,618
DICOM,order,true,false,1,2,"Array{Float32,1}","Array{Float32,1},Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,124
DICOM,#dcm_parse#14,true,true,1,1,DICOM.DICOMData,"Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},typeof(dcm_parse),String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,155
