modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
DICOM,dcm_write,1,1.0,1.0,1,0,0,71,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,536
DICOM,lookup,1,0.0,0.0,1,0,0,73,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOMData.jl,53
DICOM,lookup,1,0.0,0.0,1,0,0,102,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOMData.jl,48
DICOM,read_element,1,0.0,0.0,1,0,0,2892,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,241
DICOM,numeric_parse,14,0.8571428571428571,0.0,7,0,0,412,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,347
DICOM,string_write,1,1.0,1.0,1,0,0,69,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,614
DICOM,#dcm_parse#14,4,1.0,1.0,1,0,0,197,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,155
DICOM,string_write,1,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,620
DICOM,dcm_write,1,1.0,1.0,1,0,0,95,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,543
DICOM,read_element_size,3,0.6666666666666666,0.0,3,0,0,61,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,311
DICOM,sequence_item_write,1,1.0,1.0,1,0,0,250,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,670
DICOM,read_group_tag,2,1.0,0.5,1,0,0,60,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,309
DICOM,@tag_str,1,0.0,0.0,1,4,0,104,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,19
DICOM,sequence_item,1,1.0,0.0,1,0,0,383,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,400
DICOM,find_dicom_files,1,1.0,1.0,1,0,0,133,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,132
DICOM,dcmdir_parse,1,1.0,1.0,1,0,0,67,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,143
DICOM,sequence_write,1,1.0,1.0,1,0,0,108,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,659
DICOM,rescale!,1,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,106
DICOM,sequence_parse,2,1.0,0.0,1,0,0,581,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,381
DICOM,write_element,21,1.0,0.0,1,0,0,2611,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,560
DICOM,isdicom,1,1.0,1.0,1,0,0,122,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,138
DICOM,string_write,1,1.0,1.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,618
DICOM,order,19,0.8947368421052632,0.42105263157894735,12,0,0,83,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,124
DICOM,pixeldata_write,3,1.0,0.0,1,0,0,925,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,677
DICOM,determine_dtype,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,485
DICOM,dcm_store,6,1.0,0.0,1,0,0,720,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,624
DICOM,string_write,1,1.0,1.0,1,0,0,58,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,619
DICOM,lookup_vr,1,0.0,0.0,1,0,0,258,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,95
DICOM,undefined_length,2,1.0,0.0,1,0,0,321,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,514
DICOM,#dcm_parse#15,1,1.0,1.0,1,0,0,371,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,167
DICOM,skip_spaces,1,1.0,1.0,1,0,0,162,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,372
DICOM,dcm_parse,1,1.0,1.0,1,0,0,93,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,167
DICOM,determine_vr_and_lentype,2,0.0,0.0,1,0,0,981,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,313
DICOM,#dcm_write#23,2,1.0,1.0,1,0,0,173,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,536
DICOM,string_parse,2,0.0,0.0,1,0,0,528,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,350
DICOM,determine_dtype,1,0.0,0.0,1,0,0,729,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,485
DICOM,dcm_parse,1,1.0,1.0,1,0,0,67,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,155
DICOM,dcm_store,3,1.0,0.6666666666666666,1,0,0,59,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,622
DICOM,always_implicit,2,0.5,0.5,2,0,0,113,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,129
DICOM,read_meta,1,1.0,0.0,1,0,0,489,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,196
DICOM,#dcm_write#24,2,1.0,0.0,1,0,0,438,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,543
DICOM,sequence_write,1,1.0,1.0,1,0,0,327,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,661
DICOM,string_write,1,1.0,1.0,1,0,0,59,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,616
DICOM,#dcmdir_parse#9,1,1.0,1.0,1,0,0,232,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,143
DICOM,determine_explicitness_and_endianness,1,1.0,1.0,1,0,0,304,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,212
DICOM,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,1
DICOM,check_preamble,1,1.0,1.0,1,0,0,153,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,184
DICOM,#read_body!#16,1,1.0,0.0,1,0,0,365,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,227
DICOM,rescale!,1,1.0,0.0,1,0,0,560,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,106
DICOM,pixeldata_parse,2,0.0,0.0,1,0,0,1721,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DICOM/depot/packages/DICOM/gaeAz/src/DICOM.jl,414
