modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
DataDeps,run_checksum,7,0.42857142857142855,0.42857142857142855,3,0,0,71,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DataDeps/depot/packages/DataDeps/ooWXe/src/verification.jl,73
DataDeps,ensure_download_permitted,1,1.0,1.0,1,0,0,185,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DataDeps/depot/packages/DataDeps/ooWXe/src/resolution_automatic.jl,21
SHA,sha2_256,1,1.0,1.0,1,0,0,56,/build/source/usr/share/julia/stdlib/v1.5/SHA/src/SHA.jl,69
DataDeps,checksum,9,0.0,0.0,1,0,0,99,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DataDeps/depot/packages/DataDeps/ooWXe/src/verification.jl,90
DataDeps,#download#13,13,0.07692307692307693,0.0,3,0,0,454,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DataDeps/depot/packages/DataDeps/ooWXe/src/resolution_automatic.jl,63
DataDeps,handle_missing,1,1.0,0.0,1,0,0,3999,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DataDeps/depot/packages/DataDeps/ooWXe/src/resolution_manual.jl,3
DataDeps,env_bool,1,1.0,1.0,1,0,0,47,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DataDeps/depot/packages/DataDeps/ooWXe/src/util.jl,34
DataDeps,is_valid_name,1,1.0,1.0,1,0,0,145,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DataDeps/depot/packages/DataDeps/ooWXe/src/registration.jl,32
DataDeps,handle_missing,13,1.0,0.9230769230769231,2,0,0,114,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DataDeps/depot/packages/DataDeps/ooWXe/src/resolution_automatic.jl,8
DataDeps,determine_save_path,1,1.0,1.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DataDeps/depot/packages/DataDeps/ooWXe/src/locations.jl,110
DataDeps,#unpack#31,1,1.0,1.0,1,0,0,206,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DataDeps/depot/packages/DataDeps/ooWXe/src/post_fetch_helpers.jl,20
DataDeps,env_bool,1,1.0,1.0,1,0,0,105,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DataDeps/depot/packages/DataDeps/ooWXe/src/util.jl,34
DataDeps,#DataDep#3,18,0.7222222222222222,0.7222222222222222,17,0,0,71,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DataDeps/depot/packages/DataDeps/ooWXe/src/types.jl,83
DataDeps,input_choice,4,1.0,0.5,1,0,1,571,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DataDeps/depot/packages/DataDeps/ooWXe/src/util.jl,78
DataDeps,can_read_file,1,1.0,1.0,1,0,0,64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DataDeps/depot/packages/DataDeps/ooWXe/src/locations.jl,99
DataDeps,run_checksum,1,1.0,0.0,1,0,0,50,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DataDeps/depot/packages/DataDeps/ooWXe/src/verification.jl,65
SHA,lrot,5,0.6,0.6,3,0,0,78,/build/source/usr/share/julia/stdlib/v1.5/SHA/src/base_functions.jl,14
DataDeps,eval,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DataDeps/depot/packages/DataDeps/ooWXe/src/DataDeps.jl,2
SHA,sha3_224,1,1.0,1.0,1,0,0,56,/build/source/usr/share/julia/stdlib/v1.5/SHA/src/SHA.jl,69
SHA,state_type,1,1.0,1.0,1,0,0,39,/build/source/usr/share/julia/stdlib/v1.5/SHA/src/types.jl,91
SHA,rrot,2,0.5,0.5,2,0,0,78,/build/source/usr/share/julia/stdlib/v1.5/SHA/src/base_functions.jl,13
DataDeps,run_post_fetch,1,0.0,0.0,1,0,0,55,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DataDeps/depot/packages/DataDeps/ooWXe/src/resolution_automatic.jl,130
DataDeps,checksum_pass,16,1.0,0.3125,2,0,0,203,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DataDeps/depot/packages/DataDeps/ooWXe/src/resolution_automatic.jl,141
