modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
DataFrames,#_stackview#462,9,0.0,0.0,1,0,0,916,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DataFrames/depot/packages/DataFrames/oQ5c7/src/abstractdataframe/reshape.jl,168
DataFrames,#transform!#386,12,1.0,0.5833333333333334,1,8,1,119,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DataFrames/depot/packages/DataFrames/oQ5c7/src/abstractdataframe/selection.jl,633
DataFrames,wrap,31,0.967741935483871,0.967741935483871,31,0,0,37,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DataFrames/depot/packages/DataFrames/oQ5c7/src/groupeddataframe/callprocessing.jl,4
Tables,rowcount,21,0.8095238095238095,0.8095238095238095,2,0,1,79,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DataFrames/depot/packages/Tables/gg6Id/src/namedtuples.jl,111
DataFrames,allowmissing!,5,1.0,1.0,1,0,0,180,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DataFrames/depot/packages/DataFrames/oQ5c7/src/dataframe/dataframe.jl,984
DataFrames,insertcols!,1,1.0,0.0,1,0,1,73,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DataFrames/depot/packages/DataFrames/oQ5c7/src/dataframe/dataframe.jl,817
PrettyTables,_latex_envs,2,1.0,0.5,1,0,0,108,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DataFrames/depot/packages/PrettyTables/ayuQh/src/backends/latex/private.jl,106
Tables,columnaccess,5,1.0,0.0,1,0,0,37,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DataFrames/depot/packages/Tables/gg6Id/src/Tables.jl,327
DataFrames,convert,5,1.0,1.0,5,0,0,57,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DataFrames/depot/packages/DataFrames/oQ5c7/src/abstractdataframe/abstractdataframe.jl,1171
DataFrames,#DataFrame#652,17,1.0,0.7058823529411765,1,0,0,872,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DataFrames/depot/packages/DataFrames/oQ5c7/src/other/tables.jl,45
DataFrames,#_show#560,15,1.0,0.0,1,0,0,3858,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DataFrames/depot/packages/DataFrames/oQ5c7/src/abstractdataframe/show.jl,210
DataFrames,#hcat#122,1,1.0,1.0,1,0,1,182,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DataFrames/depot/packages/DataFrames/oQ5c7/src/abstractdataframe/abstractdataframe.jl,1428
PrettyTables,#_pt_latex#156,8,1.0,0.0,1,0,0,7884,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DataFrames/depot/packages/PrettyTables/ayuQh/src/backends/latex/print.jl,10
DataFrames,isagg,96,1.0,0.9791666666666666,1,0,0,38,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DataFrames/depot/packages/DataFrames/oQ5c7/src/groupeddataframe/fastaggregates.jl,288
