modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
DeepDiffs,printitem,1,1.0,1.0,1,0,0,154,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DeepDiffs/depot/packages/DeepDiffs/QVSrO/src/arrays.jl,112
DeepDiffs,after,3,0.6666666666666666,0.6666666666666666,3,0,0,47,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DeepDiffs/depot/packages/DeepDiffs/QVSrO/src/dicts.jl,11
DeepDiffs,prettyprint,7,1.0,0.7142857142857143,1,0,0,125,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DeepDiffs/depot/packages/DeepDiffs/QVSrO/src/dicts.jl,105
DeepDiffs,fieldequal,5,1.0,0.0,1,0,0,209,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DeepDiffs/depot/packages/DeepDiffs/QVSrO/src/DeepDiffs.jl,7
DeepDiffs,hascolor,1,0.0,0.0,1,0,0,57,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DeepDiffs/depot/packages/DeepDiffs/QVSrO/src/DeepDiffs.jl,15
DeepDiffs,before,3,0.6666666666666666,0.6666666666666666,3,0,0,47,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DeepDiffs/depot/packages/DeepDiffs/QVSrO/src/dicts.jl,10
DeepDiffs,before,4,0.75,0.75,4,0,0,47,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DeepDiffs/depot/packages/DeepDiffs/QVSrO/src/arrays.jl,8
DeepDiffs,deepdiff,3,0.3333333333333333,0.3333333333333333,2,0,0,50,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DeepDiffs/depot/packages/DeepDiffs/QVSrO/src/DeepDiffs.jl,41
DeepDiffs,before,2,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DeepDiffs/depot/packages/DeepDiffs/QVSrO/src/strings.jl,30
DeepDiffs,changed,2,1.0,1.0,1,0,0,46,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DeepDiffs/depot/packages/DeepDiffs/QVSrO/src/strings.jl,34
