modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
FFTW,plan_brfft,9,1.0,1.0,9,0,0,65,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/FFTW/G3lSO/src/fft.jl,740
CUDA,use_artifact_cudnn,1,1.0,0.0,1,0,0,1824,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/CUDA/mbPFj/deps/bindeps.jl,270
CUDA,llvm_cap_support,1,1.0,1.0,1,0,0,308,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/CUDA/mbPFj/deps/compatibility.jl,133
CUDA,find_binary,1,1.0,1.0,1,0,0,61,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/CUDA/mbPFj/deps/discovery.jl,117
CUDA,context!,1,1.0,1.0,1,0,0,350,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/CUDA/mbPFj/src/state.jl,159
CUDA.Mem,free,1,1.0,1.0,1,0,0,95,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/CUDA/mbPFj/lib/cudadrv/memory.jl,75
CUDA,release,1,1.0,1.0,1,0,0,78,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/CUDA/mbPFj/lib/cudadrv/version.jl,21
Tracker,#setindex!#7,4,1.0,0.0,1,0,1,178,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/MacroTools/gME9C/src/examples/forward.jl,17
CUDA,attribute,1,1.0,1.0,1,0,0,107,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/CUDA/mbPFj/lib/cudadrv/devices.jl,81
Tracker,data,4,0.75,0.75,4,0,0,37,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/Tracker/YNNTM/src/Tracker.jl,18
Tracker,_forward,1,1.0,1.0,1,0,0,84,none,0
CUDA,#cufunction#796,2,0.5,0.0,2,0,0,278,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/CUDA/mbPFj/src/compiler/execution.jl,284
CUDA,#_#801,1,1.0,1.0,1,0,1,153,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/CUDA/mbPFj/src/compiler/execution.jl,345
LLVM,get,1,1.0,1.0,1,0,0,238,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/LLVM/srSVa/src/execution.jl,156
Tracker,istracked,3,1.0,1.0,1,0,0,53,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/Tracker/YNNTM/src/Tracker.jl,14
Tracker,combinations,1,0.0,0.0,1,0,0,193,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/Tracker/YNNTM/src/lib/array.jl,166
CUDA,cuMemHostAlloc,1,1.0,1.0,1,0,0,416,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/CUDA/mbPFj/lib/utils/call.jl,93
CUDA,ndevices,1,1.0,1.0,1,0,0,50,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/CUDA/mbPFj/lib/cudadrv/devices.jl,117
CUDA,has_cudnn,1,1.0,1.0,1,0,0,107,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/CUDA/mbPFj/deps/bindeps.jl,87
Tracker,collectmemaybe,2,0.5,0.5,2,0,0,46,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/Tracker/YNNTM/src/lib/real.jl,163
Tracker,_forward,1,1.0,1.0,1,0,1,88,none,0
CUDA,device!,1,1.0,1.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/CUDA/mbPFj/src/state.jl,273
Tracker,data,2,0.5,0.5,2,0,0,47,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/Tracker/YNNTM/src/lib/real.jl,8
CUDA.CUDNN,__runtime_init__,1,1.0,1.0,1,0,0,145,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/CUDA/mbPFj/lib/cudnn/CUDNN.jl,109
CUDA,@pool_timeit,1,1.0,0.0,1,0,1,107,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/CUDA/mbPFj/src/pool.jl,228
ForwardDiff,binary_dual_definition,1,1.0,0.0,1,0,0,1947,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/ForwardDiff/QOqCN/src/dual.jl,209
AbstractFFTs,rfft_output_size,9,1.0,1.0,3,0,1,137,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/AbstractFFTs/JebmH/src/definitions.jl,320
CUDA.APIUtils,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/CUDA/mbPFj/lib/utils/APIUtils.jl,1
Tracker,#iterate#3,2,1.0,1.0,1,0,1,178,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/MacroTools/gME9C/src/examples/forward.jl,17
CUDA,cuDevicePrimaryCtxRetain,1,1.0,1.0,1,0,0,350,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/CUDA/mbPFj/lib/utils/call.jl,93
CUDA,pool_init,1,1.0,1.0,1,0,0,108,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/CUDA/mbPFj/src/pool/binned.jl,240
CUDA.CURAND,__init__,1,1.0,1.0,1,0,0,221,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/CUDA/mbPFj/lib/curand/CURAND.jl,55
CUDA.Mem,#unsafe_copyto!#11,1,1.0,0.0,1,0,0,140,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/CUDA/mbPFj/lib/cudadrv/memory.jl,435
CUDA.Mem,#unsafe_copyto!#7,1,1.0,1.0,1,0,0,238,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/CUDA/mbPFj/lib/cudadrv/memory.jl,385
CUDA.CUDNN,__init__,1,1.0,1.0,1,0,0,159,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/CUDA/mbPFj/lib/cudnn/CUDNN.jl,74
CUDA,CuDefaultStream,1,1.0,1.0,1,0,0,66,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/CUDA/mbPFj/lib/cudadrv/stream.jl,52
AbstractFFTs,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/AbstractFFTs/JebmH/src/AbstractFFTs.jl,1
CUDA,initialize!,10,1.0,0.9,1,0,0,391,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/CUDA/mbPFj/src/state.jl,383
CUDA.WMMA,get_frag_info,1,1.0,1.0,1,0,0,99,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/CUDA/mbPFj/src/device/intrinsics/wmma.jl,45
CUDA.CUDNN,version,1,1.0,1.0,1,0,0,244,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/CUDA/mbPFj/lib/cudnn/base.jl,20
CUDA,unsafe_cuCtxGetDevice,1,1.0,1.0,1,0,0,226,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/CUDA/mbPFj/lib/cudadrv/libcuda.jl,149
CUDA,switched_tasks,1,1.0,0.0,1,0,0,232,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/CUDA/mbPFj/src/state.jl,94
CUDA,use_local_cudnn,1,1.0,0.0,1,0,0,1121,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/CUDA/mbPFj/deps/bindeps.jl,293
CUDA.CUSOLVER,__init__,1,1.0,1.0,1,0,0,211,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/CUDA/mbPFj/lib/cusolver/CUSOLVER.jl,70
CUDA,libcudadevrt,1,1.0,1.0,1,0,0,98,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/CUDA/mbPFj/deps/bindeps.jl,50
Tracker,zero_grad!,1,1.0,1.0,1,0,0,44,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/Tracker/YNNTM/src/back.jl,14
Tracker,scan,1,1.0,0.0,1,0,0,86,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/Tracker/YNNTM/src/lib/array.jl,276
CUDA,_cuint,1,0.0,0.0,1,0,0,207,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/CUDA/mbPFj/src/broadcast.jl,64
DiffEqFlux,__init__,1,0.0,0.0,1,0,0,627,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiffEqFlux/depot/packages/DiffEqFlux/hvOcT/src/require.jl,3
