modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
Leibniz,isdyadic,true,true,0,1,Bool,"Signature{13,0,0x0000000000000000,0,0,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DirectSum/depot/packages/Leibniz/fAznK/src/generic.jl,33
DirectSum,getalgebra,false,false,19,4,"Union{DirectSum.Basis, DirectSum.ExtendedBasis, DirectSum.SparseBasis}","Int64,Int64,UInt64,UInt64,Type{Signature{_A,_B,_C,0,0,Name} where Name} where _C where _B where _A,Int64,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DirectSum/depot/packages/DirectSum/aSUXQ/src/basis.jl,218
DirectSum,dual,true,true,1,1,"SubManifold{⟨+++⟩,3,0x0000000000000007}","SubManifold{⟨---⟩',3,0x0000000000000007}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DirectSum/depot/packages/DirectSum/aSUXQ/src/generic.jl,111
DirectSum,dyadmode,true,true,0,1,Int64,"Signature{10,0,0x0000000000000000,0,0,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DirectSum/depot/packages/DirectSum/aSUXQ/src/generic.jl,32
DirectSum,getbasis,false,false,0,1,"SubManifold{⟨+++⟩,n,Indices} where Indices where n","SubManifold{⟨+++⟩,3,0x0000000000000007},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DirectSum/depot/packages/DirectSum/aSUXQ/src/basis.jl,261
DirectSum,hasinf,true,true,1,1,Bool,"SubManifold{⟨---⟩',3,0x0000000000000007}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DirectSum/depot/packages/DirectSum/aSUXQ/src/generic.jl,84
DirectSum,isbasis,true,true,0,1,Bool,"SubManifold{62,62,0x3fffffffffffffff}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DirectSum/depot/packages/DirectSum/aSUXQ/src/generic.jl,53
Leibniz,isdyadic,true,true,0,1,Bool,"Type{Signature{10,0,0x0000000000000000,0,0,1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DirectSum/depot/packages/Leibniz/fAznK/src/generic.jl,30
DirectSum,⊕,false,false,12,1,"Signature{28,_A,_B,0,0,1} where _B where _A","Signature{14,0,0x0000000000000000,0,0,1},Signature{14,4,0x0000000000003fff,0,0,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DirectSum/depot/packages/DirectSum/aSUXQ/src/operations.jl,28
DirectSum,mdims,true,true,1,1,Int64,"SubManifold{⟨--------------⟩',14,0x0000000000003fff}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DirectSum/depot/packages/DirectSum/aSUXQ/src/generic.jl,24
DirectSum,getbasis,false,false,0,1,Any,"Any,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DirectSum/depot/packages/DirectSum/aSUXQ/src/basis.jl,261
DirectSum,isbasis,true,true,0,1,Bool,"SubManifold{⟨++++++++++++++⟩,14,0x0000000000003fff}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DirectSum/depot/packages/DirectSum/aSUXQ/src/generic.jl,53
Leibniz,isdyadic,false,false,0,1,Any,"SubManifold{_A,_B,_C} where _C where _B where _A",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DirectSum/depot/packages/Leibniz/fAznK/src/generic.jl,33
DirectSum,hasinf,true,true,0,1,Bool,"Signature{1,0,0x0000000000000000,0,0,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DirectSum/depot/packages/DirectSum/aSUXQ/src/generic.jl,83
DirectSum,diffvars,true,true,1,1,Int64,"SubManifold{⟨---⟩',3,0x0000000000000007}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DirectSum/depot/packages/DirectSum/aSUXQ/src/generic.jl,35
Leibniz,isdyadic,true,true,0,1,Bool,"Type{Signature{9,0,0x0000000000000000,0,0,1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DirectSum/depot/packages/Leibniz/fAznK/src/generic.jl,30
DirectSum,hasinf,true,true,0,1,Bool,"Signature{6,8,0x0000000000000038,0,0,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DirectSum/depot/packages/DirectSum/aSUXQ/src/generic.jl,83
Leibniz,isdyadic,false,false,0,1,Any,Manifold,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DirectSum/depot/packages/Leibniz/fAznK/src/generic.jl,33
DirectSum,polymode,true,true,0,1,Bool,"Signature{4,0,0x0000000000000000,0,0,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DirectSum/depot/packages/DirectSum/aSUXQ/src/generic.jl,31
DirectSum,⊕,true,true,4,1,"SubManifold{⟨+++---⟩*,6,0x000000000000003f}","SubManifold{3,3,0x0000000000000007},SubManifold{⟨---⟩',3,0x0000000000000007}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DirectSum/depot/packages/DirectSum/aSUXQ/src/operations.jl,56
Leibniz,isdual,true,true,0,1,Bool,"Type{Signature{3,4,0x0000000000000007,0,0,1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DirectSum/depot/packages/Leibniz/fAznK/src/generic.jl,31
DirectSum,names_index,true,true,0,1,Int64,"Signature{1,0,0x0000000000000000,0,0,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DirectSum/depot/packages/DirectSum/aSUXQ/src/DirectSum.jl,62
DirectSum,options,true,true,0,1,Int64,"Signature{3,0,0x0000000000000000,0,0,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DirectSum/depot/packages/DirectSum/aSUXQ/src/generic.jl,27
Leibniz,dyadmode,true,true,0,1,Int64,Int64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DirectSum/depot/packages/Leibniz/fAznK/src/generic.jl,16
DirectSum,dyadmode,true,true,0,1,Int64,"Signature{2,8,0x0000000000000002,0,0,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DirectSum/depot/packages/DirectSum/aSUXQ/src/generic.jl,32
