modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
DiscreteEvents,delay!,2,0.0,0.0,1,0,0,356,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiscreteEvents/depot/packages/DiscreteEvents/QowVM/src/process.jl,119
DiscreteEvents,_evaluate,30,0.9333333333333333,0.9333333333333333,30,0,0,37,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiscreteEvents/depot/packages/DiscreteEvents/QowVM/src/fclosure.jl,15
DiscreteEvents,#event!#13,14,0.7857142857142857,0.0,10,0,1,218,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiscreteEvents/depot/packages/DiscreteEvents/QowVM/src/schedule.jl,83
DiscreteEvents,event!,11,1.0,0.9090909090909091,1,0,1,73,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiscreteEvents/depot/packages/DiscreteEvents/QowVM/src/schedule.jl,167
DiscreteEvents,wait!,3,0.0,0.0,1,0,1,208,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiscreteEvents/depot/packages/DiscreteEvents/QowVM/src/process.jl,141
DiscreteEvents,_invoke,7,0.8571428571428571,0.8571428571428571,3,0,0,109,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiscreteEvents/depot/packages/DiscreteEvents/QowVM/src/fclosure.jl,38
DiscreteEvents,_loop,2,0.0,0.0,1,0,0,634,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiscreteEvents/depot/packages/DiscreteEvents/QowVM/src/process.jl,31
DiscreteEvents,#event!#25,13,1.0,0.23076923076923078,1,0,1,183,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiscreteEvents/depot/packages/DiscreteEvents/QowVM/src/schedule.jl,167
DiscreteEvents,step!,2,1.0,0.0,1,0,0,1509,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiscreteEvents/depot/packages/DiscreteEvents/QowVM/src/clock.jl,321
DiscreteEvents,_register!,3,1.0,0.0,3,0,0,67,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiscreteEvents/depot/packages/DiscreteEvents/QowVM/src/schedule.jl,294
DiscreteEvents,event!,16,0.0,0.0,1,0,1,79,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiscreteEvents/depot/packages/DiscreteEvents/QowVM/src/schedule.jl,107
DiscreteEvents,_tadjust,2,1.0,0.0,1,0,0,60,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiscreteEvents/depot/packages/DiscreteEvents/QowVM/src/clock.jl,247
DiscreteEvents,periodic!,4,1.0,1.0,3,0,1,73,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiscreteEvents/depot/packages/DiscreteEvents/QowVM/src/schedule.jl,197
DiscreteEvents,event!,1,1.0,1.0,1,0,1,71,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiscreteEvents/depot/packages/DiscreteEvents/QowVM/src/schedule.jl,130
DiscreteEvents,#event!#14,9,0.8888888888888888,0.0,8,0,1,180,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiscreteEvents/depot/packages/DiscreteEvents/QowVM/src/schedule.jl,92
DiscreteEvents,resume!,1,1.0,1.0,1,0,0,70,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiscreteEvents/depot/packages/DiscreteEvents/QowVM/src/clock.jl,423
DiscreteEvents,resetClock!,1,1.0,1.0,1,0,0,60,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DiscreteEvents/depot/packages/DiscreteEvents/QowVM/src/clock.jl,190
