modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
DistributedArrays,localpart,true,true,1,2,"Array{Bool,1}","DArray{Bool,1,Array{Bool,1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DistributedArrays/depot/packages/DistributedArrays/3FSDt/src/darray.jl,345
DistributedArrays,#construct_localparts#5,true,false,3,1,"Type{Array{Array{Float64,1},1}}","Nothing,Nothing,typeof(DistributedArrays.construct_localparts),var""#21#33"",Tuple{Int64,Int64},Tuple{Int64},Array{Int64,1},Array{Tuple{UnitRange{Int64}},1},Array{Array{Int64,1},1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DistributedArrays/depot/packages/DistributedArrays/3FSDt/src/darray.jl,117
DistributedArrays,#construct_localparts#5,true,false,3,1,"Type{Array{Float64,3}}","Nothing,Nothing,typeof(DistributedArrays.construct_localparts),DistributedArrays.var""#156#159""{typeof(identity),typeof(*),DArray{Float64,3,Array{Float64,3}},Tuple{Int64}},Tuple{Int64,Int64},Tuple{Int64,Int64,Int64},Array{Int64,3},Array{Tuple{UnitRange{Int64},UnitRange{Int64},UnitRange{Int64}},3},Array{Array{Int64,1},1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DistributedArrays/depot/packages/DistributedArrays/3FSDt/src/darray.jl,117
DistributedArrays,#construct_localparts#5,true,true,0,0,Union{},"Nothing,Nothing,typeof(DistributedArrays.construct_localparts),DistributedArrays.var""#84#85""{SubArray{Float64,2,DArray{Float64,2,Array{Float64,2}},Tuple{UnitRange{Int64},UnitRange{Int64}},false},DArray{Float64,2,Array{Float64,2}}},Tuple{Int64,Int64},Tuple{Int64,Int64},Array{Int64,2},Array{Tuple{UnitRange{Int64},UnitRange{Int64}},2},Array{Array{Int64,1},1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DistributedArrays/depot/packages/DistributedArrays/3FSDt/src/darray.jl,117
DistributedArrays,map_localparts,false,false,0,1,Any,"typeof(-),DArray{Float64,3,Array{Float64,3}},Array{Float64,3}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DistributedArrays/depot/packages/DistributedArrays/3FSDt/src/mapreduce.jl,150
DistributedArrays,_bcview1,true,true,10,2,UnitRange{Int64},"Base.OneTo{Int64},UnitRange{Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DistributedArrays/depot/packages/DistributedArrays/3FSDt/src/broadcast.jl,112
DistributedArrays,bcdistribute_args,true,true,0,1,"Tuple{DArray{Float64,3,Array{Float64,3}},Int64}","Tuple{DArray{Float64,3,Array{Float64,3}},Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DistributedArrays/depot/packages/DistributedArrays/3FSDt/src/broadcast.jl,136
DistributedArrays,mapreducedim_within,false,false,3,1,Any,"Function,Function,DArray{Float64,3,Array{Float64,3}},Tuple",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DistributedArrays/depot/packages/DistributedArrays/3FSDt/src/mapreduce.jl,52
DistributedArrays,construct_localparts,true,true,0,1,"Type{Array{Complex{Float64},2}}","DistributedArrays.var""#229#230""{Complex{Float64},DArray{Complex{Float64},2,Array{Complex{Float64},2}}},Tuple{Int64,Int64},Tuple{Int64,Int64},Array{Int64,2},Array{Tuple{UnitRange{Int64},UnitRange{Int64}},2},Array{Array{Int64,1},1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DistributedArrays/depot/packages/DistributedArrays/3FSDt/src/darray.jl,117
DistributedArrays,drand,false,false,0,1,Any,"Array{Int64,1},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DistributedArrays/depot/packages/DistributedArrays/3FSDt/src/darray.jl,517
