modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
DocStringExtensions,isabstracttype,true,false,0,1,Bool,DataType,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DocStringExtensions/depot/packages/DocStringExtensions/LBfLb/src/utilities.jl,115
DocStringExtensions,template_hook,false,false,3,1,"Tuple{LineNumberNode,Module,Any,Expr}","LineNumberNode,Module,Any,Expr",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DocStringExtensions/depot/packages/DocStringExtensions/LBfLb/src/templates.jl,104
DocStringExtensions,groupby!,true,true,3,1,"Array{Pair{Tuple{Symbol,Int64},Array{Method,1}},1}","DocStringExtensions.var""#2#4"",Dict{Tuple{Symbol,Int64},Array{Method,1}},Array{Method,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DocStringExtensions/depot/packages/DocStringExtensions/LBfLb/src/utilities.jl,140
DocStringExtensions,getmethods!,true,false,9,1,"Array{Method,1}","Array{Method,1},Function,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DocStringExtensions/depot/packages/DocStringExtensions/LBfLb/src/utilities.jl,78
DocStringExtensions,uniontypes!,true,false,2,1,"Array{Any,1}","Array{Any,1},Type{T} where T",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DocStringExtensions/depot/packages/DocStringExtensions/LBfLb/src/utilities.jl,58
DocStringExtensions,isabstracttype,true,false,1,2,Bool,Any,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DocStringExtensions/depot/packages/DocStringExtensions/LBfLb/src/utilities.jl,115
DocStringExtensions,groupby!,true,true,3,1,"Array{Pair{Int64,Array{Int64,1}},1}","var""#29#59"",Dict{Int64,Array{Int64,1}},Array{Int64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DocStringExtensions/depot/packages/DocStringExtensions/LBfLb/src/utilities.jl,140
DocStringExtensions,get_template,true,true,1,2,"Array{Any,1}","Dict{Symbol,Array{Any,1}},Symbol",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DocStringExtensions/depot/packages/DocStringExtensions/LBfLb/src/templates.jl,129
DocStringExtensions,hook!,true,true,0,1,"DocStringExtensions.var""#29#30""{typeof(DocStringExtensions.template_hook)}",typeof(DocStringExtensions.template_hook),/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DocStringExtensions/depot/packages/DocStringExtensions/LBfLb/src/templates.jl,11
DocStringExtensions,print_params,true,false,1,2,Nothing,"Base.GenericIOBuffer{Array{UInt8,1}},Type{T} where T",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DocStringExtensions/depot/packages/DocStringExtensions/LBfLb/src/abbreviations.jl,491
DocStringExtensions,template_hook,false,false,0,1,"Tuple{Any,Expr}","LineNumberNode,Expr",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DocStringExtensions/depot/packages/DocStringExtensions/LBfLb/src/templates.jl,122
DocStringExtensions,arguments,false,false,0,1,"Array{_A,1} where _A",Method,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DocStringExtensions/depot/packages/DocStringExtensions/LBfLb/src/utilities.jl,367
DocStringExtensions,print_params,true,false,1,2,Nothing,"Base.GenericIOBuffer{Array{UInt8,1}},DataType",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DocStringExtensions/depot/packages/DocStringExtensions/LBfLb/src/abbreviations.jl,491
DocStringExtensions,alltypesigs,true,false,3,4,"Array{Any,1}",Type{T} where T,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DocStringExtensions/depot/packages/DocStringExtensions/LBfLb/src/utilities.jl,123
DocStringExtensions,template_hook,false,false,3,1,"Tuple{LineNumberNode,Module,Any,Expr}","LineNumberNode,Module,Expr,Expr",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DocStringExtensions/depot/packages/DocStringExtensions/LBfLb/src/templates.jl,104
