modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
DoubleFloats,tld,true,true,0,1,Double64,"Double64,Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DoubleFloats/depot/packages/DoubleFloats/bZ4Vx/src/math/prearith/floorceiltrunc.jl,149
DoubleFloats,add2,true,true,0,1,Double64,"Float64,Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DoubleFloats/depot/packages/DoubleFloats/bZ4Vx/src/math/ops/arith.jl,38
DoubleFloats,inf,true,true,0,1,DoubleFloat{Float16},Type{DoubleFloat{Float16}},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DoubleFloats/depot/packages/DoubleFloats/bZ4Vx/src/type/specialvalues.jl,5
DoubleFloats,sub_ddfp_dd,true,true,0,1,"Tuple{Float32,Float32}","Tuple{Float32,Float32},Float32",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DoubleFloats/depot/packages/DoubleFloats/bZ4Vx/src/math/ops/op_ddfp_dd.jl,7
DoubleFloats,DWTimesFP3,true,true,0,1,"Tuple{Float16,Float16}","Float16,Float16,Float16",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DoubleFloats/depot/packages/DoubleFloats/bZ4Vx/src/doubletriple/double.jl,161
DoubleFloats,isnonpositive,true,true,1,2,Bool,DoubleFloat{Float16},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DoubleFloats/depot/packages/DoubleFloats/bZ4Vx/src/type/predicates.jl,78
DoubleFloats,mul323,true,true,0,1,"Tuple{Float64,Float64,Float64}","Tuple{Float64,Float64,Float64},Tuple{Float64,Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DoubleFloats/depot/packages/DoubleFloats/bZ4Vx/src/doubletriple/triple.jl,396
DoubleFloats,mul_dbdb_db_nonfinite,true,true,0,1,Double64,"Double64,Double64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DoubleFloats/depot/packages/DoubleFloats/bZ4Vx/src/math/ops/op_dbdb_db.jl,44
DoubleFloats,Double64Float128,true,true,0,1,Double64,"typeof(acos),Double64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DoubleFloats/depot/packages/DoubleFloats/bZ4Vx/src/type/quadmath.jl,37
DoubleFloats,HILO,false,false,0,1,"Tuple{Union{Float16, Float32, Float64},Union{Float16, Float32, Float64}}","DoubleFloat{T} where T<:Union{Float16, Float32, Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DoubleFloats/depot/packages/DoubleFloats/bZ4Vx/src/Double.jl,59
DoubleFloats,add_dbfp_db,true,true,1,2,Double64,"Double64,Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DoubleFloats/depot/packages/DoubleFloats/bZ4Vx/src/math/ops/op_dbfp_db.jl,1
DoubleFloats,sub_fpdb_db_nonfinite,true,true,0,1,Double64,"Float64,Double64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DoubleFloats/depot/packages/DoubleFloats/bZ4Vx/src/math/ops/op_fpdb_db.jl,26
DoubleFloats,mul_fpfp_dd,true,true,0,1,"Tuple{Float64,Float64}","Float64,Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DoubleFloats/depot/packages/DoubleFloats/bZ4Vx/src/math/ops/op_fpfp_dd.jl,3
DoubleFloats,LO,true,true,0,1,Float16,DoubleFloat{Float16},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DoubleFloats/depot/packages/DoubleFloats/bZ4Vx/src/Double.jl,58
DoubleFloats,HILO,true,true,0,1,"Tuple{Float64,Float64}","Tuple{Float64,Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DoubleFloats/depot/packages/DoubleFloats/bZ4Vx/src/Double.jl,63
DoubleFloats,mul_fpdd_dd,true,true,0,1,"Tuple{Float64,Float64}","Float64,Tuple{Float64,Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DoubleFloats/depot/packages/DoubleFloats/bZ4Vx/src/math/ops/op_fpdd_dd.jl,24
DoubleFloats,two_sum,false,false,0,1,"Tuple{Any,Any}","T<:Union{Float16, Float32, Float64},T<:Union{Float16, Float32, Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DoubleFloats/depot/packages/DoubleFloats/bZ4Vx/src/math/errorfree.jl,18
DoubleFloats,isfractional,true,true,1,2,Bool,Double64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DoubleFloats/depot/packages/DoubleFloats/bZ4Vx/src/type/predicates.jl,120
DoubleFloats,square_dd_dd,true,true,0,1,"Tuple{Float64,Float64}","Tuple{Float64,Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DoubleFloats/depot/packages/DoubleFloats/bZ4Vx/src/math/ops/op_dd_dd.jl,45
DoubleFloats,exp_taylor,true,true,0,1,Double64,Double64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DoubleFloats/depot/packages/DoubleFloats/bZ4Vx/src/math/elementary/explog.jl,24
DoubleFloats,reim,true,true,0,1,"Tuple{Double64,Double64}",Complex{Double64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DoubleFloats/depot/packages/DoubleFloats/bZ4Vx/src/math/elementary/complex.jl,1
DoubleFloats,matrixfunction,false,false,4,1,Any,"typeof(exp),Array{Complex{Double64},2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DoubleFloats/depot/packages/DoubleFloats/bZ4Vx/src/math/linearalgebra/matrixfunction.jl,13
DoubleFloats,signs,true,true,0,1,"Tuple{Float16,Float16}",DoubleFloat{Float16},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DoubleFloats/depot/packages/DoubleFloats/bZ4Vx/src/math/prearith/prearith.jl,74
DoubleFloats,three_sum,true,true,0,1,"Tuple{Float64,Float64,Float64}","Float64,Float64,Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DoubleFloats/depot/packages/DoubleFloats/bZ4Vx/src/math/errorfree.jl,31
DoubleFloats,eigenvals,false,false,0,1,"AbstractArray{T,1} where T","Array{Complex{Double64},2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DoubleFloats/depot/packages/DoubleFloats/bZ4Vx/src/math/linearalgebra/matrixfunction.jl,79
DoubleFloats,posinf,true,true,0,1,DoubleFloat{Float16},Type{DoubleFloat{Float16}},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DoubleFloats/depot/packages/DoubleFloats/bZ4Vx/src/type/specialvalues.jl,6
DoubleFloats,pi1o2,true,true,0,1,Double64,Type{Double64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DoubleFloats/depot/packages/DoubleFloats/bZ4Vx/src/doubletriple/double_consts.jl,67
DoubleFloats,isnegative,true,true,0,1,Bool,Double32,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DoubleFloats/depot/packages/DoubleFloats/bZ4Vx/src/type/predicates.jl,72
DoubleFloats,two_sum,true,true,0,1,"Tuple{Float16,Float16}","Float16,Float16,Float16",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DoubleFloats/depot/packages/DoubleFloats/bZ4Vx/src/math/errorfree.jl,61
DoubleFloats,@df32_str,true,true,0,1,Expr,"LineNumberNode,Module,String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DoubleFloats/depot/packages/DoubleFloats/bZ4Vx/src/type/parse.jl,21
