modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
DataFrames,merge,1,0.0,0.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DrWatson/depot/packages/DataFrames/vQokV/src/dataframerow/dataframerow.jl,448
DataFrames,genkeymap,2,1.0,0.0,1,0,0,411,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DrWatson/depot/packages/DataFrames/vQokV/src/groupeddataframe/groupeddataframe.jl,229
DataFrames,#manipulate#472,4,0.0,0.0,1,32,1,1324,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DrWatson/depot/packages/DataFrames/vQokV/src/abstractdataframe/selection.jl,1390
DataFrames,nrow,8,1.0,0.875,1,0,0,88,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DrWatson/depot/packages/DataFrames/vQokV/src/subdataframe/subdataframe.jl,153
PrettyTables,_process_hlines,1,1.0,0.0,1,0,0,404,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DrWatson/depot/packages/PrettyTables/Y5Fj5/src/misc.jl,128
DataFrames,#manipulate#474,6,1.0,0.6666666666666666,1,0,0,304,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DrWatson/depot/packages/DataFrames/vQokV/src/abstractdataframe/selection.jl,1435
DataFrames,row,3,1.0,0.6666666666666666,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DrWatson/depot/packages/DataFrames/vQokV/src/dataframerow/dataframerow.jl,119
DataFrames,ourshow,2,1.0,1.0,1,0,0,60,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DrWatson/depot/packages/DataFrames/vQokV/src/abstractdataframe/show.jl,35
Tables,table,1,0.0,0.0,1,0,0,104,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DrWatson/depot/packages/Tables/gg6Id/src/matrix.jl,54
DataFrames,_prehash,8,1.0,0.125,1,0,0,299,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DrWatson/depot/packages/DataFrames/vQokV/src/join/core.jl,40
PrettyTables,append_suffix_to_line!,1,1.0,1.0,1,0,0,84,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DrWatson/depot/packages/PrettyTables/Y5Fj5/src/backends/text/custom_text_cells/url_text_cell.jl,101
DataFrames,_innerjoin_unsorted_int,2,1.0,0.5,1,0,0,1761,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DrWatson/depot/packages/DataFrames/vQokV/src/join/core.jl,327
