modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
VectorizationBase,vge,false,false,0,1,Any,"VectorizationBase.MM{W,X,T<:Union{Int16, Int32, Int64, Int8, UInt16, UInt32, UInt64, UInt8, Static.StaticInt}},Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DynamicAxisWarping/depot/packages/VectorizationBase/4Po8n/src/ranges.jl,243
SlidingDistancesBase,normalize,true,true,4,2,"Array{Float64,2}","Type{NormNormalizer},NormNormalizer{Float64,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DynamicAxisWarping/depot/packages/SlidingDistancesBase/3xl7V/src/normalizers.jl,413
DynamicAxisWarping,#dtwnn#48,true,false,0,1,"DTWSearchResult{Array{Float64,2},Float64,Array{Float64,1}}","Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},typeof(dtwnn),Array{Float64,2},Array{Float64,2},SqEuclidean,Int64,Type{DiagonalZNormalizer}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DynamicAxisWarping/depot/packages/DynamicAxisWarping/dHvBR/src/dtwnn.jl,162
DynamicAxisWarping,#dtwnn#49,true,true,34,1,"DTWSearchResult{Array{Float32,1},Float32,Array{Float32,1}}","Bool,Bool,Bool,Int64,Int64,Bool,Nothing,Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},typeof(dtwnn),DTWWorkspace{Float32,Nothing,Array{Float32,1},SqEuclidean},Array{Float32,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DynamicAxisWarping/depot/packages/DynamicAxisWarping/dHvBR/src/dtwnn.jl,168
VectorizationBase,tdot,true,true,0,1,Int64,"Type{Float64},Tuple{Int64},Tuple{Int64},Tuple{Static.True}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DynamicAxisWarping/depot/packages/VectorizationBase/4Po8n/src/strided_pointers/cartesian_indexing.jl,7
DynamicAxisWarping,#dtwnn#48,true,true,1,1,"DTWSearchResult{Array{Float64,1},Float64,Array{Float64,1}}","Base.Iterators.Pairs{Symbol,Real,Tuple{Symbol,Symbol},NamedTuple{(:prune_endpoints, :transportcost),Tuple{Bool,Float64}}},typeof(dtwnn),Array{Float64,1},Array{Float64,1},Chebyshev,Int64,Type{Nothing}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DynamicAxisWarping/depot/packages/DynamicAxisWarping/dHvBR/src/dtwnn.jl,162
VectorizationBase,llvmcall_expr,false,false,0,1,Any,"String,String,Symbol,Expr,String,Array{String,1},Array{Union{Expr, Symbol},1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DynamicAxisWarping/depot/packages/VectorizationBase/4Po8n/src/llvm_types.jl,227
VectorizationBase,register_size,true,true,0,1,Static.StaticInt{32},Type{UInt64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DynamicAxisWarping/depot/packages/VectorizationBase/4Po8n/src/cpu_info.jl,79
DynamicAxisWarping,#_#12,false,false,0,1,"Union{Float32, Float64}","Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},DTW{SqEuclidean,Nothing},Array{Float32,1},Array{Float32,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DynamicAxisWarping/depot/packages/DynamicAxisWarping/dHvBR/src/distance_interface.jl,89
VectorizationBase,redefine_cache,true,false,14,1,Nothing,Int64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DynamicAxisWarping/depot/packages/VectorizationBase/4Po8n/src/topology.jl,190
DynamicAxisWarping,expandpath,true,true,16,1,"Tuple{Array{Int64,1},Array{Int64,1}}","Array{Int64,1},Array{Int64,1},Int64,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DynamicAxisWarping/depot/packages/DynamicAxisWarping/dHvBR/src/fastdtw.jl,42
DynamicAxisWarping,update_τ!,true,true,8,1,Nothing,"Array{Float64,2},StepRangeLen{Float64,Base.TwicePrecision{Float64},Base.TwicePrecision{Float64}},Int64,Array{Float64,1},Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DynamicAxisWarping/depot/packages/DynamicAxisWarping/dHvBR/src/gdtw.jl,73
VectorizationBase,stridedpointer,true,true,0,1,"VectorizationBase.StridedPointer{Bool,1,1,0,(1,),Tuple{Static.StaticInt{1}},Tuple{Static.StaticInt{1}}}","Array{Bool,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DynamicAxisWarping/depot/packages/VectorizationBase/4Po8n/src/strided_pointers/stridedpointers.jl,70
VectorizationBase,cache_linesize,true,true,0,1,Static.StaticInt{64},Static.StaticInt{1},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DynamicAxisWarping/depot/packages/VectorizationBase/4Po8n/src/topology.jl,182
