modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
DynamicPPL,tilde,false,false,0,1,"Tuple{Union{TrackedArray{…,Base.ReshapedArray{Float64,2,SubArray{Float64,1,Array{Float64,1},Tuple{UnitRange{Int64}},true},Tuple{}}}, TrackedArray{…,Array{Float64,2}}},Any}","Random._GLOBAL_RNG,DefaultContext,SampleFromPrior,Wishart{Float64,PDMats.PDMat{Float64,Array{Float64,2}},Int64},VarName{:v,Tuple{}},Tuple{},VarInfo{NamedTuple{(:v,),Tuple{DynamicPPL.Metadata{Dict{VarName{:v,Tuple{}},Int64},Array{Wishart{Float64,PDMats.PDMat{Float64,Array{Float64,2}},Int64},1},Array{VarName{:v,Tuple{}},1},TrackedArray{…,Array{Float64,1}},Array{Set{Selector},1}}}},Tracker.TrackedReal{Float64}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DynamicPPL/depot/packages/DynamicPPL/wf0dU/src/context_implementations.jl,22
DynamicPPL,tilde,false,false,0,1,"Tuple{Float64,Union{Float64, Int64}}","Random._GLOBAL_RNG,MiniBatchContext,SampleFromPrior,Normal{Float64},VarName{:m,Tuple{}},Tuple{},DynamicPPL.ThreadSafeVarInfo{VarInfo{NamedTuple{(:s, :m, :x),Tuple{DynamicPPL.Metadata{Dict{VarName{:s,Tuple{}},Int64},Array{InverseGamma{Float64},1},Array{VarName{:s,Tuple{}},1},Array{Float64,1},Array{Set{Selector},1}},DynamicPPL.Metadata{Dict{VarName{:m,Tuple{}},Int64},Array{Normal{Float64},1},Array{VarName{:m,Tuple{}},1},Array{Float64,1},Array{Set{Selector},1}},DynamicPPL.Metadata{Dict{VarName{:x,Tuple{}},Int64},Array{TuringScalMvNormal{Array{Float64,1},Float64},1},Array{VarName{:x,Tuple{}},1},Array{Float64,1},Array{Set{Selector},1}}}},Float64},Array{Base.RefValue{Float64},1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DynamicPPL/depot/packages/DynamicPPL/wf0dU/src/context_implementations.jl,39
DynamicPPL,unset_flag!,true,true,0,1,Bool,"VarInfo{DynamicPPL.Metadata{Dict{VarName,Int64},Array{Distribution,1},Array{VarName,1},Array{Real,1},Array{Set{Selector},1}},Float64},VarName{:x,Tuple{}},String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DynamicPPL/depot/packages/DynamicPPL/wf0dU/src/varinfo.jl,1102
DynamicPPL,probtype,false,false,5,1,"Tuple{Union{Nothing, Val},Model{var""#139#145"",(:x, :n),(:n,),(),Tuple{Array{Float64,1},Int64},Tuple{Int64}},VarInfo{NamedTuple{(:m,),Tuple{DynamicPPL.Metadata{Dict{VarName{:m,Tuple{}},Int64},Array{MvNormal{Float64,PDMats.ScalMat{Float64},FillArrays.Zeros{Float64,1,Tuple{Base.OneTo{Int64}}}},1},Array{VarName{:m,Tuple{}},1},Array{Float64,1},Array{Set{Selector},1}}}},Float64}}","NamedTuple{(:x,),Tuple{Array{Float64,1}}},NamedTuple{(:m, :model, :varinfo),Tuple{Array{Float64,1},Model{var""#139#145"",(:x, :n),(:n,),(),Tuple{Array{Float64,1},Int64},Tuple{Int64}},VarInfo{NamedTuple{(:m,),Tuple{DynamicPPL.Metadata{Dict{VarName{:m,Tuple{}},Int64},Array{MvNormal{Float64,PDMats.ScalMat{Float64},FillArrays.Zeros{Float64,1,Tuple{Base.OneTo{Int64}}}},1},Array{VarName{:m,Tuple{}},1},Array{Float64,1},Array{Set{Selector},1}}}},Float64}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DynamicPPL/depot/packages/DynamicPPL/wf0dU/src/prob_macro.jl,33
DynamicPPL,tilde,false,false,1,1,"Tuple{Any,Any}","Random._GLOBAL_RNG,PriorContext,SampleFromPrior,Normal{Float64},VarName{:m,Tuple{}},Tuple{},VarInfo{_A,Float64} where _A",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DynamicPPL/depot/packages/DynamicPPL/wf0dU/src/context_implementations.jl,25
DynamicPPL,settrans!,true,true,1,1,Bool,"DynamicPPL.ThreadSafeVarInfo{VarInfo{DynamicPPL.Metadata{Dict{VarName,Int64},Array{Distribution,1},Array{VarName,1},Array{Real,1},Array{Set{Selector},1}},Float64},Array{Base.RefValue{Float64},1}},Bool,VarName{:y,Tuple{}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DynamicPPL/depot/packages/DynamicPPL/wf0dU/src/varinfo.jl,362
DynamicPPL,inspace,true,true,0,1,Bool,"VarName{:x,Tuple{Tuple{Int64}}},Tuple{Symbol,Symbol,VarName{:z,Tuple{Tuple{Int64}}},VarName{:M,Tuple{Tuple{UnitRange{Int64},Colon}}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DynamicPPL/depot/packages/DynamicPPL/wf0dU/src/varname.jl,90
DynamicPPL,matchingvalue,true,false,1,1,Nothing,"SampleFromPrior,VarInfo{_A,Float64} where _A,Nothing",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DynamicPPL/depot/packages/DynamicPPL/wf0dU/src/compiler.jl,375
DynamicPPL,syms,false,false,0,1,Any,"VarInfo{var""#s64"",Tlogp} where Tlogp where var""#s64""<:NamedTuple",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DynamicPPL/depot/packages/DynamicPPL/wf0dU/src/varinfo.jl,372
DynamicPPL,matchingvalue,true,false,1,1,Int64,"SampleFromPrior,DynamicPPL.ThreadSafeVarInfo,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DynamicPPL/depot/packages/DynamicPPL/wf0dU/src/compiler.jl,375
DynamicPPL,unset_flag!,true,true,0,1,Bool,"DynamicPPL.ThreadSafeVarInfo{VarInfo{NamedTuple{(:m,),Tuple{DynamicPPL.Metadata{Dict{VarName{:m,Tuple{}},Int64},Array{MvNormal{Float64,PDMats.ScalMat{Float64},FillArrays.Zeros{Float64,1,Tuple{Base.OneTo{Int64}}}},1},Array{VarName{:m,Tuple{}},1},Array{Float64,1},Array{Set{Selector},1}}}},Float64},Array{Base.RefValue{Float64},1}},VarName{:m,Tuple{}},String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DynamicPPL/depot/packages/DynamicPPL/wf0dU/src/threadsafe.jl,99
DynamicPPL,evaluate_threadsafe,true,true,0,1,Nothing,"Random._GLOBAL_RNG,Model{var""#158#164"",(:x,),(),(),Tuple{Array{Float64,1}},Tuple{}},VarInfo{DynamicPPL.Metadata{Dict{VarName,Int64},Array{Distribution,1},Array{VarName,1},Array{Real,1},Array{Set{Selector},1}},Float64},SampleFromPrior,DefaultContext",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DynamicPPL/depot/packages/DynamicPPL/wf0dU/src/model.jl,141
DynamicPPL,getidx,false,false,0,1,Any,"VarInfo{_A,Float64} where _A,VarName{:m,Tuple{}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DynamicPPL/depot/packages/DynamicPPL/wf0dU/src/varinfo.jl,258
DynamicPPL,tilde,true,true,0,1,Float64,"LikelihoodContext{NamedTuple{(:chain, :model, :x),Tuple{Chains{Float64,AxisArrays.AxisArray{Float64,3,Array{Float64,3},Tuple{AxisArrays.Axis{:iter,StepRange{Int64,Int64}},AxisArrays.Axis{:var,Array{Symbol,1}},AxisArrays.Axis{:chain,UnitRange{Int64}}}},Missing,NamedTuple{(:parameters,),Tuple{Array{Symbol,1}}},NamedTuple{(),Tuple{}}},Model{var""#140#147"",(:x, :y),(),(),Tuple{Array{Float64,1},Array{Float64,1}},Tuple{}},Array{Float64,1}}}},SampleFromPrior,Normal{Float64},Float64,DynamicPPL.ThreadSafeVarInfo{VarInfo{NamedTuple{(:s, :m, :x),Tuple{DynamicPPL.Metadata{Dict{VarName{:s,Tuple{}},Int64},Array{InverseGamma{Float64},1},Array{VarName{:s,Tuple{}},1},Array{Float64,1},Array{Set{Selector},1}},DynamicPPL.Metadata{Dict{VarName{:m,Tuple{}},Int64},Array{Normal{Float64},1},Array{VarName{:m,Tuple{}},1},Array{Float64,1},Array{Set{Selector},1}},DynamicPPL.Metadata{Dict{VarName{:x,Tuple{}},Int64},Array{TuringScalMvNormal{Array{Float64,1},Float64},1},Array{VarName{:x,Tuple{}},1},Array{Float64,1},Array{Set{Selector},1}}}},Float64},Array{Base.RefValue{Float64},1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DynamicPPL/depot/packages/DynamicPPL/wf0dU/src/context_implementations.jl,72
DynamicPPL,getdist,false,false,0,1,Any,"VarInfo{_A,Float64} where _A,VarName{:x,Tuple{}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/DynamicPPL/depot/packages/DynamicPPL/wf0dU/src/varinfo.jl,281
