modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
Elly,buffer_size_delimited,true,false,4,1,Int64,"Base.GenericIOBuffer{Array{UInt8,1}},Elly.hadoop.hdfs.RenameRequestProto",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Elly/depot/packages/Elly/Ia03N/src/rpc.jl,62
Elly.hadoop.common,include,false,false,0,1,Any,String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Elly/depot/packages/Elly/Ia03N/src/hadoop/hadoop.jl,4
Elly,_as_dict,true,true,4,1,"Dict{Symbol,Any}","Elly.hadoop.hdfs.FsServerDefaultsProto,Dict{Symbol,Any}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Elly/depot/packages/Elly/Ia03N/src/api_hdfs_base.jl,126
DelimitedFiles,show,true,true,0,0,Union{},"IOContext{Base.GenericIOBuffer{Array{UInt8,1}}},MIME{Symbol(""text/tab-separated-values"")},ProtoBuf.ProtoMeta",/build/source/usr/share/julia/stdlib/v1.5/DelimitedFiles/src/DelimitedFiles.jl,829
Elly,mkdir,false,false,0,1,Any,"HDFSClient,String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Elly/depot/packages/Elly/Ia03N/src/api_hdfs_base.jl,309
Elly,include,false,false,0,1,Any,String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Elly/depot/packages/Elly/Ia03N/src/Elly.jl,3
Elly,isdir,true,true,0,1,Bool,HDFSFileInfo,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Elly/depot/packages/Elly/Ia03N/src/api_hdfs_base.jl,223
Elly,send_rpc_message,true,false,11,1,Nothing,"Elly.HadoopRpcChannel,Elly.HadoopRpcController,ProtoBuf.MethodDescriptor,Elly.hadoop.hdfs.GetListingRequestProto",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Elly/depot/packages/Elly/Ia03N/src/rpc.jl,226
Pkg.TOML,write,true,true,0,1,Int64,"Pkg.TOML.Parser{Base.GenericIOBuffer{Array{UInt8,1}}},Char",/build/source/usr/share/julia/stdlib/v1.5/Pkg/ext/TOML/src/parser.jl,56
Elly,buffer_method_reqhdr,true,false,0,1,Int64,"Elly.HadoopRpcChannel,ProtoBuf.MethodDescriptor",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Elly/depot/packages/Elly/Ia03N/src/rpc.jl,173
Elly,#open#23,false,false,1,1,"Union{Elly.HDFSFileReader, Elly.HDFSFileWriter}","Base.Iterators.Pairs{Symbol,Bool,Tuple{Symbol},NamedTuple{(:crc,),Tuple{Bool}}},typeof(open),HDFSFile,String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Elly/depot/packages/Elly/Ia03N/src/api_hdfs_io.jl,349
