modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
Espresso,dependencies,1,1.0,1.0,1,0,0,53,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Espresso/depot/packages/Espresso/O3BLm/src/exnode.jl,143
Espresso,remove_unused,1,1.0,0.0,1,0,0,300,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Espresso/depot/packages/Espresso/O3BLm/src/optimize.jl,16
Espresso,setexpr!,1,1.0,1.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Espresso/depot/packages/Espresso/O3BLm/src/exnode.jl,51
Espresso,parse!,1,1.0,1.0,1,0,0,40,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Espresso/depot/packages/Espresso/O3BLm/src/exgraph.jl,222
Espresso,rewrite,5,0.0,0.0,1,0,0,75,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Espresso/depot/packages/Espresso/O3BLm/src/rewrite.jl,300
Espresso,is_calculable,1,1.0,1.0,1,0,0,37,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Espresso/depot/packages/Espresso/O3BLm/src/simplify.jl,34
Espresso,rewrite_all,4,0.0,0.0,1,0,0,71,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Espresso/depot/packages/Espresso/O3BLm/src/rewrite.jl,337
Espresso,to_context,1,1.0,1.0,1,0,0,297,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Espresso/depot/packages/Espresso/O3BLm/src/utils.jl,203
Espresso,with_guards,2,0.0,0.0,1,0,0,186,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Espresso/depot/packages/Espresso/O3BLm/src/utils.jl,255
Espresso,@get_or_create,1,1.0,0.0,1,28,0,219,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Espresso/depot/packages/Espresso/O3BLm/src/utils.jl,21
Espresso,get_var_names,4,1.0,0.75,1,0,0,52,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Espresso/depot/packages/Espresso/O3BLm/src/indexing.jl,145
Espresso,mk_eval_expr,3,1.0,0.0,1,0,0,698,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Espresso/depot/packages/Espresso/O3BLm/src/evaluate.jl,33
Espresso,remember_size!,4,1.0,0.0,1,0,0,726,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Espresso/depot/packages/Espresso/O3BLm/src/evaluate.jl,5
Espresso,#tryrewrite#33,1,0.0,0.0,1,0,0,214,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Espresso/depot/packages/Espresso/O3BLm/src/rewrite.jl,314
Espresso,parse!,1,1.0,0.0,1,0,0,198,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Espresso/depot/packages/Espresso/O3BLm/src/exgraph.jl,325
Espresso,parse!,1,1.0,0.0,1,0,0,691,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Espresso/depot/packages/Espresso/O3BLm/src/exgraph.jl,291
Espresso,is_calculable,1,1.0,1.0,1,0,0,37,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Espresso/depot/packages/Espresso/O3BLm/src/simplify.jl,38
Espresso,swap_default_graph!,1,1.0,1.0,1,0,0,79,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Espresso/depot/packages/Espresso/O3BLm/src/tracked.jl,15
Espresso,#get_vars#60,2,1.0,0.5,1,0,0,65,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Espresso/depot/packages/Espresso/O3BLm/src/indexing.jl,140
Espresso,#rewrite_all#39,2,1.0,1.0,2,0,0,44,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Espresso/depot/packages/Espresso/O3BLm/src/rewrite.jl,370
Espresso,eval_codegen,1,1.0,1.0,1,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Espresso/depot/packages/Espresso/O3BLm/src/codegens/cudavec.jl,27
Espresso,parse!,1,1.0,0.0,1,0,0,731,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Espresso/depot/packages/Espresso/O3BLm/src/exgraph.jl,256
Espresso,subs,4,1.0,1.0,1,0,0,67,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Espresso/depot/packages/Espresso/O3BLm/src/rewrite.jl,251
Espresso,@simple_rule,1,1.0,0.0,1,12,0,71,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Espresso/depot/packages/Espresso/O3BLm/src/simplify.jl,27
Espresso,istracked,1,1.0,0.0,1,0,0,37,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Espresso/depot/packages/Espresso/O3BLm/src/tracked.jl,69
Espresso,@tracked,1,0.0,0.0,1,4,0,170,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Espresso/depot/packages/Espresso/O3BLm/src/tracked.jl,188
Espresso,rename_repeated,3,0.0,0.0,1,0,0,57,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Espresso/depot/packages/Espresso/O3BLm/src/exgraph.jl,152
Espresso,@get,1,1.0,0.0,1,28,0,187,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Espresso/depot/packages/Espresso/O3BLm/src/utils.jl,6
Espresso,force_bitness,1,1.0,0.0,1,0,0,40,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Espresso/depot/packages/Espresso/O3BLm/src/utils.jl,475
Espresso,getexpr,6,0.0,0.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Espresso/depot/packages/Espresso/O3BLm/src/exnode.jl,50
Espresso,#evaluate!#146,1,0.0,0.0,1,0,0,1087,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Espresso/depot/packages/Espresso/O3BLm/src/evaluate.jl,141
