modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
ExcelFiles,fileio_load,true,true,0,1,ExcelFiles.ExcelFile,"File{FileIO.DataFormat{:Excel},String},String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ExcelFiles/depot/packages/ExcelFiles/NtqPa/src/ExcelFiles.jl,32
ExcelFiles,#_readxl#3,false,false,25,1,"Tuple{Array,Union{Array{T,N} where T where N, DataValueArray}}","Bool,Array{Symbol,1},typeof(ExcelFiles._readxl),ExcelFile,String,Int64,Int64,Int64,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ExcelFiles/depot/packages/ExcelFiles/NtqPa/src/ExcelFiles.jl,52
ExcelFiles,_readxl,false,false,0,1,"Tuple{Array,Union{Array{T,N} where T where N, DataValueArray}}","ExcelFile,String,Integer,Integer,Integer,Integer",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ExcelFiles/depot/packages/ExcelFiles/NtqPa/src/ExcelFiles.jl,52
FileIO,load,false,false,0,1,Any,IOStream,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ExcelFiles/depot/packages/FileIO/JA3Vl/src/loadsave.jl,109
ExcelFiles,_readxl,false,false,0,1,"Tuple{Array,Union{Array{T,N} where T where N, DataValueArray}}","ExcelFile,String,Int64,Int64,Int64,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ExcelFiles/depot/packages/ExcelFiles/NtqPa/src/ExcelFiles.jl,52
ExcelFiles,#_readxl#3,false,false,25,1,"Tuple{Array,Union{Array{T,N} where T where N, DataValueArray}}","Bool,Array{Symbol,1},typeof(ExcelFiles._readxl),ExcelFile,String,Integer,Integer,Integer,Integer",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ExcelFiles/depot/packages/ExcelFiles/NtqPa/src/ExcelFiles.jl,52
FileIO,load,false,false,0,1,Any,"String,String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ExcelFiles/depot/packages/FileIO/JA3Vl/src/loadsave.jl,109
FileIO,save,true,true,0,0,Union{},"IOStream,Nothing",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ExcelFiles/depot/packages/FileIO/JA3Vl/src/loadsave.jl,125
ExcelFiles,#fileio_load#1,true,true,0,1,ExcelFiles.ExcelFile,"Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},typeof(ExcelFiles.fileio_load),File{FileIO.DataFormat{:Excel},String},String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ExcelFiles/depot/packages/ExcelFiles/NtqPa/src/ExcelFiles.jl,32
FileIO,load,false,false,0,1,Any,FileIO.Formatted,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ExcelFiles/depot/packages/FileIO/JA3Vl/src/loadsave.jl,116
FileIO,save,false,false,0,1,Any,"FileIO.Formatted,Nothing",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ExcelFiles/depot/packages/FileIO/JA3Vl/src/loadsave.jl,131
FileIO,@format_str,true,false,0,1,Expr,"LineNumberNode,Module,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ExcelFiles/depot/packages/FileIO/JA3Vl/src/types.jl,16
FileIO,load,false,false,0,1,Any,String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ExcelFiles/depot/packages/FileIO/JA3Vl/src/loadsave.jl,109
FileIO,save,false,false,0,1,Any,"String,Nothing",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ExcelFiles/depot/packages/FileIO/JA3Vl/src/loadsave.jl,125
ExcelFiles,gennames,true,false,12,1,"Array{Symbol,1}",Integer,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ExcelFiles/depot/packages/ExcelFiles/NtqPa/src/ExcelFiles.jl,44
