modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
EzXML,eachnode,1,1.0,1.0,1,0,0,47,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/EzXML/depot/packages/EzXML/ZNwhK/src/node.jl,1372
EzXML,hasparentelement,1,1.0,1.0,1,0,0,142,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/EzXML/depot/packages/EzXML/ZNwhK/src/node.jl,636
EzXML,store_proxy_pointer!,1,1.0,1.0,1,0,0,96,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/EzXML/depot/packages/EzXML/ZNwhK/src/node.jl,362
EzXML,nodeattributes,1,1.0,1.0,1,0,0,244,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/EzXML/depot/packages/EzXML/ZNwhK/src/streamreader.jl,418
EzXML,document,1,1.0,1.0,1,0,0,156,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/EzXML/depot/packages/EzXML/ZNwhK/src/node.jl,1076
EzXML,eachelement,1,1.0,1.0,1,0,0,50,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/EzXML/depot/packages/EzXML/ZNwhK/src/node.jl,1407
EzXML,elements,1,1.0,1.0,1,0,0,47,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/EzXML/depot/packages/EzXML/ZNwhK/src/node.jl,1416
EzXML,hasprevnode,1,1.0,1.0,1,0,0,65,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/EzXML/depot/packages/EzXML/ZNwhK/src/node.jl,748
EzXML,XMLDocumentNode,1,1.0,1.0,1,0,0,254,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/EzXML/depot/packages/EzXML/ZNwhK/src/node.jl,440
EzXML,make_read_callback,1,1.0,1.0,1,0,0,60,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/EzXML/depot/packages/EzXML/ZNwhK/src/document.jl,211
EzXML,prev_node_ptr,4,0.75,0.75,3,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/EzXML/depot/packages/EzXML/ZNwhK/src/node.jl,1489
EzXML,parsexml,1,1.0,1.0,1,0,0,53,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/EzXML/depot/packages/EzXML/ZNwhK/src/document.jl,92
EzXML,HTMLDocument,1,1.0,1.0,1,0,0,46,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/EzXML/depot/packages/EzXML/ZNwhK/src/document.jl,49
EzXML,validate,1,1.0,1.0,1,0,0,402,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/EzXML/depot/packages/EzXML/ZNwhK/src/document.jl,426
EzXML,expandtree,1,1.0,1.0,1,0,0,282,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/EzXML/depot/packages/EzXML/ZNwhK/src/streamreader.jl,498
EzXML,setroot!,1,1.0,1.0,1,0,0,384,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/EzXML/depot/packages/EzXML/ZNwhK/src/document.jl,328
EzXML,last_node_ptr,2,0.5,0.5,2,0,0,55,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/EzXML/depot/packages/EzXML/ZNwhK/src/node.jl,1481
EzXML,isattribute,1,1.0,1.0,1,0,0,55,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/EzXML/depot/packages/EzXML/ZNwhK/src/node.jl,1022
EzXML,countnodes,1,1.0,1.0,1,0,0,171,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/EzXML/depot/packages/EzXML/ZNwhK/src/node.jl,815
EzXML,hasdtd,1,1.0,1.0,1,0,0,151,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/EzXML/depot/packages/EzXML/ZNwhK/src/document.jl,354
