modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
FilePathsBase,_win_splitdrive,true,true,0,1,"Tuple{String,String}",String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/windows.jl,20
FilePathsBase,#Path#3,false,false,0,1,Any,"Base.Iterators.Pairs{Symbol,_A,Tuple{Symbol,Symbol,Symbol},_B} where _B where _A,typeof(Path),AbstractPath",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/path.jl,15
FilePathsBase,join,true,true,0,1,String,"NTuple{14,String},String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/aliases.jl,5
FilePathsBase,#Mode#1,true,true,6,1,Mode,"UInt8,UInt8,UInt8,Type{Mode}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/mode.jl,22
FilePathsBase,Path,false,false,0,1,Any,AbstractPath,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/path.jl,15
FilePathsBase,#Path#3,false,false,0,1,Any,"Base.Iterators.Pairs{Symbol,Tuple{String,String},Tuple{Symbol},NamedTuple{(:segments,),Tuple{Tuple{String,String}}}},typeof(Path),PosixPath",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/path.jl,15
FilePathsBase,Path,false,false,0,1,Any,String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/path.jl,22
FilePathsBase,#PosixPath#44,true,true,0,1,PosixPath,"String,Type{PosixPath},Tuple{String}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/posix.jl,13
FilePathsBase,include,false,false,0,1,Any,String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/FilePathsBase.jl,1
FilePathsBase,#Path#3,false,false,0,1,Any,"Base.Iterators.Pairs{Symbol,_A,Tuple{Symbol,Symbol,Symbol},_B} where _B where _A,typeof(Path),PosixPath",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/path.jl,15
FilePathsBase,join,false,false,5,1,Any,"AbstractPath,String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/path.jl,284
