modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
Pkg.Resolve,abs,1,1.0,1.0,1,0,0,125,/build/source/usr/share/julia/stdlib/v1.5/Pkg/src/Resolve/fieldvalues.jl,61
Pkg.Resolve,abs,1,1.0,1.0,1,0,0,105,/build/source/usr/share/julia/stdlib/v1.5/Pkg/src/Resolve/versionweights.jl,36
FilePaths,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePaths/WjN4l/src/FilePaths.jl,3
FilePathsBase,#Path#3,24,0.0,0.0,1,0,0,197,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/path.jl,15
FilePathsBase,_meta,1,1.0,1.0,1,0,0,47,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/mode.jl,198
FilePaths,_ispath,1,1.0,0.0,1,0,0,77,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePaths/WjN4l/src/compat.jl,142
FilePathsBase,parents,1,0.0,0.0,1,0,0,383,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/path.jl,227
FilePaths,@compat,1,1.0,0.0,1,4,0,190,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePaths/WjN4l/src/compat.jl,41
SparseArrays,size,1,1.0,0.0,1,0,0,54,/build/source/usr/share/julia/stdlib/v1.5/SparseArrays/src/sparsevector.jl,41
FilePathsBase,@p_str,1,1.0,0.0,1,4,0,58,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/path.jl,30
FilePathsBase,__init__,1,1.0,1.0,1,0,0,96,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/FilePathsBase.jl,72
FilePathsBase,join,9,0.0,0.0,1,0,1,471,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/path.jl,284
FilePathsBase,home,1,0.0,0.0,1,0,0,51,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/path.jl,133
FilePathsBase,#chmod#37,1,0.0,0.0,1,0,0,106,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/system.jl,315
SparseArrays,size,1,1.0,0.0,1,0,0,66,/build/source/usr/share/julia/stdlib/v1.5/SparseArrays/src/sparsematrix.jl,74
FilePathsBase,#open#40,3,1.0,0.0,1,0,1,161,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/system.jl,375
FilePathsBase,isabsolute,1,1.0,1.0,1,0,0,97,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/windows.jl,86
FilePathsBase,#PosixPath#44,1,1.0,1.0,1,0,0,51,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/posix.jl,13
FilePathsBase,relative,2,0.0,0.0,1,0,0,912,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/path.jl,433
FilePathsBase,isabsolute,2,1.0,1.0,1,0,0,61,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/path.jl,151
FilePathsBase,mode,1,1.0,0.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/path.jl,501
FilePathsBase,join,6,1.0,0.8333333333333334,1,0,1,57,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/aliases.jl,5
FilePathsBase,register,2,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/FilePathsBase.jl,107
FilePathsBase,Path,2,0.0,0.0,1,0,0,47,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/path.jl,22
SuiteSparse.CHOLMOD,size,3,0.6666666666666666,0.6666666666666666,2,0,0,111,/build/source/usr/share/julia/stdlib/v1.5/SuiteSparse/src/cholmod.jl,1153
FilePathsBase,cwd,1,0.0,0.0,1,0,0,51,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/path.jl,132
SentinelArrays,size,1,1.0,1.0,1,0,0,51,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/SentinelArrays/Ubf17/src/SentinelArrays.jl,177
FilePathsBase,normalize,3,0.0,0.0,1,0,0,541,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/path.jl,386
FilePathsBase,#chmod#36,1,0.0,0.0,1,0,0,400,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/system.jl,302
FilePathsBase,mode,1,1.0,0.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/system.jl,68
FilePathsBase,_win_splitdrive,1,1.0,1.0,1,0,0,122,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/windows.jl,20
FilePathsBase,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/FilePathsBase.jl,1
FilePathsBase,#chmod#39,1,0.0,0.0,1,0,0,1515,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/system.jl,323
FilePathsBase,absolute,2,0.0,0.0,1,0,0,136,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/path.jl,418
FilePaths,compat_exp,1,1.0,0.0,1,0,0,2202,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePaths/WjN4l/src/compat.jl,51
FilePathsBase,Path,4,0.25,0.25,2,0,0,65,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/path.jl,15
SharedArrays,size,4,1.0,1.0,1,0,0,48,/build/source/usr/share/julia/stdlib/v1.5/SharedArrays/src/SharedArrays.jl,294
FilePathsBase,isrelative,1,1.0,1.0,1,0,0,55,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/path.jl,144
FilePathsBase,hasparent,1,1.0,1.0,1,0,0,71,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/path.jl,174
FilePaths,#URI#4,2,1.0,1.0,1,0,0,535,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePaths/WjN4l/src/uri.jl,1
FilePathsBase,#tryparse#7,2,0.0,0.0,1,0,0,1071,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/path.jl,78
FilePaths,eval,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePaths/WjN4l/src/FilePaths.jl,3
FilePathsBase,#Mode#1,1,1.0,1.0,1,0,0,215,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/mode.jl,22
FilePathsBase,raw,1,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/mode.jl,165
FilePathsBase,#parse#6,8,0.375,0.25,4,0,0,223,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/path.jl,72
FilePathsBase,/,2,0.0,0.0,1,0,1,66,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FilePaths/depot/packages/FilePathsBase/YFK4h/src/path.jl,270
