modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
FiniteDifferences,to_vec,true,true,0,1,"Tuple{Array{Float64,1},typeof(identity)}","Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FiniteDifferences/depot/packages/FiniteDifferences/QL8oH/src/to_vec.jl,22
FiniteDifferences,_coefs,false,false,0,1,Any,"SArray{Tuple{16},Int64,1,16},Int64,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FiniteDifferences/depot/packages/FiniteDifferences/QL8oH/src/methods.jl,276
FiniteDifferences,grad,false,false,0,1,"Tuple{Tuple{Any,Any}}","FiniteDifferences.AdaptedFiniteDifferenceMethod{5,1,FiniteDifferences.UnadaptedFiniteDifferenceMethod{7,5}},Function,Tuple{Array{Float64,2},Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FiniteDifferences/depot/packages/FiniteDifferences/QL8oH/src/grad.jl,88
FiniteDifferences,to_vec,true,true,0,1,"Tuple{Array{Float32,1},FiniteDifferences.var""#Tuple_from_vec#45""{Tuple{typeof(identity),FiniteDifferences.var""#Array_from_vec#34""{Array{Float32,3},typeof(identity)},FiniteDifferences.var""#Real_from_vec#22""},Tuple{Int64,Int64,Int64},Tuple{Int64,Int64,Int64}}}","Tuple{Array{Float32,1},Array{Float32,3},Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FiniteDifferences/depot/packages/FiniteDifferences/QL8oH/src/to_vec.jl,146
FiniteDifferences,rand_tangent,true,true,0,1,NoTangent,"Random._GLOBAL_RNG,Char",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FiniteDifferences/depot/packages/FiniteDifferences/QL8oH/src/rand_tangent.jl,9
FiniteDifferences,_compute_step_acc,true,true,0,1,"Tuple{Float64,Float64}","FiniteDifferences.AdaptedFiniteDifferenceMethod{7,1,FiniteDifferences.UnadaptedFiniteDifferenceMethod{9,7}},Float64,Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FiniteDifferences/depot/packages/FiniteDifferences/QL8oH/src/methods.jl,396
FiniteDifferences,_estimate_magnitudes,true,true,0,1,"Tuple{Float64,Float64}","FiniteDifferences.UnadaptedFiniteDifferenceMethod{7,5},FiniteDifferences.var""#55#57""{Int64,Base.var""#62#63""{FiniteDifferences.var""#61#63""{Int64,var""#f1#55"",Tuple{Array{Float64,2},Array{Float64,2}}},FiniteDifferences.var""#Array_from_vec#34""{Array{Float64,2},typeof(identity)}},Array{Float64,1}},Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FiniteDifferences/depot/packages/FiniteDifferences/QL8oH/src/methods.jl,374
FiniteDifferences,_exponentiate_grid,false,false,0,1,Any,"SArray{Tuple{P},Int64,1,P} where P,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FiniteDifferences/depot/packages/FiniteDifferences/QL8oH/src/methods.jl,527
FiniteDifferences,_estimate_magnitudes,true,true,0,1,"Tuple{Float64,Float64}","FiniteDifferences.UnadaptedFiniteDifferenceMethod{16,14},typeof(sinc),Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FiniteDifferences/depot/packages/FiniteDifferences/QL8oH/src/methods.jl,374
FiniteDifferences,estimate_step,true,true,4,1,"Tuple{Float64,Float64}","FiniteDifferences.AdaptedFiniteDifferenceMethod{5,1,FiniteDifferences.UnadaptedFiniteDifferenceMethod{7,5}},FiniteDifferences.var""#55#57""{Int64,Base.var""#62#63""{Base.var""#62#63""{Base.var""#62#63""{typeof(first),typeof(to_vec)},var""#40#70""{var""#f3#57"",Array{Float64,2}}},FiniteDifferences.var""#Real_from_vec#22""},Array{Float64,1}},Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FiniteDifferences/depot/packages/FiniteDifferences/QL8oH/src/methods.jl,362
FiniteDifferences,to_vec,true,true,0,1,"Tuple{Array{Float32,1},FiniteDifferences.var""#AbstractTriangular_from_vec#36""{UpperTriangular{Float32,Array{Float32,2}},UpperTriangular{Float32,Array{Float32,2}},FiniteDifferences.var""#Array_from_vec#34""{Array{Float32,2},typeof(identity)}}}","UpperTriangular{Float32,Array{Float32,2}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FiniteDifferences/depot/packages/FiniteDifferences/QL8oH/src/to_vec.jl,83
FiniteDifferences,estimate_step,true,true,0,1,"Tuple{Float64,Float64}","FiniteDifferences.UnadaptedFiniteDifferenceMethod{7,5},FiniteDifferences.var""#55#57""{Int64,Base.var""#62#63""{Base.var""#62#63""{Base.var""#62#63""{typeof(first),typeof(to_vec)},var""#39#69""{var""#f3#57"",Float64}},FiniteDifferences.var""#Array_from_vec#34""{Array{Float64,2},typeof(identity)}},Array{Float64,1}},Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/FiniteDifferences/depot/packages/FiniteDifferences/QL8oH/src/methods.jl,356
