modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
GR.jlgr,legend_size,1,0.0,0.0,1,0,0,555,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/jlgr.jl,562
GR.jlgr,#histogram#50,1,0.0,0.0,1,0,0,268,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/jlgr.jl,1889
GR,isijulia,1,1.0,1.0,1,0,0,113,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/GR.jl,253
GR.GR3,deletemesh,1,1.0,1.0,1,0,0,104,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/gr3.jl,209
GR.GR3,drawmesh,2,1.0,0.5,1,0,0,686,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/gr3.jl,161
GR,polyline3d,2,1.0,0.5,1,0,0,420,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/GR.jl,2326
GR.jlgr,#plot#42,2,0.0,0.0,1,0,1,204,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/jlgr.jl,1632
GR,setmarkersize,3,1.0,0.6666666666666666,1,0,0,85,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/GR.jl,1278
GR,isinline,1,1.0,1.0,1,0,0,81,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/GR.jl,3561
GR.jlgr,Extrema64,10,0.8,0.8,3,0,0,435,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/jlgr.jl,197
GR.jlgr,create_context,2,0.0,0.0,1,0,0,349,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/jlgr.jl,705
GR,restorestate,1,1.0,1.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/GR.jl,3666
GR,latin1,2,0.0,0.0,2,0,0,911,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/GR.jl,602
GR.jlgr,colormap,1,1.0,1.0,1,0,0,403,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/jlgr.jl,678
GR.GR3,_check_error,1,1.0,0.0,1,0,0,575,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/gr3.jl,38
GR,setfillcolorind,1,1.0,1.0,1,0,0,85,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/GR.jl,1651
GR,scatter,1,0.0,0.0,1,0,1,81,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/GR.jl,3499
GR.jlgr,plot_data,1,0.0,0.0,1,0,0,43,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/jlgr.jl,1096
GR.GR3,surface,2,1.0,0.5,1,0,0,976,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/gr3.jl,335
GR,contour,2,0.0,0.0,1,0,1,81,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/GR.jl,3504
GR.jlgr,#plot3#62,1,0.0,0.0,1,0,1,154,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/jlgr.jl,2242
GR.jlgr,tricont,1,0.0,0.0,1,0,1,81,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/jlgr.jl,2675
GR,openmeta,1,1.0,1.0,1,0,0,259,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/GR.jl,3904
GR,setlinetype,1,1.0,1.0,1,0,0,85,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/GR.jl,1118
GR,contour,2,1.0,0.5,1,0,0,1465,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/GR.jl,2478
GR,drawimage,4,1.0,0.25,2,0,0,73,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/GR.jl,3114
GR,#trisurf#32,1,0.0,0.0,1,0,1,148,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/GR.jl,3539
GR.jlgr,#tricont#81,1,0.0,0.0,1,0,1,154,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/jlgr.jl,2675
GR.jlgr,to_int,1,0.0,0.0,1,0,0,375,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/jlgr.jl,1027
GR.GR3,@ArrayToVector,1,1.0,0.0,1,12,0,106,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/gr3.jl,11
GR.jlgr,#imshow#77,1,0.0,0.0,1,0,0,130,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/jlgr.jl,2538
GR.jlgr,#wireframe#59,2,0.0,0.0,1,0,1,154,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/jlgr.jl,2164
GR,settextalign,1,1.0,1.0,1,0,0,113,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/GR.jl,1575
GR.jlgr,send_data,1,1.0,0.0,1,0,0,178,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/jlgr.jl,1029
GR.jlgr,Figure,1,1.0,1.0,1,0,0,310,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/jlgr.jl,72
GR,#shadelines#36,1,1.0,0.0,1,0,0,513,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/GR.jl,3993
GR.jlgr,search,1,0.0,0.0,1,0,0,92,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/jlgr.jl,10
GR,axes,7,1.0,0.5714285714285714,1,0,0,139,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/GR.jl,2167
GR.jlgr,create_context,2,0.0,0.0,1,0,0,83,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/jlgr.jl,700
GR,shade,1,0.0,0.0,1,0,1,81,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/GR.jl,3541
GR.jlgr,colorbar,3,1.0,0.0,1,0,0,1726,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/jlgr.jl,642
GR,updatews,1,1.0,1.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/GR.jl,542
GR.jlgr,#surface#60,5,0.0,0.0,1,0,1,154,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/jlgr.jl,2208
GR,meshgrid,1,1.0,1.0,1,0,0,61,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/GR.jl,3531
GR.jlgr,hasmarker,1,1.0,1.0,1,0,0,54,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/jlgr.jl,579
GR.jlgr,_max,3,0.6666666666666666,0.6666666666666666,2,0,0,62,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/jlgr.jl,62
GR,wctondc,2,1.0,0.5,1,0,0,244,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/GR.jl,2789
GR,inqtextext,1,1.0,0.0,1,0,0,340,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/GR.jl,2120
GR,grid,2,1.0,0.5,1,0,0,225,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/GR.jl,2240
GR.jlgr,oplot,1,0.0,0.0,1,0,1,81,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/jlgr.jl,1667
GR,displayname,1,0.0,0.0,1,0,0,50,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/GR.jl,3566
GR,sendmetaref,6,1.0,0.0,1,0,0,63,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/GR.jl,3920
GR,setcharheight,2,1.0,0.5,1,0,0,85,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/GR.jl,1469
GR.jlgr,isrowvec,3,0.6666666666666666,0.6666666666666666,2,0,0,107,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/jlgr.jl,95
GR,axes3d,4,1.0,0.5,1,0,0,337,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/GR.jl,2363
GR,#contourf#14,2,0.0,0.0,1,0,1,148,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/GR.jl,3505
GR,setwindow,6,1.0,0.6666666666666666,1,0,0,169,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/GR.jl,1762
GR.jlgr,hexbin,1,0.0,0.0,1,0,1,81,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/jlgr.jl,2040
GR.jlgr,normalize_color,2,0.5,0.5,2,0,0,166,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/jlgr.jl,899
GR,meshgrid,1,1.0,1.0,1,0,0,55,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/GR.jl,3530
GR,drawarc,2,1.0,0.5,1,0,0,225,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/GR.jl,2883
GR,adjustlimits,4,1.0,0.75,1,0,0,244,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/GR.jl,2623
GR,panzoom,1,1.0,0.0,1,0,0,521,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/GR.jl,4020
GR,drawrect,1,1.0,0.0,1,0,0,169,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/GR.jl,2827
GR.jlgr,#isosurface#78,1,0.0,0.0,1,0,0,130,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GR/depot/packages/GR/9Vi4m/src/jlgr.jl,2567
