modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
Gadfly,plot,true,false,2,1,Plot,"DataFrames.DataFrame,Dict{Symbol,String},Type{Gadfly.Geom.PointGeometry}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/Gadfly.jl,319
Tables,columntable,true,true,0,0,Union{},"Tables.Schema{nothing,nothing},DataFrames.DataFrame",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Tables/gg6Id/src/namedtuples.jl,165
Unitful,^,false,false,0,1,Any,"Unitful.Dimensions{(Unitful.Dimension{:Current}(-2//1), Unitful.Dimension{:Length}(2//1), Unitful.Dimension{:Mass}(1//1), Unitful.Dimension{:Time}(-2//1))},Rational{Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Unitful/0oqX5/src/dimensions.jl,76
Measures,*,false,false,0,1,"Measures.Length{_A,Float64} where _A","Measures.Length{:mm,Float64},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Measures/0Zkai/src/operations.jl,47
OffsetArrays,getindex,true,true,0,1,"OffsetArrays.OffsetArray{Float64,1,LinRange{Float64}}","LinRange{Float64},Base.IdentityUnitRange{UnitRange{Int64}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/OffsetArrays/bZKwG/src/OffsetArrays.jl,513
Gadfly,#Aesthetics#51,true,true,0,1,Gadfly.Aesthetics,"Array{Float64,1},Array{Float64,1},Nothing,Nothing,Nothing,Nothing,Nothing,Array{ColorTypes.RGB{Float32},1},Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Array{Float64,1},Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,OrderedCollections.OrderedDict{Any,Any},String,Nothing,Nothing,Dict{Symbol,AbstractString},Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Gadfly.Scale.var""#default_labeler#45""{IndirectArrays.IndirectArray{String,1,Array{Int64,1},Array{String,1}}},typeof(Gadfly.Scale.identity_formatter),typeof(Showoff.showoff),typeof(Showoff.showoff),Gadfly.Scale.var""#labeler#64""{Dict{ColorTypes.RGB{Float32},String}},typeof(Showoff.showoff),typeof(Showoff.showoff),typeof(Showoff.showoff),typeof(Showoff.showoff),Missing,Missing,Type{Gadfly.Aesthetics},Gadfly.Aesthetics",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/varset.jl,67
Gadfly.Stat,#BinMeanStatistic#48,true,true,0,1,Gadfly.Stat.BinMeanStatistic,"Int64,Type{Gadfly.Stat.BinMeanStatistic}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/statistics.jl,1798
Gadfly,#plot#77,true,true,0,1,Plot,"Base.Iterators.Pairs{Symbol,Symbol,Tuple{Symbol,Symbol,Symbol},NamedTuple{(:x, :y, :color),Tuple{Symbol,Symbol,Symbol}}},typeof(plot),DataFrames.DataFrame,typeof(Gadfly.Stat.x_jitter),typeof(Gadfly.Stat.y_jitter),Type{Gadfly.Geom.PointGeometry}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/Gadfly.jl,287
Gadfly,#layer#74,true,true,1,1,"Array{Layer,1}","Base.Iterators.Pairs{Symbol,Any,NTuple{5,Symbol},NamedTuple{(:y, :xmin, :xmax, :color, :order),Tuple{Array{Function,1},Array{Int64,1},Array{Int64,1},Array{String,1},Int64}}},typeof(layer),Type{Gadfly.Stat.FunctionStatistic},Type{Gadfly.Geom.LineGeometry}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/Gadfly.jl,188
Gadfly,evalmapping,false,false,0,1,Any,"Gadfly.MeltedData{Array{Float64,2}},Gadfly.Col.GroupedColumn",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/mapping.jl,188
