modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
Gadfly,draw,5,0.4,0.4,2,0,0,57,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/Gadfly.jl,843
DataFrames,#_stackview#355,1,1.0,0.0,1,0,0,1005,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/DataFrames/GtZ1l/src/abstractdataframe/reshape.jl,96
DataFrames,_names,1,1.0,1.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/DataFrames/GtZ1l/src/groupeddataframe/groupeddataframe.jl,101
CSV,isrowtable,2,1.0,0.5,1,0,0,37,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/CSV/UIgP3/src/file.jl,65
Gadfly,add_plot_element!,1,1.0,1.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/Gadfly.jl,257
DataFrames,#defalg#494,2,0.0,0.0,1,0,0,88,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/DataFrames/GtZ1l/src/abstractdataframe/sort.jl,303
Gadfly,#inherit!#58,1,1.0,0.0,1,0,0,991,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/aesthetics.jl,417
Gadfly.Geom,render,1,1.0,0.0,1,0,0,1263,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/geom/violin.jl,20
Gadfly.Stat,output_aesthetics,1,1.0,1.0,1,0,0,111,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/statistics.jl,303
DataFrames,getindex,4,0.0,0.0,1,0,0,198,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/DataFrames/GtZ1l/src/dataframe/dataframe.jl,426
DataFrames,getindex,2,1.0,0.0,1,0,1,123,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/DataFrames/GtZ1l/src/groupeddataframe/groupeddataframe.jl,332
Gadfly.Geom,add_subplot_element,3,0.0,0.0,3,0,0,294,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/geom/subplot.jl,17
Compose,*,1,1.0,1.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Compose/5GmGj/src/misc.jl,214
Gadfly.Guide,#XLabel#67,2,1.0,0.5,1,0,0,53,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/guide.jl,856
Gadfly.Stat,default_scales,1,1.0,1.0,1,0,0,132,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/statistics.jl,1490
Gadfly.Guide,render,1,1.0,0.0,1,0,0,4312,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/guide.jl,520
CategoricalArrays,#levels!#56,3,1.0,1.0,3,0,0,1196,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/CategoricalArrays/0ZAbp/src/array.jl,744
DataFrames,#DataFrame#135,31,1.0,0.1935483870967742,1,0,0,626,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/DataFrames/GtZ1l/src/dataframe/dataframe.jl,203
Gadfly,get_scale,1,0.0,0.0,1,0,0,88,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/Gadfly.jl,1174
Gadfly.Geom,element_aesthetics,1,1.0,1.0,1,0,0,53,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/geom/beeswarm.jl,20
Gadfly.Scale,#alpha_discrete#42,1,1.0,1.0,1,0,0,116,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/scale.jl,366
Compose,draw,15,1.0,0.0,1,0,0,1067,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Compose/5GmGj/src/cairo_backends.jl,620
Gadfly.Stat,apply_statistic,1,0.0,0.0,1,0,0,448,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/statistics.jl,1891
PooledArrays,getindex,1,1.0,1.0,1,0,1,187,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/PooledArrays/yiLq3/src/PooledArrays.jl,316
Gadfly.Stat,default_scales,1,1.0,1.0,1,0,0,68,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/statistics.jl,503
DataFrames,#make_unique!#1,2,1.0,0.5,1,0,0,1051,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/DataFrames/GtZ1l/src/other/utils.jl,13
DataFrames,getindex,1,1.0,1.0,1,0,0,61,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/DataFrames/GtZ1l/src/other/index.jl,295
Gadfly.Stat,default_scales,1,1.0,1.0,1,0,0,58,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/statistics.jl,657
ColorTypes,color,4,0.75,0.75,4,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/ColorTypes/6m8P7/src/traits.jl,108
Gadfly.Geom,#YErrorBarGeometry#68,1,1.0,1.0,1,0,0,47,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/geom/errorbar.jl,17
Gadfly,get_theme,1,1.0,1.0,1,0,0,45,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/theme.jl,357
OrderedCollections,iterate,7,1.0,0.7142857142857143,5,0,0,183,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/OrderedCollections/PRayh/src/ordered_dict.jl,447
IndirectArrays,setindex!,3,0.6666666666666666,0.6666666666666666,3,0,0,284,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/IndirectArrays/bVST3/src/IndirectArrays.jl,55
Gadfly,default_middle_color,1,1.0,0.0,1,0,0,130,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/theme.jl,41
OffsetArrays,getindex,1,1.0,1.0,1,0,0,51,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/OffsetArrays/bZKwG/src/OffsetArrays.jl,517
Gadfly.Geom,element_aesthetics,1,1.0,1.0,1,0,0,53,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/geom/violin.jl,16
Gadfly.Shape,octagon,1,1.0,0.0,1,0,0,771,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/shapes.jl,223
OrderedCollections,length,8,1.0,0.75,1,0,0,73,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/OrderedCollections/PRayh/src/ordered_dict.jl,82
Compose,draw,7,1.0,0.8571428571428571,1,0,0,213,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Compose/5GmGj/src/svg.jl,730
Gadfly,default_statistic,13,0.9230769230769231,0.9230769230769231,2,0,0,55,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/Gadfly.jl,74
Gadfly.Stat,default_scales,1,1.0,1.0,1,0,0,132,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/statistics.jl,1916
Gadfly.Geom,element_aesthetics,1,1.0,1.0,1,0,0,67,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/geom/errorbar.jl,50
Gadfly.Stat,input_aesthetics,1,1.0,1.0,1,0,0,47,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/statistics.jl,2157
Main.__anon__,*,1,1.0,1.0,1,0,0,63,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/Xnkmc/test/testscripts/percent.jl,16
Gadfly.Coord,apply_coordinate,1,1.0,1.0,1,0,0,63,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/coord.jl,275
Gadfly.Stat,apply_statistic,2,1.0,1.0,1,0,0,41,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/statistics.jl,50
Gadfly,concretize,4,0.0,0.0,1,0,1,330,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/misc.jl,18
Gadfly.Stat,output_aesthetics,1,1.0,1.0,1,0,0,55,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/statistics.jl,1418
IterTools,eltype,2,0.5,0.5,2,0,0,47,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/IterTools/0dYLc/src/IterTools.jl,120
Gadfly.Stat,input_aesthetics,1,1.0,1.0,1,0,0,50,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/statistics.jl,1327
DataFrames,getindex,1,0.0,0.0,1,0,0,303,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/DataFrames/GtZ1l/src/dataframe/dataframe.jl,383
DataFrames,getindex,1,0.0,0.0,1,0,0,111,deprecated.jl,70
Gadfly.Col,index,1,1.0,1.0,1,0,0,42,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/mapping.jl,15
DataFrames,ncol,3,0.6666666666666666,0.6666666666666666,2,0,0,52,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/DataFrames/GtZ1l/src/subdataframe/subdataframe.jl,109
Gadfly.Geom,#BarGeometry#5,1,1.0,1.0,1,0,0,126,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/geom/bar.jl,8
Compose,*,7,0.7142857142857143,0.7142857142857143,7,0,0,44,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Compose/5GmGj/src/measure.jl,13
CategoricalArrays,split,1,1.0,0.0,1,0,0,75,deprecated.jl,70
Gadfly.Scale,log10_formatter,1,1.0,1.0,1,0,0,86,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/scale.jl,52
DataFrames,#fromcolumns#570,1,1.0,0.0,1,0,0,455,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/DataFrames/GtZ1l/src/other/tables.jl,24
Gadfly,discretize_make_ia,23,0.8695652173913043,0.8695652173913043,16,0,0,143,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/misc.jl,288
Gadfly,#Data#48,11,1.0,0.6363636363636364,1,0,0,225,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/varset.jl,63
Dates,show,1,1.0,0.0,1,0,0,90,/build/source/usr/share/julia/stdlib/v1.5/Dates/src/io.jl,106
Gadfly.Stat,default_scales,1,1.0,1.0,1,0,0,92,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/statistics.jl,2104
Compose,draw,1,1.0,0.0,1,0,0,941,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Compose/5GmGj/src/svg.jl,736
Gadfly,evalmapping,38,0.9210526315789473,0.9210526315789473,28,0,0,40,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/Gadfly/zv8pp/src/mapping.jl,183
Pkg.Types,isempty,1,1.0,1.0,1,0,0,57,/build/source/usr/share/julia/stdlib/v1.5/Pkg/src/versions.jl,236
DataFrames,eval,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gadfly/depot/packages/DataFrames/GtZ1l/src/DataFrames.jl,1
