modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
SimpleDirectMediaLayer,WINDOWPOS_CENTERED_DISPLAY,1,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GameZero/depot/packages/SimpleDirectMediaLayer/WmGZl/src/lib/SDL_h.jl,323
GameZero,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GameZero/depot/packages/GameZero/QdBGK/src/GameZero.jl,1
SimpleDirectMediaLayer,RenderClear,1,1.0,0.0,1,0,0,105,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GameZero/depot/packages/SimpleDirectMediaLayer/WmGZl/src/lib/SDL.jl,3764
GameZero,initscreen,1,1.0,0.0,1,0,0,199,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GameZero/depot/packages/GameZero/QdBGK/src/GameZero.jl,65
GameZero,quitSDL,1,1.0,0.0,1,0,0,828,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GameZero/depot/packages/GameZero/QdBGK/src/GameZero.jl,286
GameZero,start!,1,1.0,1.0,1,0,0,70,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GameZero/depot/packages/GameZero/QdBGK/src/timer.jl,7
SimpleDirectMediaLayer,AddEventWatch,1,1.0,1.0,1,0,0,129,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GameZero/depot/packages/SimpleDirectMediaLayer/WmGZl/src/lib/SDL.jl,3380
SimpleDirectMediaLayer,GL_SetAttribute,1,1.0,1.0,1,0,0,113,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GameZero/depot/packages/SimpleDirectMediaLayer/WmGZl/src/lib/SDL.jl,2944
SimpleDirectMediaLayer,Init,1,1.0,1.0,1,0,0,85,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GameZero/depot/packages/SimpleDirectMediaLayer/WmGZl/src/lib/SDL.jl,3868
SimpleDirectMediaLayer,Quit,1,1.0,1.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GameZero/depot/packages/SimpleDirectMediaLayer/WmGZl/src/lib/SDL.jl,3884
SimpleDirectMediaLayer,SetRenderDrawBlendMode,1,1.0,1.0,1,0,0,132,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GameZero/depot/packages/SimpleDirectMediaLayer/WmGZl/src/lib/SDL.jl,3756
SimpleDirectMediaLayer,TTF_Init,1,1.0,1.0,1,0,0,55,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GameZero/depot/packages/SimpleDirectMediaLayer/WmGZl/src/lib/SDL_ttf.jl,13
SimpleDirectMediaLayer,TTF_Quit,1,1.0,1.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GameZero/depot/packages/SimpleDirectMediaLayer/WmGZl/src/lib/SDL_ttf.jl,181
SimpleDirectMediaLayer,GetError,1,1.0,1.0,1,0,0,57,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GameZero/depot/packages/SimpleDirectMediaLayer/WmGZl/src/lib/SDL.jl,379
GameZero,getSDLError,1,1.0,1.0,1,0,0,74,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GameZero/depot/packages/GameZero/QdBGK/src/GameZero.jl,259
SimpleDirectMediaLayer,CreateWindow,1,1.0,1.0,1,0,0,226,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GameZero/depot/packages/SimpleDirectMediaLayer/WmGZl/src/lib/SDL.jl,2736
GameZero,initSDL,1,1.0,0.0,1,0,0,1744,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GameZero/depot/packages/GameZero/QdBGK/src/GameZero.jl,264
SimpleDirectMediaLayer,CreateRenderer,1,1.0,1.0,1,0,0,161,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GameZero/depot/packages/SimpleDirectMediaLayer/WmGZl/src/lib/SDL.jl,3620
GameZero,clear,1,1.0,1.0,1,0,0,59,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GameZero/depot/packages/GameZero/QdBGK/src/screen.jl,120
GameZero,quitSDL,1,1.0,1.0,1,0,0,167,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GameZero/depot/packages/GameZero/QdBGK/src/GameZero.jl,299
