modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
Gen,get_param_grad,false,false,0,1,Any,"var""##StaticGenFunction_foo#909"",Symbol",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gen/depot/packages/Gen/unzLD/src/builtin_optimization.jl,26
Gen,value,true,true,0,1,Float64,"ReverseDiff.TrackedReal{Float64,Float64,ReverseDiff.TrackedArray{Float64,Float64,1,Array{Float64,1},Array{Float64,1}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gen/depot/packages/Gen/unzLD/src/backprop.jl,10
Gen,back_pass!,true,true,0,1,Nothing,"Set{Gen.StaticIRNode},Gen.TrainableParameterNode",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gen/depot/packages/Gen/unzLD/src/static_ir/backprop.jl,51
Gen,choicemap,true,false,0,1,DynamicChoiceMap,"Tuple{Symbol,Any}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gen/depot/packages/Gen/unzLD/src/choice_map.jl,678
Gen,simulate,true,true,0,1,"CustomDetermGFTrace{Float64,MyState}","MySum,Tuple{Array{Int64,1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gen/depot/packages/Gen/unzLD/src/modeling_library/custom_determ.jl,96
Gen,generate_new_trace!,true,false,1,2,"Array{Expr,1}","Array{Expr,1},Type{var""##StaticIRTrace_bar#834""},Gen.StaticIRGenerativeFunctionOptions",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gen/depot/packages/Gen/unzLD/src/static_ir/update.jl,421
Gen,has_value,true,true,1,2,Bool,"Gen.DynamicDSLChoiceMap,Symbol",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gen/depot/packages/Gen/unzLD/src/dynamic/trace.jl,145
Gen,has_value,true,true,1,2,Bool,"Gen.DynamicDSLChoiceMap,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gen/depot/packages/Gen/unzLD/src/dynamic/trace.jl,145
Gen,generate_new_trace!,true,false,1,2,"Array{Expr,1}","Array{Expr,1},Type{T} where T,Gen.StaticIRGenerativeFunctionOptions",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gen/depot/packages/Gen/unzLD/src/static_ir/update.jl,421
Gen,simulate,true,true,3,1,"Gen.VectorTrace{Gen.MapType,Any,Gen.DynamicDSLTrace}","Map{Any,Gen.DynamicDSLTrace},Tuple{Array{Float64,1},Array{Float64,1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gen/depot/packages/Gen/unzLD/src/modeling_library/map/simulate.jl,23
Gen,dist_call,false,false,2,1,Any,"Function,Tuple{Gen.UniformContinuous,Tuple{Gen.SimpleArg{Int64},Gen.SimpleArg{Int64}},Module},Module",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gen/depot/packages/Gen/unzLD/src/modeling_library/dist_dsl/dist_dsl.jl,116
