modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
DataFrames,groupby,true,true,0,1,DataFrames.GroupedDataFrame{DataFrames.DataFrame},"DataFrames.DataFrame,Symbol",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeoStats/depot/packages/DataFrames/3mEXm/src/groupeddataframe/groupeddataframe.jl,187
Variography,isstationary,true,true,0,1,Bool,Type{PentasphericalVariogram},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeoStats/depot/packages/Variography/hjMii/src/theoretical.jl,194
MLJModelInterface,special_in,true,false,5,2,Bool,"MLJModelInterface.MLJType,Set{Symbol}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeoStats/depot/packages/MLJModelInterface/tegnW/src/equality.jl,54
GeoStatsBase,@metasolver,true,false,0,1,Expr,"LineNumberNode,Module,Any,Any,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeoStats/depot/packages/GeoStatsBase/eRYAQ/src/macros.jl,48
GeoEstimation,include,false,false,0,1,Any,String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeoStats/depot/packages/GeoEstimation/mC0dt/src/GeoEstimation.jl,5
PointPatterns,include,false,false,0,1,Any,String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeoStats/depot/packages/PointPatterns/LhMId/src/PointPatterns.jl,5
GeoStatsBase,@simsolver,true,false,0,1,Expr,"LineNumberNode,Module,Any,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeoStats/depot/packages/GeoStatsBase/eRYAQ/src/macros.jl,224
MLJModelInterface,special_in,true,false,5,3,"Union{Missing, Bool}","MLJModelInterface.MLJType,Set",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeoStats/depot/packages/MLJModelInterface/tegnW/src/equality.jl,54
Variography,isstationary,true,true,0,1,Bool,Type{SphericalVariogram},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeoStats/depot/packages/Variography/hjMii/src/theoretical.jl,150
GeoStats,eval,false,false,0,1,Any,Expr,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeoStats/depot/packages/GeoStats/BC9pL/src/GeoStats.jl,5
DataFrames,values,true,true,0,1,"Array{AbstractArray{T,1} where T,1}",DataFrames.DataFrameColumns{DataFrames.DataFrame},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeoStats/depot/packages/DataFrames/3mEXm/src/abstractdataframe/iteration.jl,224
