modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
GeometricalPredicates,_extract_int,1,1.0,1.0,1,0,0,55,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,337
GeometricalPredicates,Tetrahedron,1,1.0,1.0,1,0,0,63,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,301
GeometricalPredicates,@_define_tetrahedron_type,1,1.0,0.0,1,12,0,1147,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,274
GeometricalPredicates,_exact_intriangle!,1,1.0,1.0,1,0,0,880,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,615
GeometricalPredicates,Tetrahedron,1,1.0,1.0,1,0,0,72,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,300
GeometricalPredicates,Polygon,1,1.0,0.0,1,0,1,55,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,178
GeometricalPredicates,circumradius2,1,1.0,1.0,1,0,0,187,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,267
GeometricalPredicates,circumcenter,1,1.0,1.0,1,0,0,219,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,319
GeometricalPredicates,orientation,2,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,454
GeometricalPredicates,_exact_sign_incircle_determinant!,1,1.0,1.0,1,0,0,554,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,478
GeometricalPredicates,centroid,1,1.0,1.0,1,0,0,179,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,254
GeometricalPredicates,orientation,2,1.0,1.0,1,0,0,37,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,455
GeometricalPredicates,Triangle,1,1.0,1.0,1,0,0,68,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,242
GeometricalPredicates,Triangle,5,1.0,1.0,1,0,0,71,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,244
GeometricalPredicates,getpoints,1,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,185
GeometricalPredicates,next3d,1,1.0,1.0,1,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,1065
GeometricalPredicates,Tetrahedron,1,1.0,1.0,1,0,0,72,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,298
GeometricalPredicates,select!,10,1.0,1.0,2,0,0,1000,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,1087
GeometricalPredicates,_sz_orientation,2,1.0,0.5,1,0,0,550,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,128
GeometricalPredicates,hilbertsort!,4,1.0,1.0,1,0,0,551,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,1116
GeometricalPredicates,intriangle,1,1.0,1.0,1,0,0,90,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,845
GeometricalPredicates,_sz_incircle,1,0.0,0.0,1,0,0,1321,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,553
GeometricalPredicates,next3d,1,1.0,1.0,1,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,1066
GeometricalPredicates,#mssort!#4,1,1.0,1.0,1,0,0,63,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,1188
GeometricalPredicates,Point,2,1.0,1.0,1,0,0,77,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,104
GeometricalPredicates,getb,6,1.0,1.0,2,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,428
GeometricalPredicates,Line,1,1.0,1.0,1,0,0,50,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,119
GeometricalPredicates,@_define_triangle_type,1,1.0,0.0,1,12,0,914,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,208
GeometricalPredicates,clean!,4,1.0,1.0,1,0,0,46,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,424
GeometricalPredicates,area,1,1.0,1.0,1,0,0,64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,252
GeometricalPredicates,peanokey,1,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,866
GeometricalPredicates,_exact_intriangle,1,1.0,1.0,1,0,0,228,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,696
GeometricalPredicates,quadrants,1,1.0,1.0,1,0,0,142,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,943
GeometricalPredicates,compare,1,1.0,1.0,1,0,0,65,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,1085
GeometricalPredicates,_init_inv_peano_3d,1,1.0,1.0,1,0,0,708,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,992
GeometricalPredicates,nextnext3d,1,1.0,1.0,1,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,1068
GeometricalPredicates,compare,2,1.0,1.0,1,0,0,65,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,1080
GeometricalPredicates,gety,1,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,100
GeometricalPredicates,geta,6,1.0,1.0,2,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,427
GeometricalPredicates,orientation,2,1.0,1.0,1,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,456
GeometricalPredicates,inpolygon,1,1.0,1.0,1,0,0,291,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GeometricalPredicates/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,199
