modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
Gnuplot,#palette#29,2,1.0,0.5,1,0,0,486,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gnuplot/depot/packages/Gnuplot/7y0ez/src/Gnuplot.jl,1686
Gnuplot,gpmargins,1,0.0,0.0,1,0,0,55,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gnuplot/depot/packages/Gnuplot/7y0ez/src/Gnuplot.jl,2278
Gnuplot,#linetypes#26,1,1.0,1.0,1,0,0,119,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gnuplot/depot/packages/Gnuplot/7y0ez/src/Gnuplot.jl,1658
Gnuplot,version,1,1.0,1.0,1,0,0,37,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gnuplot/depot/packages/Gnuplot/7y0ez/src/Gnuplot.jl,1324
Gnuplot,gpvars,1,0.0,0.0,1,0,0,55,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gnuplot/depot/packages/Gnuplot/7y0ez/src/Gnuplot.jl,2241
Gnuplot,__init__,1,1.0,0.0,1,0,0,216,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gnuplot/depot/packages/Gnuplot/7y0ez/src/Gnuplot.jl,238
Gnuplot,add_plot,3,0.3333333333333333,0.3333333333333333,2,0,0,90,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gnuplot/depot/packages/Gnuplot/7y0ez/src/Gnuplot.jl,839
Gnuplot,#execall#11,1,1.0,1.0,1,0,0,43,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gnuplot/depot/packages/Gnuplot/7y0ez/src/Gnuplot.jl,908
Gnuplot,quit,1,1.0,1.0,1,0,0,99,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gnuplot/depot/packages/Gnuplot/7y0ez/src/Gnuplot.jl,1367
Gnuplot,getsession,1,0.0,0.0,1,0,0,157,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gnuplot/depot/packages/Gnuplot/7y0ez/src/Gnuplot.jl,557
Gnuplot,#parseKeywords#4,3,1.0,0.0,1,0,0,2579,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gnuplot/depot/packages/Gnuplot/7y0ez/src/Gnuplot.jl,252
Gnuplot,useBinaryMethod,2,1.0,0.5,1,0,1,556,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gnuplot/depot/packages/Gnuplot/7y0ez/src/Gnuplot.jl,798
Gnuplot,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gnuplot/depot/packages/Gnuplot/7y0ez/src/Gnuplot.jl,1
Gnuplot,writeread,1,1.0,1.0,1,0,0,373,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gnuplot/depot/packages/Gnuplot/7y0ez/src/Gnuplot.jl,627
Gnuplot,@gsp,2,1.0,0.5,1,0,1,185,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gnuplot/depot/packages/Gnuplot/7y0ez/src/Gnuplot.jl,1478
Gnuplot,gpexec,1,1.0,1.0,1,0,0,55,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gnuplot/depot/packages/Gnuplot/7y0ez/src/Gnuplot.jl,1406
Gnuplot,gpversion,1,0.0,0.0,1,0,0,699,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gnuplot/depot/packages/Gnuplot/7y0ez/src/Gnuplot.jl,1334
Gnuplot,quit,1,1.0,1.0,1,0,0,210,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gnuplot/depot/packages/Gnuplot/7y0ez/src/Gnuplot.jl,861
Gnuplot,execall,1,1.0,1.0,1,0,0,53,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gnuplot/depot/packages/Gnuplot/7y0ez/src/Gnuplot.jl,909
