modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
GraphRecipes,add_children!,true,false,3,1,Nothing,"Array{Any,1},Array{Int64,1},Array{Int64,1},Any,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GraphRecipes/depot/packages/GraphRecipes/kYXc4/src/trees.jl,31
GraphRecipes,norm_ij,true,false,5,1,Float64,"Tuple,Any,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GraphRecipes/depot/packages/GraphRecipes/kYXc4/src/graph_layouts.jl,159
GraphRecipes,get_source_destiny_weight,true,true,6,1,"Tuple{Array{Int64,1},Array{Int64,1},Array{Float64,1}}","Array{Array{Int64,1},1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GraphRecipes/depot/packages/GraphRecipes/kYXc4/src/graphs.jl,89
GraphRecipes,ignorenan_extrema,true,true,0,1,"Tuple{Int64,Int64}","Array{Int64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GraphRecipes/depot/packages/GraphRecipes/kYXc4/src/utils.jl,332
GraphRecipes,stress,true,true,6,1,Float64,"Tuple{Array{Float64,1},Array{Float64,1}},Array{Float64,2},Array{Float64,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GraphRecipes/depot/packages/GraphRecipes/kYXc4/src/graph_layouts.jl,161
GraphRecipes,add_subs!,true,false,3,1,Nothing,"Array{Any,1},Array{Int64,1},Array{Int64,1},Type{AbstractFloat},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GraphRecipes/depot/packages/GraphRecipes/kYXc4/src/misc.jl,82
GraphRecipes,estimate_distance,false,false,10,1,Any,"Array{Float64,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GraphRecipes/depot/packages/GraphRecipes/kYXc4/src/graphs.jl,168
GraphRecipes,add_ast,true,true,4,1,Int64,"Array{Array{Int64,1},1},Array{String,1},Dict{Int64,Int64},Array{Array{Int64,1},1},Array{Symbol,1},Symbol,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GraphRecipes/depot/packages/GraphRecipes/kYXc4/src/misc.jl,29
GraphRecipes,get_adjacency_matrix,true,false,0,1,"Array{Float64,2}","Array{Int64,1},AbstractArray{Int64,1},Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GraphRecipes/depot/packages/GraphRecipes/kYXc4/src/graphs.jl,107
GraphRecipes,get_source_destiny_weight,false,false,6,1,"Tuple{Array{Int64,1},AbstractArray{T,1} where T,Array{Float64,1}}","Array{Int64,1},AbstractArray{T,1} where T",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GraphRecipes/depot/packages/GraphRecipes/kYXc4/src/graphs.jl,75
GraphRecipes,stress,true,true,6,1,Float64,"Tuple{Array{Float64,1},Array{Float64,1},Array{Float64,1}},Array{Float64,2},Array{Float64,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GraphRecipes/depot/packages/GraphRecipes/kYXc4/src/graph_layouts.jl,161
GraphRecipes,#graphplot#82,false,false,1,1,Plots.Plot,"Base.Iterators.Pairs{Symbol,Float64,Tuple{Symbol},NamedTuple{(:self_edge_size,),Tuple{Float64}}},typeof(graphplot),SimpleDiGraph{Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GraphRecipes/depot/packages/RecipesBase/92zOw/src/RecipesBase.jl,357
GraphRecipes,arcdiagram_limits,true,true,6,1,"Tuple{Tuple{Float64,Float64},Tuple{Float64,Float64}}","Array{Int64,1},Array{Int64,1},Array{Int64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GraphRecipes/depot/packages/GraphRecipes/kYXc4/src/utils.jl,280
GraphRecipes,replacement_kwarg,false,false,4,1,Any,"Symbol,Int64,Dict{Symbol,Any},Dict{Symbol,Array{Symbol,1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GraphRecipes/depot/packages/GraphRecipes/kYXc4/src/utils.jl,302
GraphRecipes,unoccupied_angle,true,true,11,2,Float64,"Float64,Float64,Array{Int64,1},Array{Int64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/GraphRecipes/depot/packages/GraphRecipes/kYXc4/src/utils.jl,201
