modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
HTTP,request,3,1.0,0.6666666666666666,1,0,0,59,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HTTP/depot/packages/HTTP/cxgat/src/HTTP.jl,313
HTTP.Pairs,setbyfirst,4,1.0,0.75,2,0,0,52,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HTTP/depot/packages/HTTP/cxgat/src/Pairs.jl,12
HTTP.IOExtras,bytes,1,1.0,1.0,1,0,0,46,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HTTP/depot/packages/HTTP/cxgat/src/IOExtras.jl,29
HTTP.ConnectionPool,writecount,5,0.8,0.8,2,0,0,119,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HTTP/depot/packages/HTTP/cxgat/src/ConnectionPool.jl,182
HTTP,sniff,2,0.0,0.0,1,0,0,355,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HTTP/depot/packages/HTTP/cxgat/src/sniff.jl,41
HTTP.ConnectionRequest,hasdotsuffix,2,1.0,1.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HTTP/depot/packages/HTTP/cxgat/src/ConnectionRequest.jl,14
HTTP,#delete#18,7,1.0,0.42857142857142855,1,0,1,146,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HTTP/depot/packages/HTTP/cxgat/src/HTTP.jl,427
HTTP,debug_header,1,1.0,1.0,1,0,0,83,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HTTP/depot/packages/HTTP/cxgat/src/debug.jl,3
HTTP.ConnectionPool,inactiveseconds,1,1.0,1.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HTTP/depot/packages/HTTP/cxgat/src/ConnectionPool.jl,166
HTTP.DebugRequest,show_io_debug,1,1.0,0.0,1,0,0,496,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HTTP/depot/packages/HTTP/cxgat/src/IODebug.jl,96
HTTP.RetryRequest,isrecoverable,1,1.0,1.0,1,0,0,124,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HTTP/depot/packages/HTTP/cxgat/src/RetryRequest.jl,50
HTTP.Handlers,handle,12,0.9166666666666666,0.9166666666666666,2,0,1,77,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HTTP/depot/packages/HTTP/cxgat/src/Handlers.jl,254
HTTP,@ensure,1,1.0,0.0,1,4,0,67,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HTTP/depot/packages/HTTP/cxgat/src/debug.jl,82
Main,gethandler,2,1.0,0.5,1,0,1,98,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HTTP/depot/packages/HTTP/cxgat/src/Handlers.jl,410
HTTP.Messages,hasheader,6,1.0,0.8333333333333334,1,0,0,68,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HTTP/depot/packages/HTTP/cxgat/src/Messages.jl,346
Main,gethandler,2,1.0,0.5,1,0,1,95,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HTTP/depot/packages/HTTP/cxgat/src/Handlers.jl,410
HTTP.WebSockets,#close#10,3,0.6666666666666666,0.0,2,0,0,309,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HTTP/depot/packages/HTTP/cxgat/src/WebSockets.jl,233
HTTP.StreamRequest,writebodystream,10,0.9,0.9,2,0,0,77,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HTTP/depot/packages/HTTP/cxgat/src/StreamRequest.jl,134
HTTP.MessageRequest,bodylength,1,0.0,0.0,1,0,0,45,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HTTP/depot/packages/HTTP/cxgat/src/MessageRequest.jl,86
HTTP,#find_multipart_boundary#32,1,1.0,1.0,1,0,0,1084,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HTTP/depot/packages/HTTP/cxgat/src/parsemultipart.jl,14
HTTP.ConnectionPool,read_to_buffer,5,0.8,0.8,2,0,0,475,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HTTP/depot/packages/HTTP/cxgat/src/ConnectionPool.jl,262
HTTP.Messages,isidempotent,1,1.0,1.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HTTP/depot/packages/HTTP/cxgat/src/Messages.jl,247
HTTP.Servers,__init__,1,1.0,1.0,1,0,0,64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HTTP/depot/packages/HTTP/cxgat/src/Servers.jl,431
HTTP,ismatch,2,1.0,1.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HTTP/depot/packages/HTTP/cxgat/src/sniff.jl,154
HTTP,request,14,1.0,0.5714285714285714,2,0,0,91,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HTTP/depot/packages/HTTP/cxgat/src/HTTP.jl,317
HTTP.StreamRequest,writebodystream,8,1.0,0.875,1,0,0,174,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HTTP/depot/packages/HTTP/cxgat/src/StreamRequest.jl,128
HTTP.ConnectionPool,#getconnection#26,62,1.0,0.0,1,0,0,1800,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HTTP/depot/packages/HTTP/cxgat/src/ConnectionPool.jl,645
HTTP.CookieRequest,getcookies,1,1.0,1.0,1,0,0,558,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HTTP/depot/packages/HTTP/cxgat/src/CookieRequest.jl,51
