modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
HyperDualNumbers,to_nanmath,3,0.6666666666666666,0.6666666666666666,3,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HyperDualNumbers/depot/packages/HyperDualNumbers/Q9bRT/src/hyperdual.jl,413
HyperDualNumbers,epsilon1,8,1.0,1.0,8,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HyperDualNumbers/depot/packages/HyperDualNumbers/Q9bRT/src/hyperdual.jl,70
HyperDualNumbers,hyper_show,6,1.0,0.6666666666666666,1,0,0,257,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HyperDualNumbers/depot/packages/HyperDualNumbers/Q9bRT/src/hyperdual.jl,108
HyperDualNumbers,hyper_show,1,1.0,1.0,1,0,0,646,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HyperDualNumbers/depot/packages/HyperDualNumbers/Q9bRT/src/hyperdual.jl,161
HyperDualNumbers,epsilon2,8,1.0,1.0,8,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HyperDualNumbers/depot/packages/HyperDualNumbers/Q9bRT/src/hyperdual.jl,71
HyperDualNumbers,value,2,1.0,1.0,2,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HyperDualNumbers/depot/packages/HyperDualNumbers/Q9bRT/src/hyperdual.jl,74
HyperDualNumbers,epsilon12,2,1.0,1.0,2,0,0,52,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HyperDualNumbers/depot/packages/HyperDualNumbers/Q9bRT/src/hyperdual.jl,77
HyperDualNumbers,hyper_show,1,1.0,1.0,1,0,0,1337,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HyperDualNumbers/depot/packages/HyperDualNumbers/Q9bRT/src/hyperdual.jl,174
HyperDualNumbers,epsilon2,2,1.0,1.0,2,0,0,52,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HyperDualNumbers/depot/packages/HyperDualNumbers/Q9bRT/src/hyperdual.jl,76
HyperDualNumbers,epsilon1,2,1.0,1.0,2,0,0,52,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HyperDualNumbers/depot/packages/HyperDualNumbers/Q9bRT/src/hyperdual.jl,75
HyperDualNumbers,printtimes,6,1.0,0.6666666666666666,1,0,0,204,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HyperDualNumbers/depot/packages/HyperDualNumbers/Q9bRT/src/hyperdual.jl,199
HyperDualNumbers,hyperpart_show,6,1.0,0.6666666666666666,1,0,0,312,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HyperDualNumbers/depot/packages/HyperDualNumbers/Q9bRT/src/hyperdual.jl,96
HyperDualNumbers,ishyper,3,1.0,1.0,1,0,0,37,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HyperDualNumbers/depot/packages/HyperDualNumbers/Q9bRT/src/hyperdual.jl,91
HyperDualNumbers,hyper_show,2,1.0,1.0,1,0,0,257,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HyperDualNumbers/depot/packages/HyperDualNumbers/Q9bRT/src/hyperdual.jl,153
HyperDualNumbers,epsilon12,8,1.0,1.0,8,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HyperDualNumbers/depot/packages/HyperDualNumbers/Q9bRT/src/hyperdual.jl,72
HyperDualNumbers,value,8,1.0,1.0,8,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HyperDualNumbers/depot/packages/HyperDualNumbers/Q9bRT/src/hyperdual.jl,69
HyperDualNumbers,hyperpart_show,2,1.0,1.0,1,0,0,775,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HyperDualNumbers/depot/packages/HyperDualNumbers/Q9bRT/src/hyperdual.jl,116
HyperDualNumbers,ishyper,3,1.0,1.0,1,0,0,37,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HyperDualNumbers/depot/packages/HyperDualNumbers/Q9bRT/src/hyperdual.jl,92
HyperDualNumbers,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HyperDualNumbers/depot/packages/HyperDualNumbers/Q9bRT/src/HyperDualNumbers.jl,1
HyperDualNumbers,to_nanmath,1,0.0,0.0,1,0,0,314,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/HyperDualNumbers/depot/packages/HyperDualNumbers/Q9bRT/src/hyperdual.jl,405
