modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
Hyperopt,logscale,true,true,1,2,Bool,"Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/plotting.jl,2
Hyperopt,create_ho,true,true,0,1,Expr,"NTuple{4,Symbol},Array{Any,1},Expr,Nothing,Expr",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/Hyperopt.jl,109
Hyperopt,init!,false,false,5,2,Any,"LHSampler,Hyperoptimizer{Hyperband,var""#62#156""}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/samplers.jl,20
Hyperopt,optimize,true,true,0,1,"Hyperoptimizer{GPSampler,var""#34#127""}","Hyperoptimizer{GPSampler,var""#34#127""}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/Hyperopt.jl,98
Hyperopt,@hyperopt,true,false,1,2,Expr,"LineNumberNode,Module,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/Hyperopt.jl,125
Hyperopt,create_ho,true,true,0,1,Expr,"Tuple{Symbol,Symbol},Array{Any,1},Expr,Nothing,Expr",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/Hyperopt.jl,109
Hyperopt,successive_halving,false,false,2,1,Any,"Hyperoptimizer{Hyperband,var""#69#163""},Int64,Float64,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/samplers.jl,236
Hyperopt,train_model!,false,false,0,1,"Union{Int64, Tuple{Float64,Array{Float64,1},Symbol}, Type{Nothing}}","GPSampler,Hyperoptimizer{GPSampler,var""#25#118""}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/samplers.jl,120
Hyperopt,#Hyperoptimizer#3,true,true,0,1,"Hyperoptimizer{GPSampler,Nothing}","Int64,Tuple{Symbol,Symbol,Symbol},Array{Any,1},Array{Any,1},Array{Any,1},GPSampler,Nothing,Type{Hyperoptimizer}",util.jl,448
Hyperopt,optimize,true,true,0,1,"Hyperoptimizer{RandomSampler,var""#3#96""}","Hyperoptimizer{RandomSampler,var""#3#96""}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/Hyperopt.jl,98
Hyperopt,optimize,true,true,0,1,"Hyperoptimizer{GPSampler,var""#25#118""}","Hyperoptimizer{GPSampler,var""#25#118""}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/Hyperopt.jl,98
Hyperopt,create_ho,true,true,0,1,Expr,"NTuple{5,Symbol},Array{Any,1},Expr,Nothing,Expr",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/Hyperopt.jl,109
Hyperopt,#Hyperoptimizer#3,true,true,0,1,"Hyperoptimizer{Hyperband,var""#62#156""}","Int64,Tuple{Symbol,Symbol},Tuple{LinRange{Float64},Array{Float64,1}},Array{Any,1},Array{Any,1},Hyperband,var""#62#156"",Type{Hyperoptimizer}",util.jl,448
Hyperopt,#Hyperoptimizer#3,true,true,0,1,"Hyperoptimizer{RandomSampler,BayesianOptimization.var""#4#5""{BayesianOptimization.ExpectedImprovement,GaussianProcesses.GPE{ElasticArrays.ElasticArray{Float64,2,1,Array{Float64,1}},ElasticArrays.ElasticArray{Float64,1,0,Array{Float64,1}},GaussianProcesses.MeanConst,GaussianProcesses.SEArd{Float64},GaussianProcesses.ElasticCovStrat,GaussianProcesses.StationaryARDData{ElasticPDMats.AllElasticArray{Float64,3}},ElasticPDMats.ElasticPDMat{Float64,Array{Float64,2}},GaussianProcesses.Scalar{Float64}}}}","Int64,Tuple{Symbol,Symbol,Symbol},Tuple{LinRange{Float64},Array{Bool,1},Array{Float64,1}},Array{Any,1},Array{Any,1},RandomSampler,BayesianOptimization.var""#4#5""{BayesianOptimization.ExpectedImprovement,GaussianProcesses.GPE{ElasticArrays.ElasticArray{Float64,2,1,Array{Float64,1}},ElasticArrays.ElasticArray{Float64,1,0,Array{Float64,1}},GaussianProcesses.MeanConst,GaussianProcesses.SEArd{Float64},GaussianProcesses.ElasticCovStrat,GaussianProcesses.StationaryARDData{ElasticPDMats.AllElasticArray{Float64,3}},ElasticPDMats.ElasticPDMat{Float64,Array{Float64,2}},GaussianProcesses.Scalar{Float64}}},Type{Hyperoptimizer}",util.jl,448
Hyperopt,from_logspace,false,false,0,1,Any,"Any,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/samplers.jl,90
Hyperopt,to_logspace,false,false,0,1,"Array{_A,1} where _A","Array{Any,1},BitArray{1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/samplers.jl,84
Hyperopt,to_logspace,false,false,0,1,"Tuple{Union{LinRange{Float64}, Array{Float64,1}}}","Tuple{LinRange{Float64}},Tuple{Bool}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/samplers.jl,84
Hyperopt,from_logspace,true,true,0,1,"Array{ElasticArrays.ElasticArray{Float64,1,0,Array{Float64,1}},1}","Array{ElasticArrays.ElasticArray{Float64,1,0,Array{Float64,1}},1},Tuple{Bool}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/samplers.jl,90
Hyperopt,successive_halving,false,false,2,1,Any,"Hyperoptimizer{Hyperband,var""#69#163""},Any,Any,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/samplers.jl,236
Hyperopt,optimize,true,true,0,1,"Hyperoptimizer{LHSampler,var""#14#107""}","Hyperoptimizer{LHSampler,var""#14#107""}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/Hyperopt.jl,98
Hyperopt,robust_acq,false,false,0,1,"Array{_A,1} where _A","GPSampler,Base.ReshapedArray{Float64,2,LinRange{Float64},Tuple{}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/plotting.jl,32
Hyperopt,robust_acq,false,false,0,1,"Array{_A,1} where _A","GPSampler,LinRange{_A} where _A<:Real",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/plotting.jl,28
Hyperopt,#Hyperoptimizer#3,false,false,0,1,"Hyperoptimizer{RandomSampler,_A} where _A","Any,Any,Any,Array{Any,1},Array{Any,1},RandomSampler,Any,Type{Hyperoptimizer}",util.jl,448
Hyperopt,init!,false,false,0,1,Any,"GPSampler,Hyperoptimizer{GPSampler,var""#25#118""}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/samplers.jl,96
Hyperopt,islogspace,true,true,4,2,Bool,"Array{Bool,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/samplers.jl,78
Hyperopt,optimize,true,true,0,1,"Hyperoptimizer{CLHSampler,var""#17#110""}","Hyperoptimizer{CLHSampler,var""#17#110""}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/Hyperopt.jl,98
Hyperopt,optimize,true,true,0,1,"Hyperoptimizer{GPSampler,var""#28#121""}","Hyperoptimizer{GPSampler,var""#28#121""}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/Hyperopt.jl,98
Hyperopt,successive_halving,false,false,2,1,Any,"Hyperoptimizer{Hyperband,var""#62#156""},Any,Any,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/samplers.jl,236
Hyperopt,from_logspace,true,true,0,1,"Array{ElasticArrays.ElasticArray{Float64,1,0,Array{Float64,1}},1}","Array{ElasticArrays.ElasticArray{Float64,1,0,Array{Float64,1}},1},Tuple{Bool,Bool,Bool}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/samplers.jl,90
Hyperopt,init!,false,false,5,2,Any,"LHSampler,Hyperoptimizer{LHSampler,var""#37#130""}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/samplers.jl,20
Hyperopt,#Hyperoptimizer#3,true,true,0,1,"Hyperoptimizer{Hyperband,var""#48#142""}","Int64,Tuple{Symbol,Symbol},Tuple{LinRange{Float64},Array{Float64,1}},Array{Any,1},Array{Any,1},Hyperband,var""#48#142"",Type{Hyperoptimizer}",util.jl,448
Hyperopt,successive_halving,false,false,2,1,Any,"Hyperoptimizer{Hyperband,var""#55#149""},Int64,Float64,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/samplers.jl,236
Hyperopt,to_logspace,false,false,0,1,"Tuple{Union{LinRange{Float64}, Array{Float64,1}},Union{Array{Bool,1}, Array{Float64,1}},Array{Float64,1}}","Tuple{LinRange{Float64},Array{Bool,1},Array{Float64,1}},Tuple{Bool,Bool,Bool}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/samplers.jl,84
Hyperopt,hyperband_costfun,true,true,0,1,Expr,"Expr,NTuple{4,Symbol},Array{Any,1},Expr,Nothing,Expr",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/samplers.jl,198
Hyperopt,@phyperopt,true,false,1,1,Expr,"LineNumberNode,Module,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/Hyperopt.jl,158
Hyperopt,hyperband,false,false,0,1,Any,"Hyperoptimizer{Hyperband,var""#62#156""}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/samplers.jl,214
Hyperopt,#Hyperoptimizer#3,true,true,0,1,"Hyperoptimizer{Hyperband,var""#69#163""}","Int64,Tuple{Symbol,Symbol},Tuple{LinRange{Float64},Array{Float64,1}},Array{Any,1},Array{Any,1},Hyperband,var""#69#163"",Type{Hyperoptimizer}",util.jl,448
Hyperopt,train_model!,false,false,0,1,"Union{Int64, Tuple{Float64,Array{Float64,1},Symbol}, Type{Nothing}}","GPSampler,Hyperoptimizer{GPSampler,var""#31#124""}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/samplers.jl,120
Hyperopt,#Hyperoptimizer#38,true,true,3,1,"Hyperoptimizer{GPSampler,Nothing}","Base.Iterators.Pairs{Symbol,AbstractArray{T,1} where T,Tuple{Symbol,Symbol,Symbol},NamedTuple{(:a, :b, :c),Tuple{StepRangeLen{Float64,Base.TwicePrecision{Float64},Base.TwicePrecision{Float64}},Array{Bool,1},Array{Float64,1}}}},Type{Hyperoptimizer},Int64,GPSampler",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/Hyperopt.jl,41
Hyperopt,create_ho,true,true,0,1,Expr,"Tuple{Symbol,Symbol},Array{Any,1},Expr,Symbol,Expr",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/Hyperopt.jl,109
Hyperopt,init!,false,false,0,1,Any,"GPSampler,Hyperoptimizer{GPSampler,var""#28#121""}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/samplers.jl,96
Hyperopt,#Hyperoptimizer#3,true,true,0,1,"Hyperoptimizer{RandomSampler,var""#88#182""}","Int64,Tuple{Symbol,Symbol,Symbol},Tuple{LinRange{Float64},Array{Bool,1},Array{Float64,1}},Array{Any,1},Array{Any,1},RandomSampler,var""#88#182"",Type{Hyperoptimizer}",util.jl,448
Hyperopt,hyperband,false,false,0,1,Any,"Hyperoptimizer{Hyperband,var""#69#163""}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/samplers.jl,214
Hyperopt,from_logspace,false,false,0,1,"Array{_A,1} where _A","Array{Real,1},Tuple{Bool,Bool,Bool}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/samplers.jl,90
Hyperopt,preprocess_expression,false,false,26,1,"Tuple{Any,Array{Any,1},Any,Any,Expr}",Expr,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/Hyperopt.jl,61
Hyperopt,train_model!,false,false,0,1,"Union{Int64, Tuple{Float64,Array{Float64,1},Symbol}, Type{Nothing}}","GPSampler,Hyperoptimizer{GPSampler,var""#34#127""}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/samplers.jl,120
Hyperopt,#Hyperoptimizer#3,true,true,0,1,"Hyperoptimizer{RandomSampler,var""#84#178""}","Int64,Tuple{Symbol,Symbol,Symbol},Tuple{LinRange{Float64},Array{Bool,1},Array{Float64,1}},Array{Any,1},Array{Any,1},RandomSampler,var""#84#178"",Type{Hyperoptimizer}",util.jl,448
Hyperopt,#Hyperoptimizer#38,true,true,3,1,"Hyperoptimizer{RandomSampler,Nothing}","Base.Iterators.Pairs{Symbol,AbstractArray{T,1} where T,Tuple{Symbol,Symbol,Symbol},NamedTuple{(:a, :b, :c),Tuple{StepRangeLen{Float64,Base.TwicePrecision{Float64},Base.TwicePrecision{Float64}},Array{Bool,1},Array{Float64,1}}}},Type{Hyperoptimizer},Int64,RandomSampler",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/Hyperopt.jl,41
Hyperopt,optimize,true,true,0,1,"Hyperoptimizer{GPSampler,var""#31#124""}","Hyperoptimizer{GPSampler,var""#31#124""}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/Hyperopt.jl,98
Hyperopt,#Hyperoptimizer#3,true,true,0,1,"Hyperoptimizer{GPSampler,var""#25#118""}","Int64,Tuple{Symbol,Symbol,Symbol},Tuple{LinRange{Float64},Array{Bool,1},Array{Float64,1}},Array{Any,1},Array{Any,1},GPSampler,var""#25#118"",Type{Hyperoptimizer}",util.jl,448
Hyperopt,from_logspace,false,false,0,1,"Array{_A,1} where _A","Array{Real,1},BitArray{1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/samplers.jl,90
Hyperopt,#Hyperoptimizer#3,true,true,0,1,"Hyperoptimizer{RandomSampler,BayesianOptimization.var""#4#5""{BayesianOptimization.ExpectedImprovement,GaussianProcesses.GPE{ElasticArrays.ElasticArray{Float64,2,1,Array{Float64,1}},ElasticArrays.ElasticArray{Float64,1,0,Array{Float64,1}},GaussianProcesses.MeanConst,GaussianProcesses.SEArd{Float64},GaussianProcesses.ElasticCovStrat,GaussianProcesses.StationaryARDData{ElasticPDMats.AllElasticArray{Float64,3}},ElasticPDMats.ElasticPDMat{Float64,Array{Float64,2}},GaussianProcesses.Scalar{Float64}}}}","Int64,Tuple{Symbol},Tuple{LinRange{Float64}},Array{Any,1},Array{Any,1},RandomSampler,BayesianOptimization.var""#4#5""{BayesianOptimization.ExpectedImprovement,GaussianProcesses.GPE{ElasticArrays.ElasticArray{Float64,2,1,Array{Float64,1}},ElasticArrays.ElasticArray{Float64,1,0,Array{Float64,1}},GaussianProcesses.MeanConst,GaussianProcesses.SEArd{Float64},GaussianProcesses.ElasticCovStrat,GaussianProcesses.StationaryARDData{ElasticPDMats.AllElasticArray{Float64,3}},ElasticPDMats.ElasticPDMat{Float64,Array{Float64,2}},GaussianProcesses.Scalar{Float64}}},Type{Hyperoptimizer}",util.jl,448
Hyperopt,init!,false,false,3,2,Any,"CLHSampler,Hyperoptimizer{CLHSampler,var""#17#110""}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/samplers.jl,42
Hyperopt,islogspace,true,true,4,3,Bool,"Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/samplers.jl,78
Hyperopt,from_logspace,true,true,0,1,"Array{Float64,1}","Array{Float64,1},Tuple{Bool}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/samplers.jl,90
Hyperopt,islogspace,false,false,4,3,Any,Array,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/samplers.jl,78
Hyperopt,to_logspace,false,false,0,1,Any,"Any,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/samplers.jl,84
Hyperopt,init!,false,false,0,1,Any,"GPSampler,Hyperoptimizer{GPSampler,var""#31#124""}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/samplers.jl,96
Hyperopt,#Hyperoptimizer#3,true,true,0,1,"Hyperoptimizer{RandomSampler,var""#3#96""}","Int64,Tuple{Symbol,Symbol,Symbol},Tuple{LinRange{Float64},Array{Bool,1},Array{Float64,1}},Array{Any,1},Array{Any,1},RandomSampler,var""#3#96"",Type{Hyperoptimizer}",util.jl,448
Hyperopt,#LHSampler#7,true,true,0,1,LHSampler,"Array{Float64,2},Int64,Type{LHSampler}",util.jl,438
Hyperopt,logscale,true,true,1,2,Bool,"ElasticArrays.ElasticArray{Float64,1,0,Array{Float64,1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Hyperopt/depot/packages/Hyperopt/eYEpe/src/plotting.jl,2
