modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
IJulia,@vprintln,2,1.0,0.5,1,0,1,191,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IJulia/depot/packages/IJulia/e8kqU/src/stdio.jl,48
IJulia,register_jsonmime,1,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IJulia/depot/packages/IJulia/e8kqU/src/display.jl,45
IJulia,kerneldir,1,1.0,1.0,1,0,0,53,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IJulia/depot/packages/IJulia/e8kqU/deps/kspec.jl,37
IJulia,hmac,1,1.0,1.0,1,0,0,774,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IJulia/depot/packages/IJulia/e8kqU/src/hmac.jl,4
IJulia,register_mime,3,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IJulia/depot/packages/IJulia/e8kqU/src/display.jl,43
IJulia,showerror_nobt,1,1.0,1.0,1,0,0,97,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IJulia/depot/packages/IJulia/e8kqU/src/display.jl,147
IJulia,display_dict,4,1.0,0.0,1,0,0,878,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IJulia/depot/packages/IJulia/e8kqU/src/display.jl,97
IJulia,_showable,8,1.0,0.375,1,0,0,88,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IJulia/depot/packages/IJulia/e8kqU/src/display.jl,3
IJulia,display_mimejson,4,0.0,0.0,1,0,0,220,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IJulia/depot/packages/IJulia/e8kqU/src/display.jl,81
IJulia,israwtext,1,1.0,0.0,1,0,0,38,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IJulia/depot/packages/IJulia/e8kqU/src/inline.jl,26
IJulia,uuid4,1,1.0,1.0,1,0,0,54,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IJulia/depot/packages/IJulia/e8kqU/src/init.jl,7
IJulia,display_mimejson,5,0.2,0.2,2,0,0,72,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IJulia/depot/packages/IJulia/e8kqU/src/display.jl,90
IJulia,israwtext,1,1.0,0.0,1,0,0,38,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IJulia/depot/packages/IJulia/e8kqU/src/inline.jl,25
