modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
ImageProjectiveGeometry,hcross,1,1.0,1.0,1,0,0,199,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ImageProjectiveGeometry/depot/packages/ImageProjectiveGeometry/97p1A/src/projective.jl,1183
ImageProjectiveGeometry,angleaxis2matrix,1,1.0,1.0,1,0,0,1150,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ImageProjectiveGeometry/depot/packages/ImageProjectiveGeometry/97p1A/src/transforms3d.jl,157
ImageProjectiveGeometry,matrix2angleandaxis,1,0.0,0.0,1,0,0,2036,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ImageProjectiveGeometry/depot/packages/ImageProjectiveGeometry/97p1A/src/transforms3d.jl,432
ImageProjectiveGeometry,ransacfitline,1,0.0,0.0,1,0,0,829,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ImageProjectiveGeometry/depot/packages/ImageProjectiveGeometry/97p1A/src/ransac.jl,760
ImageProjectiveGeometry,isconvexpoly,1,1.0,1.0,1,0,0,748,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ImageProjectiveGeometry/depot/packages/ImageProjectiveGeometry/97p1A/src/geometry.jl,349
ImageProjectiveGeometry,structuretensor,1,0.0,0.0,1,0,0,526,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ImageProjectiveGeometry/depot/packages/ImageProjectiveGeometry/97p1A/src/cornerfeatures.jl,382
ImageProjectiveGeometry,#Camera#1,1,1.0,1.0,1,0,0,302,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ImageProjectiveGeometry/depot/packages/ImageProjectiveGeometry/97p1A/src/projective.jl,120
ImageProjectiveGeometry,trans,1,1.0,1.0,1,0,0,127,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ImageProjectiveGeometry/depot/packages/ImageProjectiveGeometry/97p1A/src/transforms3d.jl,47
ImageProjectiveGeometry,erode_dilate1d!_setup,3,0.6666666666666666,0.0,3,0,0,1025,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ImageProjectiveGeometry/depot/packages/ImageProjectiveGeometry/97p1A/src/utilities.jl,633
ImageProjectiveGeometry,erode1d,1,1.0,1.0,1,0,0,54,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ImageProjectiveGeometry/depot/packages/ImageProjectiveGeometry/97p1A/src/utilities.jl,461
ImageProjectiveGeometry,clockwise,3,1.0,1.0,2,0,0,181,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ImageProjectiveGeometry/depot/packages/ImageProjectiveGeometry/97p1A/src/geometry.jl,254
ImageProjectiveGeometry,ransac,1,0.0,0.0,1,0,0,3261,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ImageProjectiveGeometry/depot/packages/ImageProjectiveGeometry/97p1A/src/ransac.jl,107
ImageProjectiveGeometry,imdilate,2,0.5,0.5,2,0,0,58,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ImageProjectiveGeometry/depot/packages/ImageProjectiveGeometry/97p1A/src/utilities.jl,781
ImageProjectiveGeometry,normalise2dpts,1,1.0,0.0,1,0,0,1727,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ImageProjectiveGeometry/depot/packages/ImageProjectiveGeometry/97p1A/src/projective.jl,1108
ImageProjectiveGeometry,quaternion,2,1.0,1.0,1,0,0,227,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ImageProjectiveGeometry/depot/packages/ImageProjectiveGeometry/97p1A/src/transforms3d.jl,560
ImageProjectiveGeometry,invht,1,0.0,0.0,1,0,0,249,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ImageProjectiveGeometry/depot/packages/ImageProjectiveGeometry/97p1A/src/transforms3d.jl,132
ImageProjectiveGeometry,camera2projmatrix,1,0.0,0.0,1,0,0,256,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ImageProjectiveGeometry/depot/packages/ImageProjectiveGeometry/97p1A/src/projective.jl,580
ImageProjectiveGeometry,fundmatrix,1,0.0,0.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ImageProjectiveGeometry/depot/packages/ImageProjectiveGeometry/97p1A/src/projective.jl,1218
