modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
Impute,#interp#89,true,true,1,2,DataFrame,"Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},typeof(interp),DataFrame",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/functional.jl,74
Impute,#locf#113,false,false,1,2,"Union{DataFrame, SubDataFrame{DataFrame,DataFrames.Index,Array{Int64,1}}}","Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},typeof(Impute.locf),SubDataFrame{DataFrame,DataFrames.Index,Array{Int64,1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/functional.jl,74
Impute,#filterobs#55,true,true,1,2,"Array{Union{Missing, Float64},2}","Int64,typeof(Impute.filterobs),Impute.var""#62#63"",Array{Union{Missing, Float64},2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/deprecated.jl,85
Impute,#impute#8,true,false,1,2,DataFrame,"Base.Iterators.Pairs{_A,_B,_C,_D} where _D where _C where _B where _A,typeof(impute),DataFrame,SRS",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors.jl,76
Impute,#interpolate!#98,true,false,1,2,"KeyedArray{Union{Missing, Float64},2,NamedDimsArray{(:time, :id),Union{Missing, Float64},2,Array{Union{Missing, Float64},2}},Tuple{StepRange{DateTime,Hour},UnitRange{Int64}}}","Base.Iterators.Pairs{Symbol,Symbol,Tuple{Symbol},NamedTuple{(:dims,),Tuple{Symbol}}},typeof(Impute.interpolate!),KeyedArray{Union{Missing, Float64},2,NamedDimsArray{(:time, :id),Union{Missing, Float64},2,Array{Union{Missing, Float64},2}},Tuple{StepRange{DateTime,Hour},UnitRange{Int64}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/functional.jl,78
Impute,impute,true,true,0,1,"Array{Union{Missing, Float64},1}","Array{Union{Missing, Float64},1},Fill{typeof(mean)}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors.jl,76
Impute,#impute#8,true,false,1,2,"NamedDimsArray{(:time, :id),Union{Missing, Float64},2,Array{Union{Missing, Float64},2}}","Base.Iterators.Pairs{_A,_B,_C,_D} where _D where _C where _B where _A,typeof(impute),NamedDimsArray{(:time, :id),Union{Missing, Float64},2,Array{Union{Missing, Float64},2}},Replace",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors.jl,76
Impute,impute!,true,true,0,1,"Array{Missing,2}","Array{Missing,2},SVD",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors/svd.jl,94
Impute,#impute!#10,true,false,5,1,"KeyedArray{Union{Missing, Float64},2,NamedDimsArray{(:time, :id),Union{Missing, Float64},2,Array{Union{Missing, Float64},2}},Tuple{StepRange{DateTime,Hour},UnitRange{Int64}}}","Nothing,Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},typeof(impute!),KeyedArray{Union{Missing, Float64},2,NamedDimsArray{(:time, :id),Union{Missing, Float64},2,Array{Union{Missing, Float64},2}},Tuple{StepRange{DateTime,Hour},UnitRange{Int64}}},Interpolate",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors.jl,137
Impute,#impute#8,true,true,0,1,"NamedDimsArray{(:time, :id),Union{Missing, Float64},2,Array{Union{Missing, Float64},2}}","Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},typeof(impute),NamedDimsArray{(:time, :id),Union{Missing, Float64},2,Array{Union{Missing, Float64},2}},Interpolate",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors.jl,76
Impute,_impute!,true,false,5,2,"KeyedArray{Union{Missing, Float64},2,NamedDimsArray{(:time, :id),Union{Missing, Float64},2,Array{Union{Missing, Float64},2}},Tuple{StepRange{DateTime,Hour},UnitRange{Int64}}}","KeyedArray{Union{Missing, Float64},2,NamedDimsArray{(:time, :id),Union{Missing, Float64},2,Array{Union{Missing, Float64},2}},Tuple{StepRange{DateTime,Hour},UnitRange{Int64}}},Substitute",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors/substitute.jl,38
Impute,impute!,true,true,0,1,"Array{Int64,1}","Array{Int64,1},Interpolate",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors.jl,168
Impute,#impute#8,true,false,1,2,"Array{Union{Missing, Bool},1}","Base.Iterators.Pairs{_A,_B,_C,_D} where _D where _C where _B where _A,typeof(impute),Array{Union{Missing, Bool},1},WeightedSubstitute",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors.jl,76
Impute,#impute#8,true,false,1,1,"NamedDimsArray{(:time, :id),Union{Missing, Float64},2,Array{Union{Missing, Float64},2}}","Base.Iterators.Pairs{Symbol,Symbol,Tuple{Symbol},NamedTuple{(:dims,),Tuple{Symbol}}},typeof(impute),NamedDimsArray{(:time, :id),Union{Missing, Float64},2,Array{Union{Missing, Float64},2}},Substitute",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors.jl,76
Impute,impute!,true,true,0,1,"SubArray{Int64,1,Array{Int64,1},Tuple{Array{Int64,1}},false}","SubArray{Int64,1,Array{Int64,1},Tuple{Array{Int64,1}},false},Interpolate",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors.jl,168
Impute,#impute#18,false,false,1,2,Any,"Base.Iterators.Pairs{_A,_B,_C,_D} where _D where _C where _B where _A,typeof(impute),NamedDimsArray{(:time, :id),Union{Missing, Float64},2,Array{Union{Missing, Float64},2}},KNN{_A} where _A",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors/knn.jl,93
Impute,#filter#179,true,true,0,0,Union{},"Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},typeof(Impute.filter),Array{Union{Missing, Float64},2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/functional.jl,91
Impute,_splitkwargs,false,false,6,1,"Tuple{Substitute,Dict{Symbol,Symbol}}","Type{Substitute},Pair{Symbol,Symbol}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/functional.jl,25
Impute,#impute!#9,true,false,6,2,"Array{Union{Missing, Float64},1}","Any,Base.Iterators.Pairs{_A,_B,_C,_D} where _D where _C where _B where _A,typeof(impute!),Array{Union{Missing, Float64},1},DropObs",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors.jl,124
Impute,#impute#8,true,true,0,1,"Array{Union{Missing, Float64},1}","Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},typeof(impute),Array{Union{Missing, Float64},1},SRS{Random._GLOBAL_RNG}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors.jl,76
Impute,#impute!#14,true,true,5,1,"SubDataFrame{DataFrame,DataFrames.Index,Array{Int64,1}}","Nothing,typeof(impute!),SubDataFrame{DataFrame,DataFrames.Index,Array{Int64,1}},Interpolate",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors.jl,222
Impute,_impute!,true,false,5,2,"Array{Union{Missing, DateTime},1}","Array{Union{Missing, DateTime},1},Substitute{typeof(Impute.defaultstats)}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors/substitute.jl,38
