modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
Impute,validate,2,1.0,1.0,1,0,0,73,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/validators.jl,94
Impute,#Threshold#45,2,1.0,0.5,1,0,0,53,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/validators/threshold.jl,36
Impute,_splitkwargs,43,0.32558139534883723,0.0,43,0,1,370,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/functional.jl,10
Impute,#knn!#170,4,0.25,0.0,2,0,0,219,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/functional.jl,78
Impute,#replace!#130,8,1.0,0.0,8,0,0,219,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/functional.jl,78
Impute,#locf!#114,9,1.0,0.5555555555555556,9,0,0,219,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/functional.jl,78
Impute,_impute!,11,0.8181818181818182,0.8181818181818182,11,0,0,385,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors/nocb.jl,33
Impute,interp,4,1.0,1.0,4,0,0,67,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/functional.jl,74
Impute,srs,5,1.0,1.0,5,0,0,67,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/functional.jl,74
Impute,#DeclareMissings#1,3,1.0,1.0,3,0,0,142,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/declaremissings.jl,32
Impute,impute!,8,1.0,1.0,2,0,0,71,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors.jl,168
Impute,srs!,4,1.0,1.0,4,0,0,67,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/functional.jl,78
Impute,apply!,9,1.0,1.0,5,0,0,153,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/declaremissings.jl,40
Impute,filter,6,0.8333333333333334,0.8333333333333334,3,0,0,67,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/functional.jl,91
Impute,apply,3,1.0,0.6666666666666666,1,0,0,64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/filter.jl,24
Impute,#apply#38,3,0.3333333333333333,0.0,2,0,0,533,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/filter.jl,44
Impute,#impute!#10,92,1.0,0.0,9,0,0,535,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors.jl,137
Impute,#substitute!#146,10,1.0,0.0,10,0,0,219,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/functional.jl,78
Impute,apply,2,1.0,1.0,1,0,0,81,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/filter.jl,34
Impute,#declaremissings!#178,1,1.0,1.0,1,0,0,128,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/functional.jl,88
Impute,impute!,1,1.0,1.0,1,0,0,71,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors/svd.jl,94
Impute,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/Impute.jl,1
Impute,_impute!,11,0.8181818181818182,0.8181818181818182,11,0,0,380,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors/locf.jl,32
Impute,#impute!#16,16,0.4375,0.0,5,0,0,1476,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors/knn.jl,30
Impute,impute,2,0.5,0.5,2,0,0,258,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/deprecated.jl,149
Impute,filter!,1,1.0,0.0,1,0,0,71,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/functional.jl,94
Impute,defaultstats,5,1.0,1.0,1,0,1,66,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors/substitute.jl,130
Impute,#interp#89,5,1.0,0.8,4,0,0,219,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/functional.jl,74
Impute,apply,2,1.0,1.0,1,0,0,81,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/filter.jl,44
Impute,impute!,16,0.5,0.375,2,0,0,71,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors.jl,175
Impute,apply,13,1.0,1.0,7,0,0,57,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/declaremissings.jl,48
Impute,_validate,7,0.5714285714285714,0.42857142857142855,6,0,0,347,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/validators/threshold.jl,63
Impute,#impute!#17,1,1.0,0.0,1,0,0,44,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors/knn.jl,91
Impute,#declaremissings#177,1,1.0,1.0,1,0,0,128,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/functional.jl,87
Impute,impute!,2,0.5,0.5,2,0,0,71,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/deprecated.jl,135
Impute,impute!,4,1.0,0.0,4,0,0,57,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors/knn.jl,30
Impute,apply,4,0.0,0.0,1,0,0,76,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/declaremissings.jl,70
Impute,locf!,5,1.0,1.0,5,0,0,67,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/functional.jl,78
Impute,#SVD#26,2,1.0,0.5,1,0,0,71,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors/svd.jl,27
Impute,#threshold#71,1,0.0,0.0,1,0,0,219,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/functional.jl,62
Impute,#SRS#23,3,0.6666666666666666,0.6666666666666666,3,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors/srs.jl,40
Impute,defaultstats,2,1.0,1.0,1,0,1,66,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors/substitute.jl,146
Impute,apply,5,0.4,0.0,3,0,0,411,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/declaremissings.jl,51
Impute,apply!,1,1.0,1.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/filter.jl,18
Impute,#impute#19,1,1.0,0.0,1,0,0,51,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors/knn.jl,97
Impute,#srs#137,7,1.0,0.0,5,0,0,219,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/functional.jl,74
Impute,#svd#161,1,1.0,0.0,1,0,0,219,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/functional.jl,74
Impute,vardim,1,1.0,1.0,1,0,0,57,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/deprecated.jl,75
Impute,#filter!#180,7,1.0,1.0,3,0,0,121,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/functional.jl,92
Impute,_keep,2,1.0,1.0,1,0,0,50,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/filter.jl,14
Impute,#impute!#28,3,1.0,0.6666666666666666,1,0,0,44,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors/svd.jl,94
Impute,#impute#30,1,1.0,1.0,1,0,0,51,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors/svd.jl,100
Impute,obsdim,1,1.0,1.0,1,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/deprecated.jl,74
Impute,defaultstats,4,0.5,0.5,2,0,1,66,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors/substitute.jl,127
Impute,impute,103,0.8932038834951457,0.6407766990291263,19,0,0,71,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors.jl,76
Impute,impute,2,0.5,0.5,2,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/deprecated.jl,145
Impute,substitute,8,0.875,0.875,8,0,0,67,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/functional.jl,74
Impute,impute!,43,0.7209302325581395,0.5581395348837209,8,0,0,57,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors.jl,222
Impute,_impute!,35,0.8,0.0,25,0,0,835,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors/substitute.jl,38
Impute,#knn#169,4,0.25,0.0,2,0,0,219,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/functional.jl,74
Impute,#Replace#20,3,1.0,0.6666666666666666,1,0,0,86,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors/replace.jl,31
Impute,interp!,2,1.0,1.0,2,0,0,67,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/functional.jl,78
Impute,impute!,24,1.0,0.7083333333333334,5,0,0,73,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors.jl,137
Impute,_mode,7,0.8571428571428571,0.8571428571428571,7,0,0,651,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/utils.jl,34
Impute,impute!,2,0.0,0.0,1,0,0,76,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/deprecated.jl,198
Impute,#filter#181,1,1.0,0.0,1,0,0,123,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/functional.jl,93
Impute,__init__,1,1.0,1.0,1,0,0,44,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/Impute.jl,32
Impute,#impute!#14,63,0.8095238095238095,0.38095238095238093,8,0,0,412,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors.jl,222
Impute,impute!,1,1.0,1.0,1,0,0,57,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/imputors/svd.jl,33
Impute,#validate#44,2,1.0,1.0,1,0,0,453,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Impute/depot/packages/Impute/IdfQC/src/validators.jl,94
