modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
IndexedTables,pkeys,3,0.6666666666666666,0.6666666666666666,3,0,1,66,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IndexedTables/depot/packages/IndexedTables/vl8XI/src/ndsparse.jl,233
IndexedTables,column,3,1.0,1.0,1,0,0,58,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IndexedTables/depot/packages/IndexedTables/vl8XI/src/columns.jl,249
IndexedTables,column,82,0.32926829268292684,0.32926829268292684,30,0,0,67,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IndexedTables/depot/packages/IndexedTables/vl8XI/src/columns.jl,241
IndexedTables,type2missingtype,2,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IndexedTables/depot/packages/IndexedTables/vl8XI/src/utils.jl,10
IndexedTables,unstack,1,0.0,0.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IndexedTables/depot/packages/IndexedTables/vl8XI/src/reshape.jl,47
IndexedTables,permcache,9,0.0,0.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IndexedTables/depot/packages/IndexedTables/vl8XI/src/ndsparse.jl,143
IndexedTables,_append!!,33,0.8787878787878788,0.8787878787878788,15,0,0,50,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IndexedTables/depot/packages/IndexedTables/vl8XI/src/collect.jl,23
IndexedTables,#map#122,5,0.0,0.0,1,0,0,137,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IndexedTables/depot/packages/IndexedTables/vl8XI/src/ndsparse.jl,337
IndexedTables,fieldtypes,36,0.6388888888888888,0.6388888888888888,3,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IndexedTables/depot/packages/IndexedTables/vl8XI/src/utils.jl,93
IndexedTables,_in,2,1.0,1.0,1,0,0,38,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IndexedTables/depot/packages/IndexedTables/vl8XI/src/indexing.jl,34
IndexedTables,column,2,0.0,0.0,2,0,0,58,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IndexedTables/depot/packages/IndexedTables/vl8XI/src/columns.jl,250
IndexedTables,excludecols,30,0.0,0.0,2,0,0,57,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IndexedTables/depot/packages/IndexedTables/vl8XI/src/indexedtable.jl,371
IndexedTables,#groupjoin#270,2,0.0,0.0,1,0,0,217,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IndexedTables/depot/packages/IndexedTables/vl8XI/src/join.jl,221
IndexedTables,_row_in,21,0.7142857142857143,0.6666666666666666,2,0,0,125,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IndexedTables/depot/packages/IndexedTables/vl8XI/src/indexing.jl,42
IndexedTables,columns,265,0.9773584905660377,0.9773584905660377,261,0,0,46,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IndexedTables/depot/packages/IndexedTables/vl8XI/src/columns.jl,54
IndexedTables,_getindex,3,1.0,1.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IndexedTables/depot/packages/IndexedTables/vl8XI/src/indexing.jl,17
IndexedTables,convertmissing,3,0.0,0.0,1,0,0,544,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IndexedTables/depot/packages/IndexedTables/vl8XI/src/selection.jl,192
