modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
Infiltrator,@infiltrate,true,true,0,1,Expr,"LineNumberNode,Module,Bool",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Infiltrator/depot/packages/Infiltrator/njsHN/src/Infiltrator.jl,59
Infiltrator,#debugprompt#6,true,false,1,2,"Union{Nothing, Bool}","String,Int64,typeof(Infiltrator.debugprompt),Module,Dict{Symbol,Any},Array{Base.StackTraces.StackFrame,1},TerminalRegressionTests.EmulatedTerminal,LineEditREPL,Bool",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Infiltrator/depot/packages/Infiltrator/njsHN/src/Infiltrator.jl,137
Infiltrator,#start_prompt#1,true,true,5,2,Nothing,"TerminalRegressionTests.EmulatedTerminal,LineEditREPL,Bool,typeof(Infiltrator.start_prompt),Module,Dict{Symbol,Any},Bool,String,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Infiltrator/depot/packages/Infiltrator/njsHN/src/Infiltrator.jl,81
Infiltrator,show_help,true,true,0,1,Nothing,Base.TTY,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Infiltrator/depot/packages/Infiltrator/njsHN/src/Infiltrator.jl,110
Infiltrator,interpret,false,false,2,1,Any,"String,Module,Dict{Symbol,Any}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Infiltrator/depot/packages/Infiltrator/njsHN/src/Infiltrator.jl,224
Infiltrator,#start_prompt#1,true,false,10,3,Nothing,"Any,Any,Any,typeof(Infiltrator.start_prompt),Module,Dict{Symbol,Any},Expr,String,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Infiltrator/depot/packages/Infiltrator/njsHN/src/Infiltrator.jl,81
Infiltrator,maybe_quote,false,false,3,2,Any,Any,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Infiltrator/depot/packages/Infiltrator/njsHN/src/Infiltrator.jl,222
Infiltrator,show_trace,true,true,3,1,Nothing,"Base.TTY,Array{Base.StackTraces.StackFrame,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Infiltrator/depot/packages/Infiltrator/njsHN/src/Infiltrator.jl,123
Infiltrator,#start_prompt#1,true,true,5,2,Nothing,"TerminalRegressionTests.EmulatedTerminal,LineEditREPL,Bool,typeof(Infiltrator.start_prompt),Module,Dict{Symbol,Any},Expr,String,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Infiltrator/depot/packages/Infiltrator/njsHN/src/Infiltrator.jl,81
Infiltrator,show_locals,true,false,3,1,Nothing,"Base.TTY,Dict{Symbol,Any}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Infiltrator/depot/packages/Infiltrator/njsHN/src/Infiltrator.jl,130
Infiltrator,start_prompt,true,true,0,1,Nothing,"Module,Dict{Symbol,Any},Bool,String,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Infiltrator/depot/packages/Infiltrator/njsHN/src/Infiltrator.jl,81
Infiltrator,#start_prompt#1,true,false,10,3,Nothing,"Any,Any,Any,typeof(Infiltrator.start_prompt),Module,Dict{Symbol,Any},Bool,String,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Infiltrator/depot/packages/Infiltrator/njsHN/src/Infiltrator.jl,81
Infiltrator,start_prompt,true,true,0,1,Nothing,"Module,Dict{Symbol,Any},Expr,String,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Infiltrator/depot/packages/Infiltrator/njsHN/src/Infiltrator.jl,81
Infiltrator,#debugprompt#6,true,false,1,2,"Union{Nothing, Bool}","String,Int64,typeof(Infiltrator.debugprompt),Module,Dict{Symbol,Any},Array{Base.StackTraces.StackFrame,1},Any,Any,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Infiltrator/depot/packages/Infiltrator/njsHN/src/Infiltrator.jl,137
Infiltrator,clear_stop,true,true,0,1,Nothing,,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Infiltrator/depot/packages/Infiltrator/njsHN/src/Infiltrator.jl,79
Infiltrator,@infiltrate,true,true,0,1,Expr,"LineNumberNode,Module,Expr",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Infiltrator/depot/packages/Infiltrator/njsHN/src/Infiltrator.jl,59
Infiltrator,#debugprompt#6,true,false,1,2,"Union{Nothing, Bool}","String,Int64,typeof(Infiltrator.debugprompt),Module,Dict{Symbol,Any},Array{Base.StackTraces.StackFrame,1},Any,Any,Bool",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Infiltrator/depot/packages/Infiltrator/njsHN/src/Infiltrator.jl,137
Infiltrator,@infiltrate,true,true,0,1,Expr,"LineNumberNode,Module",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Infiltrator/depot/packages/Infiltrator/njsHN/src/Infiltrator.jl,59
Infiltrator,#start_prompt#1,true,false,9,3,Nothing,"Nothing,Nothing,Bool,typeof(Infiltrator.start_prompt),Module,Dict{Symbol,Any},Bool,String,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Infiltrator/depot/packages/Infiltrator/njsHN/src/Infiltrator.jl,81
