modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
WebIO,@dom_str,1,1.0,0.0,1,4,0,248,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Interact/depot/packages/WebIO/Fy9h1/src/syntax.jl,44
Widgets,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Interact/depot/packages/Widgets/0HInz/src/Widgets.jl,1
OrderedCollections,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Interact/depot/packages/OrderedCollections/PRayh/src/OrderedCollections.jl,1
OrderedCollections,isslotempty,2,0.5,0.5,2,0,0,46,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Interact/depot/packages/OrderedCollections/PRayh/src/ordered_dict.jl,112
InteractBase,isijulia,1,0.0,0.0,1,0,0,81,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Interact/depot/packages/InteractBase/Zfu5P/src/utils.jl,37
WebIO,register_request_handler,1,0.0,0.0,1,0,0,114,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Interact/depot/packages/WebIO/Fy9h1/src/messaging.jl,113
LinearAlgebra,similar,3,0.0,0.0,1,0,0,300,/build/source/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/structuredbroadcast.jl,125
WebIO,bundleurl,1,1.0,1.0,1,0,0,59,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Interact/depot/packages/WebIO/Fy9h1/deps/bundlepaths.jl,21
WebIO,iterate_interpolations,2,1.0,0.0,1,0,0,1563,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Interact/depot/packages/WebIO/Fy9h1/src/syntax.jl,85
Interact,eval,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Interact/depot/packages/Interact/SbgIk/src/Interact.jl,1
InteractBase,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Interact/depot/packages/InteractBase/Zfu5P/src/InteractBase.jl,1
OrderedCollections,_merge_kvtypes,1,0.0,0.0,1,0,1,297,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Interact/depot/packages/OrderedCollections/PRayh/src/ordered_dict.jl,457
OrderedCollections,isslotfilled,2,0.5,0.5,2,0,0,46,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Interact/depot/packages/OrderedCollections/PRayh/src/ordered_dict.jl,113
WebIO,prefetch_provider_file,1,1.0,1.0,1,0,0,133,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Interact/depot/packages/WebIO/Fy9h1/src/WebIO.jl,90
OrderedCollections,_tablesz,1,1.0,1.0,1,0,0,112,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Interact/depot/packages/OrderedCollections/PRayh/src/dict_support.jl,5
OrderedCollections,isslotmissing,2,0.5,0.5,2,0,0,46,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Interact/depot/packages/OrderedCollections/PRayh/src/ordered_dict.jl,114
WebIO,__init__,1,0.0,0.0,1,0,0,539,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Interact/depot/packages/WebIO/Fy9h1/src/WebIO.jl,101
WebIO,eval,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Interact/depot/packages/WebIO/Fy9h1/src/WebIO.jl,1
WebIO,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Interact/depot/packages/WebIO/Fy9h1/src/WebIO.jl,1
Widgets,get_backend,1,0.0,0.0,1,0,0,42,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Interact/depot/packages/Widgets/0HInz/src/backend.jl,7
Observables,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Interact/depot/packages/Observables/Yf3xU/src/Observables.jl,1
Markdown,@md_str,1,1.0,0.0,1,4,1,70,/build/source/usr/share/julia/stdlib/v1.5/Markdown/src/Markdown.jl,43
Interact,__init__,1,1.0,1.0,1,0,0,93,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Interact/depot/packages/Interact/SbgIk/src/Interact.jl,29
Interact,libraries,1,1.0,1.0,1,0,0,140,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Interact/depot/packages/Interact/SbgIk/src/Interact.jl,24
InteractBase,registertheme!,1,1.0,1.0,1,0,0,59,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Interact/depot/packages/InteractBase/Zfu5P/src/backends.jl,7
InteractBase,__init__,1,1.0,1.0,1,0,0,110,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Interact/depot/packages/InteractBase/Zfu5P/src/InteractBase.jl,106
